Config_ID,Freq_spacing,Nband,FRMSZ_ms,OVLP,Floor,Noisefr,DNSMOS_mos_ovr,PESQ,STOI,SI_SDR
mband_linear_N4_F8_O25_FL0p5,linear,4,8,25,0.5,1,2.9062,1.4321,0.7469,9.148
mband_linear_N4_F8_O25_FL0p7,linear,4,8,25,0.7,1,3.1227,1.4832,0.763,8.7975
mband_linear_N4_F8_O25_FL0p8,linear,4,8,25,0.8,1,2.8031,1.378,0.7539,8.5645
mband_linear_N4_F8_O50_FL0p5,linear,4,8,50,0.5,1,3.0152,1.5356,0.748,8.7146
mband_linear_N4_F8_O50_FL0p7,linear,4,8,50,0.7,1,2.9505,1.4945,0.7422,9.2179
mband_linear_N4_F8_O50_FL0p8,linear,4,8,50,0.8,1,3.1685,1.418,0.7379,9.7258
mband_linear_N4_F8_O75_FL0p5,linear,4,8,75,0.5,1,2.8205,1.5436,0.7432,8.7807
mband_linear_N4_F8_O75_FL0p7,linear,4,8,75,0.7,1,2.8927,1.5331,0.753,9.342
mband_linear_N4_F8_O75_FL0p8,linear,4,8,75,0.8,1,2.9852,1.4298,0.7352,9.2445
mband_linear_N8_F20_O25_FL0p5,linear,8,20,25,0.5,1,3.5468,1.4514,0.7089,7.8705
mband_linear_N8_F20_O25_FL0p7,linear,8,20,25,0.7,1,3.1559,1.4311,0.7426,7.725
mband_linear_N8_F20_O25_FL0p8,linear,8,20,25,0.8,1,3.4907,1.4197,0.7559,7.7621
mband_linear_N8_F20_O50_FL0p5,linear,8,20,50,0.5,1,3.4636,1.4606,0.7385,9.2303
mband_linear_N8_F20_O50_FL0p7,linear,8,20,50,0.7,1,3.2399,1.4294,0.7383,8.4303
mband_linear_N8_F20_O50_FL0p8,linear,8,20,50,0.8,1,3.2551,1.4875,0.7317,8.7376
mband_linear_N8_F20_O75_FL0p5,linear,8,20,75,0.5,1,3.1398,1.5807,0.7593,9.6782
mband_linear_N8_F20_O75_FL0p7,linear,8,20,75,0.7,1,3.0515,1.4136,0.7408,8.7262
mband_linear_N8_F20_O75_FL0p8,linear,8,20,75,0.8,1,2.6709,1.4611,0.7414,9.0059
mband_linear_N8_F25_O25_FL0p5,linear,8,25,25,0.5,1,2.8729,1.4431,0.7382,7.4763
mband_linear_N8_F25_O25_FL0p7,linear,8,25,25,0.7,1,3.2839,1.361,0.721,7.2772
mband_linear_N8_F25_O25_FL0p8,linear,8,25,25,0.8,1,3.2282,1.4381,0.7565,7.5569
mband_linear_N8_F25_O50_FL0p5,linear,8,25,50,0.5,1,3.2376,1.4565,0.7245,8.7167
mband_linear_N8_F25_O50_FL0p7,linear,8,25,50,0.7,1,3.2657,1.4588,0.7203,8.7148
mband_linear_N8_F25_O50_FL0p8,linear,8,25,50,0.8,1,3.2261,1.4685,0.7255,8.7568
mband_linear_N8_F25_O75_FL0p5,linear,8,25,75,0.5,1,2.9639,1.5048,0.7353,8.5531
mband_linear_N8_F25_O75_FL0p7,linear,8,25,75,0.7,1,3.2929,1.4801,0.7422,9.3814
mband_linear_N8_F25_O75_FL0p8,linear,8,25,75,0.8,1,3.0435,1.4056,0.7277,9.0977
mband_linear_N8_F8_O25_FL0p5,linear,8,8,25,0.5,1,3.0385,1.5068,0.7438,8.9911
mband_linear_N8_F8_O25_FL0p7,linear,8,8,25,0.7,1,2.9151,1.3603,0.7463,8.2128
