clean_file,enhanced_file,sampling_rate,PESQ_Noisy,SI_SDR_Noisy,STOI_Noisy,DNSMOS_p808_mos_Noisy,DNSMOS_mos_sig_Noisy,DNSMOS_mos_bak_Noisy,DNSMOS_mos_ovr_Noisy,source_file,enhanced_file_mband_lin_avr0,sampling_rate_mband_lin_avr0,PESQ_mband_lin_avr0,SI_SDR_mband_lin_avr0,STOI_mband_lin_avr0,DNSMOS_p808_mos_mband_lin_avr0,DNSMOS_mos_sig_mband_lin_avr0,DNSMOS_mos_bak_mband_lin_avr0,DNSMOS_mos_ovr_mband_lin_avr0,source_file_mband_lin_avr0,enhanced_file_mband_lin_avr1,sampling_rate_mband_lin_avr1,PESQ_mband_lin_avr1,SI_SDR_mband_lin_avr1,STOI_mband_lin_avr1,DNSMOS_p808_mos_mband_lin_avr1,DNSMOS_mos_sig_mband_lin_avr1,DNSMOS_mos_bak_mband_lin_avr1,DNSMOS_mos_ovr_mband_lin_avr1,source_file_mband_lin_avr1,enhanced_file_mband_log_avr0,sampling_rate_mband_log_avr0,PESQ_mband_log_avr0,SI_SDR_mband_log_avr0,STOI_mband_log_avr0,DNSMOS_p808_mos_mband_log_avr0,DNSMOS_mos_sig_mband_log_avr0,DNSMOS_mos_bak_mband_log_avr0,DNSMOS_mos_ovr_mband_log_avr0,source_file_mband_log_avr0,enhanced_file_mband_log_avr1,sampling_rate_mband_log_avr1,PESQ_mband_log_avr1,SI_SDR_mband_log_avr1,STOI_mband_log_avr1,DNSMOS_p808_mos_mband_log_avr1,DNSMOS_mos_sig_mband_log_avr1,DNSMOS_mos_bak_mband_log_avr1,DNSMOS_mos_ovr_mband_log_avr1,source_file_mband_log_avr1,enhanced_file_mband_mel_avr0,sampling_rate_mband_mel_avr0,PESQ_mband_mel_avr0,SI_SDR_mband_mel_avr0,STOI_mband_mel_avr0,DNSMOS_p808_mos_mband_mel_avr0,DNSMOS_mos_sig_mband_mel_avr0,DNSMOS_mos_bak_mband_mel_avr0,DNSMOS_mos_ovr_mband_mel_avr0,source_file_mband_mel_avr0,enhanced_file_mband_mel_avr1,sampling_rate_mband_mel_avr1,PESQ_mband_mel_avr1,SI_SDR_mband_mel_avr1,STOI_mband_mel_avr1,DNSMOS_p808_mos_mband_mel_avr1,DNSMOS_mos_sig_mband_mel_avr1,DNSMOS_mos_bak_mband_mel_avr1,DNSMOS_mos_ovr_mband_mel_avr1,source_file_mband_mel_avr1,enhanced_file_mband_py_lin_avr0_8,sampling_rate_mband_py_lin_avr0_8,PESQ_mband_py_lin_avr0_8,SI_SDR_mband_py_lin_avr0_8,STOI_mband_py_lin_avr0_8,DNSMOS_p808_mos_mband_py_lin_avr0_8,DNSMOS_mos_sig_mband_py_lin_avr0_8,DNSMOS_mos_bak_mband_py_lin_avr0_8,DNSMOS_mos_ovr_mband_py_lin_avr0_8,source_file_mband_py_lin_avr0_8,enhanced_file_mband_py_lin_avr1,sampling_rate_mband_py_lin_avr1,PESQ_mband_py_lin_avr1,SI_SDR_mband_py_lin_avr1,STOI_mband_py_lin_avr1,DNSMOS_p808_mos_mband_py_lin_avr1,DNSMOS_mos_sig_mband_py_lin_avr1,DNSMOS_mos_bak_mband_py_lin_avr1,DNSMOS_mos_ovr_mband_py_lin_avr1,source_file_mband_py_lin_avr1,enhanced_file_mband_py_log_avr0_8,sampling_rate_mband_py_log_avr0_8,PESQ_mband_py_log_avr0_8,SI_SDR_mband_py_log_avr0_8,STOI_mband_py_log_avr0_8,DNSMOS_p808_mos_mband_py_log_avr0_8,DNSMOS_mos_sig_mband_py_log_avr0_8,DNSMOS_mos_bak_mband_py_log_avr0_8,DNSMOS_mos_ovr_mband_py_log_avr0_8,source_file_mband_py_log_avr0_8,enhanced_file_mband_py_log_avr1,sampling_rate_mband_py_log_avr1,PESQ_mband_py_log_avr1,SI_SDR_mband_py_log_avr1,STOI_mband_py_log_avr1,DNSMOS_p808_mos_mband_py_log_avr1,DNSMOS_mos_sig_mband_py_log_avr1,DNSMOS_mos_bak_mband_py_log_avr1,DNSMOS_mos_ovr_mband_py_log_avr1,source_file_mband_py_log_avr1,enhanced_file_mband_py_mel_avr0_8,sampling_rate_mband_py_mel_avr0_8,PESQ_mband_py_mel_avr0_8,SI_SDR_mband_py_mel_avr0_8,STOI_mband_py_mel_avr0_8,DNSMOS_p808_mos_mband_py_mel_avr0_8,DNSMOS_mos_sig_mband_py_mel_avr0_8,DNSMOS_mos_bak_mband_py_mel_avr0_8,DNSMOS_mos_ovr_mband_py_mel_avr0_8,source_file_mband_py_mel_avr0_8,enhanced_file_mband_py_mel_avr1,sampling_rate_mband_py_mel_avr1,PESQ_mband_py_mel_avr1,SI_SDR_mband_py_mel_avr1,STOI_mband_py_mel_avr1,DNSMOS_p808_mos_mband_py_mel_avr1,DNSMOS_mos_sig_mband_py_mel_avr1,DNSMOS_mos_bak_mband_py_mel_avr1,DNSMOS_mos_ovr_mband_py_mel_avr1,source_file_mband_py_mel_avr1,noise_category
p092_emo_adoration_freeform,BASELINE_p092_emo_adoration_freeform_NOIZEUS_NOISE_DATASET_cafeteria_babble_SNR[15]dB,16000,1.5634794235229492,15.01064109802246,0.8713018894195557,3.0689138968785605,4.155390835388579,2.787855256258137,2.8794824091814046,BASELINE_NOIZEUS_EARS_metrics.csv_ENH-BASELINE_p092_emo_adoration_freeform_NOIZEUS_NOISE_DATASET_cafeteria_babble_SNR[15]dB_CLN-p092_emo_adoration_freeform.csv,mband_N6_lin_AVR0_p092_emo_adoration_freeform_NOIZEUS_NOISE_DATASET_cafeteria_babble_SNR[15]dB,16000,1.936823368072509,14.829806327819824,0.8696413040161133,3.2246294418970742,3.951257268791697,2.3951082900149627,2.653603777645367,mband_N6_lin_AVR0_metrics.csv_ENH-mband_N6_lin_AVR0_p092_emo_adoration_freeform_NOIZEUS_NOISE_DATASET_cafeteria_babble_SNR[15]dB_CLN-p092_emo_adoration_freeform.csv,mband_N6_lin_AVR1_p092_emo_adoration_freeform_NOIZEUS_NOISE_DATASET_cafeteria_babble_SNR[15]dB,16000,1.988332271575928,13.160791397094728,0.8673235774040222,3.199952046076457,3.6348221892201344,2.446209062804769,2.438342703923916,mband_N6_lin_AVR1_metrics.csv_ENH-mband_N6_lin_AVR1_p092_emo_adoration_freeform_NOIZEUS_NOISE_DATASET_cafeteria_babble_SNR[15]dB_CLN-p092_emo_adoration_freeform.csv,mband_N6_log_AVR0_p092_emo_adoration_freeform_NOIZEUS_NOISE_DATASET_cafeteria_babble_SNR[15]dB,16000,1.938090324401856,13.979724884033203,0.871264636516571,3.2230763832728067,3.753223271093292,2.3118558753316694,2.410033797144807,mband_N6_log_AVR0_metrics.csv_ENH-mband_N6_log_AVR0_p092_emo_adoration_freeform_NOIZEUS_NOISE_DATASET_cafeteria_babble_SNR[15]dB_CLN-p092_emo_adoration_freeform.csv,mband_N6_log_AVR1_p092_emo_adoration_freeform_NOIZEUS_NOISE_DATASET_cafeteria_babble_SNR[15]dB,16000,1.9505259990692136,12.871644973754885,0.8694623708724976,3.33044707775116,3.777551044183252,2.3348895827587786,2.420111583393357,mband_N6_log_AVR1_metrics.csv_ENH-mband_N6_log_AVR1_p092_emo_adoration_freeform_NOIZEUS_NOISE_DATASET_cafeteria_babble_SNR[15]dB_CLN-p092_emo_adoration_freeform.csv,mband_N6_mel_AVR0_p092_emo_adoration_freeform_NOIZEUS_NOISE_DATASET_cafeteria_babble_SNR[15]dB,16000,1.8713469505310056,14.58823585510254,0.875269889831543,3.185482462247213,4.1943532342240575,2.5538224694095586,2.9266872271924296,mband_N6_mel_AVR0_metrics.csv_ENH-mband_N6_mel_AVR0_p092_emo_adoration_freeform_NOIZEUS_NOISE_DATASET_cafeteria_babble_SNR[15]dB_CLN-p092_emo_adoration_freeform.csv,mband_N6_mel_AVR1_p092_emo_adoration_freeform_NOIZEUS_NOISE_DATASET_cafeteria_babble_SNR[15]dB,16000,1.973988056182861,13.18860912322998,0.8741028308868408,3.2851805686950684,4.100195347216444,2.859389139964655,2.927831311507756,mband_N6_mel_AVR1_metrics.csv_ENH-mband_N6_mel_AVR1_p092_emo_adoration_freeform_NOIZEUS_NOISE_DATASET_cafeteria_babble_SNR[15]dB_CLN-p092_emo_adoration_freeform.csv,mband_py_N6_lin_AVR0_8_p092_emo_adoration_freeform_NOIZEUS_NOISE_DATASET_cafeteria_babble_SNR[15]dB,16000,1.911701202392578,14.867768287658691,0.8721543550491333,3.2844236294428506,3.870367184541664,2.5163992650548948,2.5585695137676177,mband_py_N6_lin_AVR0_8_metrics.csv_ENH-mband_py_N6_lin_AVR0_8_p092_emo_adoration_freeform_NOIZEUS_NOISE_DATASET_cafeteria_babble_SNR[15]dB_CLN-p092_emo_adoration_freeform.csv,mband_py_N6_lin_AVR1_8_p092_emo_adoration_freeform_NOIZEUS_NOISE_DATASET_cafeteria_babble_SNR[15]dB,16000,2.0217318534851074,13.503117561340332,0.8746259808540344,3.330200791358948,3.5926009215792907,2.2614263942265698,2.2293748476946784,mband_py_N6_lin_AVR1_8_metrics.csv_ENH-mband_py_N6_lin_AVR1_8_p092_emo_adoration_freeform_NOIZEUS_NOISE_DATASET_cafeteria_babble_SNR[15]dB_CLN-p092_emo_adoration_freeform.csv,mband_py_N6_log_AVR0_8_p092_emo_adoration_freeform_NOIZEUS_NOISE_DATASET_cafeteria_babble_SNR[15]dB,16000,1.9885756969451904,14.40382480621338,0.877953290939331,3.3344581921895347,4.016306789915887,2.8454745167023687,2.8907795653400647,mband_py_N6_log_AVR0_8_metrics.csv_ENH-mband_py_N6_log_AVR0_8_p092_emo_adoration_freeform_NOIZEUS_NOISE_DATASET_cafeteria_babble_SNR[15]dB_CLN-p092_emo_adoration_freeform.csv,mband_py_N6_log_AVR1_8_p092_emo_adoration_freeform_NOIZEUS_NOISE_DATASET_cafeteria_babble_SNR[15]dB,16000,2.10308051109314,13.440374374389648,0.8686131834983826,3.4126781225204468,4.003441345671415,2.830325243805037,2.804536129081138,mband_py_N6_log_AVR1_8_metrics.csv_ENH-mband_py_N6_log_AVR1_8_p092_emo_adoration_freeform_NOIZEUS_NOISE_DATASET_cafeteria_babble_SNR[15]dB_CLN-p092_emo_adoration_freeform.csv,mband_py_N6_mel_AVR0_8_p092_emo_adoration_freeform_NOIZEUS_NOISE_DATASET_cafeteria_babble_SNR[15]dB,16000,2.000877618789673,15.204421043395996,0.8770861625671387,3.364366968472799,4.036933696114332,2.5426988349882813,2.715485510843084,mband_py_N6_mel_AVR0_8_metrics.csv_ENH-mband_py_N6_mel_AVR0_8_p092_emo_adoration_freeform_NOIZEUS_NOISE_DATASET_cafeteria_babble_SNR[15]dB_CLN-p092_emo_adoration_freeform.csv,mband_py_N6_mel_AVR1_8_p092_emo_adoration_freeform_NOIZEUS_NOISE_DATASET_cafeteria_babble_SNR[15]dB,16000,2.0143487453460693,13.871636390686035,0.8742468953132629,3.0637300411860147,3.9174513480677167,3.0017299843014853,2.8408489191171977,mband_py_N6_mel_AVR1_8_metrics.csv_ENH-mband_py_N6_mel_AVR1_8_p092_emo_adoration_freeform_NOIZEUS_NOISE_DATASET_cafeteria_babble_SNR[15]dB_CLN-p092_emo_adoration_freeform.csv,Babble
p092_emo_adoration_sentences,BASELINE_p092_emo_adoration_sentences_NOIZEUS_NOISE_DATASET_Car Noise_60mph_SNR[15]dB,16000,1.726207256317139,14.995942115783691,0.8138108849525452,3.7006304945264543,3.8469260742028166,3.144992603296084,2.948101386431612,BASELINE_NOIZEUS_EARS_metrics.csv_ENH-BASELINE_p092_emo_adoration_sentences_NOIZEUS_NOISE_DATASET_Car Noise_60mph_SNR[15]dB_CLN-p092_emo_adoration_sentences.csv,mband_N6_lin_AVR0_p092_emo_adoration_sentences_NOIZEUS_NOISE_DATASET_Car Noise_60mph_SNR[15]dB,16000,2.128600597381592,16.15289878845215,0.828635036945343,3.713489191872733,3.9793560073336,3.1634057509153086,3.113432243362257,mband_N6_lin_AVR0_metrics.csv_ENH-mband_N6_lin_AVR0_p092_emo_adoration_sentences_NOIZEUS_NOISE_DATASET_Car Noise_60mph_SNR[15]dB_CLN-p092_emo_adoration_sentences.csv,mband_N6_lin_AVR1_p092_emo_adoration_sentences_NOIZEUS_NOISE_DATASET_Car Noise_60mph_SNR[15]dB,16000,2.143043041229248,13.122905731201172,0.8252273797988892,3.700721706662859,4.159720497405975,3.618736855156134,3.46488796780228,mband_N6_lin_AVR1_metrics.csv_ENH-mband_N6_lin_AVR1_p092_emo_adoration_sentences_NOIZEUS_NOISE_DATASET_Car Noise_60mph_SNR[15]dB_CLN-p092_emo_adoration_sentences.csv,mband_N6_log_AVR0_p092_emo_adoration_sentences_NOIZEUS_NOISE_DATASET_Car Noise_60mph_SNR[15]dB,16000,2.32130765914917,15.708070755004885,0.8128371834754944,3.752035822187151,3.861567357011823,3.303753890195182,3.0433270282945544,mband_N6_log_AVR0_metrics.csv_ENH-mband_N6_log_AVR0_p092_emo_adoration_sentences_NOIZEUS_NOISE_DATASET_Car Noise_60mph_SNR[15]dB_CLN-p092_emo_adoration_sentences.csv,mband_N6_log_AVR1_p092_emo_adoration_sentences_NOIZEUS_NOISE_DATASET_Car Noise_60mph_SNR[15]dB,16000,2.2319765090942383,13.621938705444336,0.8102020025253296,3.751978635787964,4.187711736516152,3.645971302231159,3.480370531643312,mband_N6_log_AVR1_metrics.csv_ENH-mband_N6_log_AVR1_p092_emo_adoration_sentences_NOIZEUS_NOISE_DATASET_Car Noise_60mph_SNR[15]dB_CLN-p092_emo_adoration_sentences.csv,mband_N6_mel_AVR0_p092_emo_adoration_sentences_NOIZEUS_NOISE_DATASET_Car Noise_60mph_SNR[15]dB,16000,2.1343085765838623,15.227693557739258,0.8109583854675293,3.6742234230041504,3.898350002238456,3.129905649136159,3.0365388213715425,mband_N6_mel_AVR0_metrics.csv_ENH-mband_N6_mel_AVR0_p092_emo_adoration_sentences_NOIZEUS_NOISE_DATASET_Car Noise_60mph_SNR[15]dB_CLN-p092_emo_adoration_sentences.csv,mband_N6_mel_AVR1_p092_emo_adoration_sentences_NOIZEUS_NOISE_DATASET_Car Noise_60mph_SNR[15]dB,16000,2.142751932144165,13.368728637695312,0.8122647404670715,3.5605440820966447,4.060161614070152,3.649725184936727,3.409587704099207,mband_N6_mel_AVR1_metrics.csv_ENH-mband_N6_mel_AVR1_p092_emo_adoration_sentences_NOIZEUS_NOISE_DATASET_Car Noise_60mph_SNR[15]dB_CLN-p092_emo_adoration_sentences.csv,mband_py_N6_lin_AVR0_8_p092_emo_adoration_sentences_NOIZEUS_NOISE_DATASET_Car Noise_60mph_SNR[15]dB,16000,2.1887407302856445,15.946500778198242,0.817225456237793,3.733540330614362,3.981389424586839,3.269961021920256,3.138853328695443,mband_py_N6_lin_AVR0_8_metrics.csv_ENH-mband_py_N6_lin_AVR0_8_p092_emo_adoration_sentences_NOIZEUS_NOISE_DATASET_Car Noise_60mph_SNR[15]dB_CLN-p092_emo_adoration_sentences.csv,mband_py_N6_lin_AVR1_8_p092_emo_adoration_sentences_NOIZEUS_NOISE_DATASET_Car Noise_60mph_SNR[15]dB,16000,2.28558611869812,14.208503723144531,0.8149740099906921,3.6806833744049072,4.174783829192227,3.5619471293448184,3.387272161863378,mband_py_N6_lin_AVR1_8_metrics.csv_ENH-mband_py_N6_lin_AVR1_8_p092_emo_adoration_sentences_NOIZEUS_NOISE_DATASET_Car Noise_60mph_SNR[15]dB_CLN-p092_emo_adoration_sentences.csv,mband_py_N6_log_AVR0_8_p092_emo_adoration_sentences_NOIZEUS_NOISE_DATASET_Car Noise_60mph_SNR[15]dB,16000,2.272294044494629,15.58358097076416,0.8148916363716125,3.655137198311942,3.998372794071549,3.2631093664841537,3.152367863283064,mband_py_N6_log_AVR0_8_metrics.csv_ENH-mband_py_N6_log_AVR0_8_p092_emo_adoration_sentences_NOIZEUS_NOISE_DATASET_Car Noise_60mph_SNR[15]dB_CLN-p092_emo_adoration_sentences.csv,mband_py_N6_log_AVR1_8_p092_emo_adoration_sentences_NOIZEUS_NOISE_DATASET_Car Noise_60mph_SNR[15]dB,16000,2.32433557510376,13.368400573730469,0.8057332038879395,3.583874123437064,4.20348232024485,3.562955103598367,3.39905383439186,mband_py_N6_log_AVR1_8_metrics.csv_ENH-mband_py_N6_log_AVR1_8_p092_emo_adoration_sentences_NOIZEUS_NOISE_DATASET_Car Noise_60mph_SNR[15]dB_CLN-p092_emo_adoration_sentences.csv,mband_py_N6_mel_AVR0_8_p092_emo_adoration_sentences_NOIZEUS_NOISE_DATASET_Car Noise_60mph_SNR[15]dB,16000,2.186020851135254,15.360122680664062,0.8187281489372253,3.697821719305856,4.012363702755977,3.3187838967580987,3.1876069745696527,mband_py_N6_mel_AVR0_8_metrics.csv_ENH-mband_py_N6_mel_AVR0_8_p092_emo_adoration_sentences_NOIZEUS_NOISE_DATASET_Car Noise_60mph_SNR[15]dB_CLN-p092_emo_adoration_sentences.csv,mband_py_N6_mel_AVR1_8_p092_emo_adoration_sentences_NOIZEUS_NOISE_DATASET_Car Noise_60mph_SNR[15]dB,16000,2.171135187149048,13.211954116821287,0.8182303309440613,3.5914570604051863,3.906299300333448,3.5600295654142435,3.192490182949368,mband_py_N6_mel_AVR1_8_metrics.csv_ENH-mband_py_N6_mel_AVR1_8_p092_emo_adoration_sentences_NOIZEUS_NOISE_DATASET_Car Noise_60mph_SNR[15]dB_CLN-p092_emo_adoration_sentences.csv,Car
p092_emo_amazement_freeform,BASELINE_p092_emo_amazement_freeform_NOIZEUS_NOISE_DATASET_Car Noise_Idle Noise_40mph_SNR[15]dB,16000,1.4986295700073242,14.999223709106444,0.8583069443702698,3.116313968385969,4.180243864205887,2.638625284868428,3.00139920051105,BASELINE_NOIZEUS_EARS_metrics.csv_ENH-BASELINE_p092_emo_amazement_freeform_NOIZEUS_NOISE_DATASET_Car Noise_Idle Noise_40mph_SNR[15]dB_CLN-p092_emo_amazement_freeform.csv,mband_N6_lin_AVR0_p092_emo_amazement_freeform_NOIZEUS_NOISE_DATASET_Car Noise_Idle Noise_40mph_SNR[15]dB,16000,1.9410429000854488,18.37552833557129,0.8717834949493408,3.0841209207262312,3.823248605277082,3.1237385754950577,3.0406476509113025,mband_N6_lin_AVR0_metrics.csv_ENH-mband_N6_lin_AVR0_p092_emo_amazement_freeform_NOIZEUS_NOISE_DATASET_Car Noise_Idle Noise_40mph_SNR[15]dB_CLN-p092_emo_amazement_freeform.csv,mband_N6_lin_AVR1_p092_emo_amazement_freeform_NOIZEUS_NOISE_DATASET_Car Noise_Idle Noise_40mph_SNR[15]dB,16000,1.9747596979141235,15.545280456542969,0.8633266687393188,3.0605673108782088,4.235703703173267,3.4203684914981927,3.472759795869641,mband_N6_lin_AVR1_metrics.csv_ENH-mband_N6_lin_AVR1_p092_emo_amazement_freeform_NOIZEUS_NOISE_DATASET_Car Noise_Idle Noise_40mph_SNR[15]dB_CLN-p092_emo_amazement_freeform.csv,mband_N6_log_AVR0_p092_emo_amazement_freeform_NOIZEUS_NOISE_DATASET_Car Noise_Idle Noise_40mph_SNR[15]dB,16000,2.0058460235595703,17.95123863220215,0.8645391464233398,3.13565570967538,3.877894840848028,3.143074249740592,3.079203151800787,mband_N6_log_AVR0_metrics.csv_ENH-mband_N6_log_AVR0_p092_emo_amazement_freeform_NOIZEUS_NOISE_DATASET_Car Noise_Idle Noise_40mph_SNR[15]dB_CLN-p092_emo_amazement_freeform.csv,mband_N6_log_AVR1_p092_emo_amazement_freeform_NOIZEUS_NOISE_DATASET_Car Noise_Idle Noise_40mph_SNR[15]dB,16000,1.965144395828247,15.309562683105469,0.8616881966590881,3.030732665743147,3.965250379434643,3.059528970644897,3.065927227830528,mband_N6_log_AVR1_metrics.csv_ENH-mband_N6_log_AVR1_p092_emo_amazement_freeform_NOIZEUS_NOISE_DATASET_Car Noise_Idle Noise_40mph_SNR[15]dB_CLN-p092_emo_amazement_freeform.csv,mband_N6_mel_AVR0_p092_emo_amazement_freeform_NOIZEUS_NOISE_DATASET_Car Noise_Idle Noise_40mph_SNR[15]dB,16000,1.901158332824707,17.70197868347168,0.8697764277458191,3.095347132001604,3.770470504687452,3.1557280903087785,3.052437971245579,mband_N6_mel_AVR0_metrics.csv_ENH-mband_N6_mel_AVR0_p092_emo_amazement_freeform_NOIZEUS_NOISE_DATASET_Car Noise_Idle Noise_40mph_SNR[15]dB_CLN-p092_emo_amazement_freeform.csv,mband_N6_mel_AVR1_p092_emo_amazement_freeform_NOIZEUS_NOISE_DATASET_Car Noise_Idle Noise_40mph_SNR[15]dB,16000,1.8710358142852783,15.084709167480469,0.864573061466217,3.037373304367065,4.162682842290897,3.344292311582088,3.3859529075616366,mband_N6_mel_AVR1_metrics.csv_ENH-mband_N6_mel_AVR1_p092_emo_amazement_freeform_NOIZEUS_NOISE_DATASET_Car Noise_Idle Noise_40mph_SNR[15]dB_CLN-p092_emo_amazement_freeform.csv,mband_py_N6_lin_AVR0_8_p092_emo_amazement_freeform_NOIZEUS_NOISE_DATASET_Car Noise_Idle Noise_40mph_SNR[15]dB,16000,1.909541606903076,19.112201690673828,0.866219699382782,3.0422139848981584,3.6048099818918367,3.318469475557298,2.988200560842469,mband_py_N6_lin_AVR0_8_metrics.csv_ENH-mband_py_N6_lin_AVR0_8_p092_emo_amazement_freeform_NOIZEUS_NOISE_DATASET_Car Noise_Idle Noise_40mph_SNR[15]dB_CLN-p092_emo_amazement_freeform.csv,mband_py_N6_lin_AVR1_8_p092_emo_amazement_freeform_NOIZEUS_NOISE_DATASET_Car Noise_Idle Noise_40mph_SNR[15]dB,16000,2.036041736602783,15.90176773071289,0.8668665289878845,2.9927333763667514,3.9552633758491313,3.351487347802416,3.2083928827474115,mband_py_N6_lin_AVR1_8_metrics.csv_ENH-mband_py_N6_lin_AVR1_8_p092_emo_amazement_freeform_NOIZEUS_NOISE_DATASET_Car Noise_Idle Noise_40mph_SNR[15]dB_CLN-p092_emo_amazement_freeform.csv,mband_py_N6_log_AVR0_8_p092_emo_amazement_freeform_NOIZEUS_NOISE_DATASET_Car Noise_Idle Noise_40mph_SNR[15]dB,16000,2.143017292022705,18.25745391845703,0.8542816042900085,3.127731629780361,3.5934863496273857,3.2075140563499107,2.923926327598616,mband_py_N6_log_AVR0_8_metrics.csv_ENH-mband_py_N6_log_AVR0_8_p092_emo_amazement_freeform_NOIZEUS_NOISE_DATASET_Car Noise_Idle Noise_40mph_SNR[15]dB_CLN-p092_emo_amazement_freeform.csv,mband_py_N6_log_AVR1_8_p092_emo_amazement_freeform_NOIZEUS_NOISE_DATASET_Car Noise_Idle Noise_40mph_SNR[15]dB,16000,2.083519220352173,15.421229362487791,0.866581380367279,2.9867329597473145,3.95027424127608,3.5209633538855587,3.2821815600791093,mband_py_N6_log_AVR1_8_metrics.csv_ENH-mband_py_N6_log_AVR1_8_p092_emo_amazement_freeform_NOIZEUS_NOISE_DATASET_Car Noise_Idle Noise_40mph_SNR[15]dB_CLN-p092_emo_amazement_freeform.csv,mband_py_N6_mel_AVR0_8_p092_emo_amazement_freeform_NOIZEUS_NOISE_DATASET_Car Noise_Idle Noise_40mph_SNR[15]dB,16000,2.0343785285949707,18.380857467651367,0.8760079145431519,3.1003635270254954,3.6028555317410222,3.238188238456786,2.9499804796873192,mband_py_N6_mel_AVR0_8_metrics.csv_ENH-mband_py_N6_mel_AVR0_8_p092_emo_amazement_freeform_NOIZEUS_NOISE_DATASET_Car Noise_Idle Noise_40mph_SNR[15]dB_CLN-p092_emo_amazement_freeform.csv,mband_py_N6_mel_AVR1_8_p092_emo_amazement_freeform_NOIZEUS_NOISE_DATASET_Car Noise_Idle Noise_40mph_SNR[15]dB,16000,2.089282512664795,15.408876419067385,0.8729081749916077,3.105394193104335,3.9133253130525856,3.323989635381771,3.1566777119336966,mband_py_N6_mel_AVR1_8_metrics.csv_ENH-mband_py_N6_mel_AVR1_8_p092_emo_amazement_freeform_NOIZEUS_NOISE_DATASET_Car Noise_Idle Noise_40mph_SNR[15]dB_CLN-p092_emo_amazement_freeform.csv,Car
