SNR_dB,Parameter,Best_Value,Score
-5,Freq_spacing,linear,0.6133418844364308
-5,Nband,16,0.6143247820271386
-5,FRMSZ_ms,20,0.615223698174512
-5,OVLP,75,0.6148949670791626
-5,Floor,0.8,0.6178032183352812
-5,Noisefr,1,0.61314838691994
0,Freq_spacing,mel,0.6994804999563429
0,Nband,16,0.6999443824202926
0,FRMSZ_ms,20,0.7002337941416987
0,OVLP,75,0.7005558073962176
0,Floor,0.8,0.7025247385472427
0,Noisefr,1,0.6989445669268385
5,Freq_spacing,mel,0.7608589390472129
5,Nband,16,0.7615093095214278
5,FRMSZ_ms,8,0.7619445448451572
5,OVLP,75,0.7636425617889122
5,Floor,0.7,0.763860575210901
5,Noisefr,1,0.760732191639182
10,Freq_spacing,log,0.8013920844042742
10,Nband,8,0.8013941902584499
10,FRMSZ_ms,20,0.8016943359375
10,OVLP,75,0.8063043560805144
10,Floor,0.8,0.8042160803889051
10,Noisefr,1,0.8009675233746752
15,Freq_spacing,mel,0.8290911211790862
15,Nband,16,0.8291533014509413
15,FRMSZ_ms,20,0.830075139204661
15,OVLP,75,0.8371883207780344
15,Floor,0.8,0.8314487938527708
15,Noisefr,1,0.8289544542041826
