SNR_dB,Best_Config,Freq_spacing,Nband,FRMSZ_ms,OVLP,Floor,Noisefr,STOI_Score,PESQ,STOI,SI_SDR,DNSMOS
-5,mband_mel_N16_F25_O50_FL0p8,mel,16,25,50,0.8,1,0.6448230028152466,1.2897687911987306,0.6448230028152466,3.9837839603424072,2.4091939956750843
0,mband_mel_N4_F20_O75_FL0p001,mel,4,20,75,0.001,1,0.7243131637573242,1.4872080564498902,0.7243131637573242,8.215573024749755,2.691006405341539
5,mband_log_N4_F25_O75_FL0p8,log,4,25,75,0.8,1,0.7777912974357605,1.8128877639770509,0.7777912974357605,11.9134952545166,3.3745840874572424
10,mband_log_N8_F20_O75_FL0p7,log,8,20,75,0.7,1,0.8191624283790588,2.237222123146057,0.8191624283790588,15.464375114440918,3.732671513148273
15,mband_log_N8_F25_O75_FL0p7,log,8,25,75,0.7,1,0.8469589352607727,2.603817892074585,0.8469589352607727,18.20279541015625,3.884750834947193
