epoch,train_loss,val_loss,mse,mae,correlation
1,43.80564012527466,6.007410645484924,0.37489867,0.32366598,-0.0013345857199940421
2,46.7820240020752,5.622185826301575,0.35672185,0.29728532,-0.00031534518091314256
3,43.4383873462677,5.236469149589539,0.3400456,0.27348602,0.006842534353258349
4,41.00380048751831,4.833403527736664,0.32160848,0.24569318,0.022657475798520843
5,41.29467334747314,4.520378589630127,0.3057488,0.22120005,0.049229309039046265
6,40.648738050460814,4.272717595100403,0.29447678,0.20150772,0.07484755728022079
7,40.71132287979126,4.101943790912628,0.28551677,0.18763687,0.10531106062417565
8,39.35413064956665,3.9168100357055664,0.27600914,0.17239733,0.14851883095222712
9,40.44268245697022,3.7858464121818542,0.2689371,0.16006632,0.1892401590495399
10,39.80952694416046,3.676334321498871,0.26254064,0.14856996,0.2359763282779035
11,41.753153038024905,3.559410512447357,0.25735596,0.13580726,0.277949290379501
12,42.11490414142609,3.488794267177582,0.2532626,0.12876318,0.3111369638166459
13,39.79173879623413,3.415140151977539,0.2484158,0.12754586,0.3425559132087723
14,39.91534762382507,3.3656759411096573,0.24474947,0.12586245,0.3601573421746296
15,40.68895931243897,3.300817921757698,0.2405909,0.12588078,0.3791453245420109
16,37.19340353012085,3.2490236312150955,0.23630784,0.12447902,0.39912690697078373
17,39.79481167793274,3.196380764245987,0.23198266,0.11766707,0.42272808514524496
18,36.770247507095334,3.1934369802474976,0.23201044,0.1262881,0.4135528418611826
19,37.66106107234955,3.139038175344467,0.22869848,0.11828628,0.4345112631734652
20,39.71594076156616,3.1180646270513535,0.22712183,0.12123979,0.43761564529780245
21,40.20453352928162,3.097222238779068,0.2237472,0.11848179,0.45359087016269806
22,37.038645124435426,3.1518166065216064,0.22722521,0.13215585,0.42749450483938706
23,36.61062217950821,3.1991307139396667,0.23142505,0.14247963,0.4123107631654534
24,36.66122683286667,3.029420346021652,0.21736948,0.11642007,0.4788951762834477
25,37.793565940856936,3.0959273278713226,0.22265229,0.13241374,0.4486572097596834
26,36.25311295986175,2.9845042675733566,0.21286252,0.11170756,0.4975116310507384
27,35.80123345851898,2.959130585193634,0.21296012,0.11669383,0.49431491835380975
28,34.01712183952331,2.943384200334549,0.21253344,0.11308259,0.5058193847427397
29,36.14491174221039,2.982464909553528,0.21703295,0.12774666,0.4732426961232356
30,36.60311317443848,2.920120060443878,0.2119756,0.10940899,0.5103329560490527
31,37.380585360527036,2.880197674036026,0.20860057,0.10863807,0.5215868216794398
32,35.70273857116699,2.898800879716873,0.21027948,0.11804136,0.5017330462182658
33,35.83108305931091,2.9354332834482193,0.21292107,0.12570843,0.4861485272898702
34,36.11185586452484,2.8730779588222504,0.2087248,0.121051446,0.5008154419327502
35,35.89416432380676,2.8299438506364822,0.20499595,0.11758279,0.5171566566561416
36,34.582832956314085,2.8305673003196716,0.20486149,0.11064307,0.5379874238700338
37,34.85034773349762,2.900885984301567,0.21159385,0.12259447,0.48943962683943787
38,34.1602241396904,2.7952999025583267,0.20333755,0.11432942,0.5433163279827451
39,34.952155995368955,2.803836926817894,0.20235233,0.10500275,0.5525404743903364
40,35.65010932683945,2.9477570354938507,0.2146574,0.12717932,0.4796135110131311
41,35.60355205535889,2.7393419444561005,0.19925334,0.10671494,0.5454800625472583
42,34.01826170682907,2.7369437515735626,0.1967479,0.10897037,0.5541027039842067
43,35.61191318035126,2.7312875390052795,0.19797762,0.10533523,0.5642578158165084
44,35.83564454317093,2.727254554629326,0.19812024,0.1116223,0.5471896277872216
45,36.01525164842606,2.7970235645771027,0.20180696,0.12123914,0.530750194339687
46,34.70691460967064,2.6904447823762894,0.19571112,0.097603105,0.5982804801280878
47,34.599902749061584,2.758383184671402,0.20106693,0.111691765,0.5316279770728253
48,34.38465826511383,2.7608171552419662,0.19860862,0.09777809,0.5932852894481159
49,34.71113226413727,2.669635809957981,0.19441266,0.09676888,0.6056490231897442
50,32.87669515609741,2.67060387134552,0.19389068,0.10463323,0.5793329804421782
