Phase,Test_ID,Freq_spacing,Nband,FRMSZ_ms,OVLP,Averaging,Noisefr,Floor,VAD,Noise_File,Noise_Category,Clean_File,SNR_dB,PESQ,STOI,SI_SDR,DNSMOS_mos_ovr,DNSMOS_mos_sig,DNSMOS_mos_bak,Status
2,P2_mel_F0.002_-5dB,mel,8,20,75,1,1,0.002,1,PC Fan Noise.wav,Stationary,emo_contentment_sentences.wav,-5,1.4718297719955444,0.7406517863273621,8.954968452453613,3.1631702284342094,3.5001368248605487,4.39719313528467,Success
2,P2_mel_F0.1_-5dB,mel,8,20,75,1,1,0.1,1,PC Fan Noise.wav,Stationary,emo_contentment_sentences.wav,-5,1.6136212348937988,0.734443187713623,9.005786895751953,3.072415495460731,3.418218796220774,4.211833641409585,Success
2,P2_mel_F0.3_-5dB,mel,8,20,75,1,1,0.3,1,PC Fan Noise.wav,Stationary,emo_contentment_sentences.wav,-5,1.6649994850158691,0.7510012984275818,8.954383850097656,3.3125550956346808,3.7165234952064496,4.28380517824016,Success
2,P2_mel_F0.5_-5dB,mel,8,20,75,1,1,0.5,1,PC Fan Noise.wav,Stationary,emo_contentment_sentences.wav,-5,1.6462366580963135,0.7461323142051697,9.099593162536621,3.0375787997745585,3.5645643841375225,3.8429789721638716,Success
2,P2_mel_F0.6_-5dB,mel,8,20,75,1,1,0.6,1,PC Fan Noise.wav,Stationary,emo_contentment_sentences.wav,-5,1.6227271556854248,0.7418004274368286,9.005002975463867,3.1168213446799333,3.5406400743184325,4.147458763807956,Success
2,P2_mel_F0.7_-5dB,mel,8,20,75,1,1,0.7,1,PC Fan Noise.wav,Stationary,emo_contentment_sentences.wav,-5,1.5700873136520386,0.7306820154190063,8.822608947753906,2.8421087578432562,3.2268171702417505,4.055768813966494,Success
2,P2_mel_F0.8_-5dB,mel,8,20,75,1,1,0.8,1,PC Fan Noise.wav,Stationary,emo_contentment_sentences.wav,-5,1.511587381362915,0.7496814131736755,9.135424613952637,3.4002585181524108,3.8278644381505673,4.222961286106669,Success
2,P2_log_F0.002_-5dB,log,8,20,75,1,1,0.002,1,PC Fan Noise.wav,Stationary,emo_contentment_sentences.wav,-5,1.6901744604110718,0.7307242155075073,8.331122398376465,2.900386025373161,3.1799007321599926,4.236027078595676,Success
2,P2_log_F0.1_-5dB,log,8,20,75,1,1,0.1,1,PC Fan Noise.wav,Stationary,emo_contentment_sentences.wav,-5,1.678877353668213,0.7356574535369873,8.664766311645508,2.701161182435813,3.0019170788853047,4.058736876240284,Success
2,P2_log_F0.3_-5dB,log,8,20,75,1,1,0.3,1,PC Fan Noise.wav,Stationary,emo_contentment_sentences.wav,-5,1.7158002853393555,0.7308486700057983,8.700336456298828,2.783296292709843,3.1097889733032242,4.078723871061546,Success
2,P2_log_F0.5_-5dB,log,8,20,75,1,1,0.5,1,PC Fan Noise.wav,Stationary,emo_contentment_sentences.wav,-5,1.6405224800109863,0.7565330266952515,8.927718162536621,2.8252121239144117,3.214837297509925,3.968834970001908,Success
