Phase,Test_ID,Freq_spacing,Nband,FRMSZ_ms,OVLP,Averaging,Noisefr,Floor,VAD,Noise_File,Noise_Category,Clean_File,SNR_dB,PESQ,STOI,SI_SDR,DNSMOS_mos_ovr,DNSMOS_mos_sig,DNSMOS_mos_bak,Status
1,P1A_mel_-5dB_PC Fan,mel,8,20,75,1,1,0.3,1,PC Fan Noise.wav,Stationary,emo_contentment_sentences.wav,-5,1.6179074048995972,0.7307568192481995,8.814032554626465,2.9177578554620403,3.3353243348338504,3.9570601671855834,Success
1,P1A_log_-5dB_PC Fan,log,8,20,75,1,1,0.3,1,PC Fan Noise.wav,Stationary,emo_contentment_sentences.wav,-5,1.751077651977539,0.7450810074806213,8.747146606445312,3.0466360026666295,3.383284101011011,4.21095967790435,Success
1,P1A_linear_-5dB_PC Fan,linear,8,20,75,1,1,0.3,1,PC Fan Noise.wav,Stationary,emo_contentment_sentences.wav,-5,1.6625473499298096,0.7404974699020386,9.036133766174316,2.7900000881036457,3.1938417699327823,3.869707999114729,Success
1,P1A_mel_-5dB_Street,mel,8,20,75,1,1,0.3,1,Street Noise.wav,Street,emo_contentment_sentences.wav,-5,1.2280209064483643,0.6557372212409973,4.14805793762207,2.4766773284792047,2.6184347431695105,4.233421089044651,Success
1,P1A_log_-5dB_Street,log,8,20,75,1,1,0.3,1,Street Noise.wav,Street,emo_contentment_sentences.wav,-5,1.1826093196868896,0.6153485774993896,3.3130030632019043,2.087279333002394,2.1232846602305133,4.018230105152989,Success
1,P1A_linear_-5dB_Street,linear,8,20,75,1,1,0.3,1,Street Noise.wav,Street,emo_contentment_sentences.wav,-5,1.2041124105453491,0.6039461493492126,3.1868245601654053,2.0772207573038983,2.1548843761789453,3.951009853187996,Success
1,P1A_mel_0dB_PC Fan,mel,8,20,75,1,1,0.3,1,PC Fan Noise.wav,Stationary,emo_contentment_sentences.wav,0,2.0725839138031006,0.7868983149528503,11.458553314208984,3.4892764683962803,3.8178477546802743,4.460225307850638,Success
1,P1A_log_0dB_PC Fan,log,8,20,75,1,1,0.3,1,PC Fan Noise.wav,Stationary,emo_contentment_sentences.wav,0,2.0353336334228516,0.7865123748779297,11.292448043823242,3.519730207674627,3.8890769814323924,4.484199073703353,Success
1,P1A_linear_0dB_PC Fan,linear,8,20,75,1,1,0.3,1,PC Fan Noise.wav,Stationary,emo_contentment_sentences.wav,0,2.121546745300293,0.7939454913139343,11.751617431640625,3.9864520186757475,4.310853425984928,4.6398674477033826,Success
1,P1A_mel_0dB_Street,mel,8,20,75,1,1,0.3,1,Street Noise.wav,Street,emo_contentment_sentences.wav,0,1.4194512367248535,0.7048488855361938,7.361668586730957,2.7964039866596777,3.174841660097968,3.7635735525466507,Success
1,P1A_log_0dB_Street,log,8,20,75,1,1,0.3,1,Street Noise.wav,Street,emo_contentment_sentences.wav,0,1.4024847745895386,0.714524507522583,7.4260101318359375,2.4129038845659903,2.686666279276562,3.857754717053267,Success
1,P1A_linear_0dB_Street,linear,8,20,75,1,1,0.3,1,Street Noise.wav,Street,emo_contentment_sentences.wav,0,1.3892641067504883,0.703781008720398,7.532204627990723,2.311565363524408,2.554053731486606,3.7845696703317193,Success
1,P1A_mel_5dB_PC Fan,mel,8,20,75,1,1,0.3,1,PC Fan Noise.wav,Stationary,emo_contentment_sentences.wav,5,2.5471115112304688,0.8275182843208313,13.452371597290039,3.785135364814615,4.120273739715357,4.5285452231986785,Success
1,P1A_log_5dB_PC Fan,log,8,20,75,1,1,0.3,1,PC Fan Noise.wav,Stationary,emo_contentment_sentences.wav,5,2.427314281463623,0.8284018039703369,13.31263542175293,4.055245740857303,4.316292385459416,4.655466548991958,Success
1,P1A_linear_5dB_PC Fan,linear,8,20,75,1,1,0.3,1,PC Fan Noise.wav,Stationary,emo_contentment_sentences.wav,5,2.4363136291503906,0.8185827136039734,13.457208633422852,3.9816031745467764,4.2496170195449645,4.648813126889635,Success
1,P1A_mel_5dB_Street,mel,8,20,75,1,1,0.3,1,Street Noise.wav,Street,emo_contentment_sentences.wav,5,1.7463009357452393,0.7784484624862671,11.483970642089844,3.5485436628283487,3.9194008236922286,4.49855746397935,Success
1,P1A_log_5dB_Street,log,8,20,75,1,1,0.3,1,Street Noise.wav,Street,emo_contentment_sentences.wav,5,1.7137207984924316,0.7682371735572815,10.793875694274902,3.079885782823928,3.5010917474993106,4.0547358804824,Success
1,P1A_linear_5dB_Street,linear,8,20,75,1,1,0.3,1,Street Noise.wav,Street,emo_contentment_sentences.wav,5,1.6603697538375854,0.7583430409431458,11.060344696044922,3.1986009421588286,3.610890351987977,4.181899228606711,Success
1,P1A_mel_10dB_PC Fan,mel,8,20,75,1,1,0.3,1,PC Fan Noise.wav,Stationary,emo_contentment_sentences.wav,10,2.7594025135040283,0.8530890941619873,15.554948806762695,3.971428131645737,4.262186211467973,4.608602849180439,Success
1,P1A_log_10dB_PC Fan,log,8,20,75,1,1,0.3,1,PC Fan Noise.wav,Stationary,emo_contentment_sentences.wav,10,2.8945114612579346,0.8548718094825745,15.030433654785156,4.041791136157957,4.3243914957291745,4.647957298398682,Success
1,P1A_linear_10dB_PC Fan,linear,8,20,75,1,1,0.3,1,PC Fan Noise.wav,Stationary,emo_contentment_sentences.wav,10,2.8080153465270996,0.8474207520484924,15.52343463897705,4.104889430387408,4.408230723520186,4.624363335165956,Success
1,P1A_mel_10dB_Street,mel,8,20,75,1,1,0.3,1,Street Noise.wav,Street,emo_contentment_sentences.wav,10,2.1667370796203613,0.8152236342430115,14.588933944702148,3.662848511932126,4.0461632017174205,4.4060581669370364,Success
1,P1A_log_10dB_Street,log,8,20,75,1,1,0.3,1,Street Noise.wav,Street,emo_contentment_sentences.wav,10,2.124011516571045,0.8124557733535767,14.576532363891602,3.8313401174104897,4.183391597249224,4.557212418559063,Success
1,P1A_linear_10dB_Street,linear,8,20,75,1,1,0.3,1,Street Noise.wav,Street,emo_contentment_sentences.wav,10,2.213751792907715,0.8080891966819763,14.58978271484375,3.710672451173115,4.084495348560999,4.425435178792657,Success
