Metric,SNR_dB,Noisy,mband_py_log_full_stream_og_wts_avr1,mband_py_log_full_stream_og_wts_avr0,mband_py_log_hanning_avr1,mband_py_log_hanning_avr0
PESQ,-5,1.0658,1.107,1.1076,1.115,1.1124
PESQ,0,1.0937,1.2112,1.21,1.2316,1.2143
PESQ,5,1.1733,1.4441,1.4153,1.4388,1.4087
PESQ,10,1.3446,1.712,1.6801,1.7426,1.6864
PESQ,15,1.6468,2.1047,2.0643,2.2116,2.0995
SI_SDR,-5,-4.9899,-0.221,-0.6144,-0.3982,-0.6522
SI_SDR,0,-0.0263,4.4946,4.3359,4.5351,4.3445
SI_SDR,5,4.9955,8.623,8.5597,8.5759,8.6115
SI_SDR,10,9.9991,11.7021,12.2618,11.5198,12.3311
SI_SDR,15,14.9989,14.1056,15.3844,14.0693,15.4249
STOI,-5,0.5866,0.5839,0.575,0.5835,0.5703
STOI,0,0.6549,0.647,0.6419,0.6544,0.6432
STOI,5,0.7153,0.7146,0.715,0.7193,0.7151
STOI,10,0.774,0.7703,0.7702,0.7725,0.7728
STOI,15,0.8137,0.8131,0.8124,0.8163,0.8199
DNSMOS_p808_mos,-5,2.4363,2.5999,2.5608,2.5548,2.5137
DNSMOS_p808_mos,0,2.5694,2.6414,2.6134,2.7021,2.6016
DNSMOS_p808_mos,5,2.7331,2.7831,2.6836,2.802,2.7329
DNSMOS_p808_mos,10,2.9111,2.9467,2.8687,2.9642,2.9096
DNSMOS_p808_mos,15,3.0481,3.0955,3.0709,3.1306,3.0495
DNSMOS_mos_sig,-5,3.5517,3.126,2.6591,3.4008,2.8454
DNSMOS_mos_sig,0,3.8877,3.3237,2.8738,3.4176,2.7291
DNSMOS_mos_sig,5,3.9827,3.5047,3.0925,3.5051,3.1247
DNSMOS_mos_sig,10,4.0784,3.7198,3.4104,3.7863,3.3699
DNSMOS_mos_sig,15,4.0454,3.9124,3.7343,3.9898,3.685
DNSMOS_mos_bak,-5,1.6733,2.1556,2.0557,2.0577,2.0266
DNSMOS_mos_bak,0,1.903,2.3187,2.2396,2.2467,2.1458
DNSMOS_mos_bak,5,2.1026,2.4833,2.4256,2.4815,2.4005
DNSMOS_mos_bak,10,2.3277,2.8088,2.7306,2.7166,2.4992
DNSMOS_mos_bak,15,2.518,3.1232,2.9488,3.0892,2.8529
DNSMOS_mos_ovr,-5,1.9706,2.0981,1.8068,2.1469,1.8547
DNSMOS_mos_ovr,0,2.2631,2.2567,1.9622,2.2438,1.8522
DNSMOS_mos_ovr,5,2.4361,2.4231,2.1821,2.4471,2.17
DNSMOS_mos_ovr,10,2.6382,2.725,2.4973,2.7084,2.3733
DNSMOS_mos_ovr,15,2.7482,2.9974,2.8095,3.0388,2.7375
