Config_ID,Freq_spacing,Nband,FRMSZ_ms,OVLP,Floor,Noisefr,SI_SDR,PESQ,STOI,DNSMOS_mos_ovr
mband_linear_N16_F20_O25_FL0p5,linear,16,20,25,0.5,1,8.0552,1.4533,0.7466,3.5784
mband_linear_N16_F20_O25_FL0p7,linear,16,20,25,0.7,1,8.2928,1.5023,0.7475,3.2679
mband_linear_N16_F20_O25_FL0p8,linear,16,20,25,0.8,1,8.3214,1.4266,0.7529,2.918
mband_linear_N16_F20_O50_FL0p5,linear,16,20,50,0.5,1,8.4162,1.5128,0.738,3.3591
mband_linear_N16_F20_O50_FL0p7,linear,16,20,50,0.7,1,9.3085,1.5509,0.7416,3.4803
mband_linear_N16_F20_O50_FL0p8,linear,16,20,50,0.8,1,9.2634,1.4956,0.7516,3.0389
mband_linear_N16_F20_O75_FL0p5,linear,16,20,75,0.5,1,9.6937,1.542,0.7354,2.9811
mband_linear_N16_F20_O75_FL0p7,linear,16,20,75,0.7,1,9.1585,1.5334,0.7547,2.8996
mband_linear_N16_F20_O75_FL0p8,linear,16,20,75,0.8,1,9.4409,1.4659,0.7397,2.4931
mband_linear_N16_F25_O25_FL0p5,linear,16,25,25,0.5,1,7.4857,1.4974,0.7418,3.0875
mband_linear_N16_F25_O25_FL0p7,linear,16,25,25,0.7,1,7.4886,1.3961,0.741,3.5115
mband_linear_N16_F25_O25_FL0p8,linear,16,25,25,0.8,1,7.1855,1.3577,0.737,3.3683
mband_linear_N16_F25_O50_FL0p5,linear,16,25,50,0.5,1,8.7979,1.5077,0.736,3.3331
mband_linear_N16_F25_O50_FL0p7,linear,16,25,50,0.7,1,9.0578,1.4828,0.7351,3.1322
mband_linear_N16_F25_O50_FL0p8,linear,16,25,50,0.8,1,8.7704,1.4703,0.7479,3.3729
mband_linear_N16_F25_O75_FL0p5,linear,16,25,75,0.5,1,9.1312,1.4748,0.7369,2.9812
mband_linear_N16_F25_O75_FL0p7,linear,16,25,75,0.7,1,9.3873,1.5333,0.7387,3.1163
mband_linear_N16_F25_O75_FL0p8,linear,16,25,75,0.8,1,9.0428,1.4911,0.7652,2.956
mband_linear_N16_F8_O25_FL0p5,linear,16,8,25,0.5,1,8.6777,1.4233,0.745,3.0782
mband_linear_N16_F8_O25_FL0p7,linear,16,8,25,0.7,1,8.8115,1.4567,0.7281,2.7997
mband_linear_N16_F8_O25_FL0p8,linear,16,8,25,0.8,1,8.5529,1.3849,0.7542,2.5533
mband_linear_N16_F8_O50_FL0p5,linear,16,8,50,0.5,1,8.9925,1.4716,0.7385,3.1969
mband_linear_N16_F8_O50_FL0p7,linear,16,8,50,0.7,1,9.0728,1.4626,0.7318,3.1982
mband_linear_N16_F8_O50_FL0p8,linear,16,8,50,0.8,1,9.1695,1.4393,0.7265,2.9719
