Config_ID,Noise_Category,Freq_spacing,Nband,FRMSZ_ms,OVLP,PESQ,STOI,SI_SDR,DNSMOS_mos_ovr,DNSMOS_mos_ovr
mband_log_N16_F25_O50_FL0p5,Stationary,log,16,25,50,1.5635628700256348,0.7502279877662659,8.617593765258789,3.818377583186196,3.818377583186196
mband_mel_N16_F20_O25_FL0p7,Stationary,mel,16,20,25,1.4620091915130615,0.7362233996391296,7.672965049743652,3.725825247640993,3.725825247640993
mband_log_N4_F25_O50_FL0p5,Stationary,log,4,25,50,1.5049649477005005,0.748665988445282,8.326327323913574,3.7236110395959976,3.7236110395959976
mband_log_N8_F25_O50_FL0p5,Stationary,log,8,25,50,1.520853042602539,0.7458042502403259,8.35405445098877,3.718559114385221,3.718559114385221
mband_linear_N16_F20_O25_FL0p7,Stationary,linear,16,20,25,1.4577778577804563,0.7361354827880859,7.666409015655518,3.714929907417985,3.714929907417985
mband_linear_N4_F20_O25_FL0p8,Stationary,linear,4,20,25,1.5316781997680664,0.7526008486747742,7.731085777282715,3.714832543547152,3.714832543547152
mband_mel_N4_F20_O25_FL0p8,Stationary,mel,4,20,25,1.5321412086486816,0.752605676651001,7.731104850769043,3.706211559161508,3.706211559161508
mband_log_N16_F25_O50_FL0p001,Stationary,log,16,25,50,1.5133190155029297,0.7435241937637329,8.4197416305542,3.6945500196677945,3.6945500196677945
mband_mel_N8_F25_O75_FL0p5,Stationary,mel,8,25,75,1.476868987083435,0.7454685568809509,8.758500099182129,3.68432497364143,3.68432497364143
mband_linear_N8_F25_O75_FL0p5,Stationary,linear,8,25,75,1.477237105369568,0.7453638911247253,8.758708000183105,3.67947957805736,3.67947957805736
