Config_ID,Noise_Category,Freq_spacing,Nband,FRMSZ_ms,OVLP,PESQ,STOI,SI_SDR,DNSMOS_mos_ovr,Weighted_Score
mband_log_N8_F20_O75_FL0p5,Stationary,log,8,20,75,1.7051893472671509,0.7552767395973206,9.326773643493652,3.3888494081051497,0.5981573045253754
mband_mel_N4_F20_O75_FL0p5,Stationary,mel,4,20,75,1.6007471084594729,0.7654714584350586,9.019512176513672,3.380858494055606,0.5928104400634766
mband_linear_N4_F20_O75_FL0p5,Stationary,linear,4,20,75,1.6002311706542969,0.7655443549156189,9.019699096679688,3.3820960249387206,0.5927952945232391
mband_linear_N4_F20_O75_FL0p3,Stationary,linear,4,20,75,1.561652898788452,0.7730786800384521,9.002008438110352,3.07108520913809,0.5927046298980713
mband_mel_N4_F20_O75_FL0p3,Stationary,mel,4,20,75,1.561866044998169,0.7729431390762329,9.001777648925781,3.062281593892034,0.5926581740379333
mband_mel_N4_F20_O75_FL0p8,Stationary,mel,4,20,75,1.632305383682251,0.7546951770782471,9.210711479187012,3.1529247156464284,0.5905781269073487
mband_linear_N4_F20_O75_FL0p8,Stationary,linear,4,20,75,1.6318777799606323,0.7547200322151184,9.210867881774902,3.1548020381502995,0.5905477941036225
mband_log_N8_F20_O75_FL0p3,Stationary,log,8,20,75,1.6740731000900269,0.744636595249176,9.191328048706056,3.1439440316166487,0.5897256076335907
mband_log_N4_F20_O75_FL0p5,Stationary,log,4,20,75,1.6193794012069702,0.7544305324554443,9.15234661102295,3.0914547874176748,0.5891532063484192
mband_mel_N8_F25_O75_FL0p7,Stationary,mel,8,25,75,1.6515135765075684,0.7477224469184875,9.004600524902344,3.136697857859568,0.5890125811100007
