Config_ID,Freq_spacing,Nband,FRMSZ_ms,OVLP,PESQ,STOI,SI_SDR,DNSMOS_mos_ovr,Weighted_Score
mband_linear_N8_F20_O25_FL0p5,linear,8,20,25,1.1429991722106934,0.5899370312690735,-1.566762924194336,1.6535280449532603,0.4592684328556061
mband_mel_N8_F20_O25_FL0p5,mel,8,20,25,1.141016125679016,0.5897689461708069,-1.5684049129486084,1.6678765958635635,0.458986085653305
mband_mel_N16_F25_O50_FL0p8,mel,16,25,50,1.1616170406341553,0.5742588639259338,-2.086901426315308,1.6186251972366636,0.45329113602638244
mband_linear_N16_F25_O50_FL0p8,linear,16,25,50,1.150132656097412,0.5743635296821594,-2.085862398147583,1.6166075488900915,0.45219503045082093
mband_linear_N16_F20_O75_FL0p7,linear,16,20,75,1.145335078239441,0.5739641189575195,-1.2926822900772097,1.3081164934345044,0.45151556730270387
