Config_ID,Noise_Category,Freq_spacing,Nband,FRMSZ_ms,OVLP,PESQ,STOI,SI_SDR,DNSMOS_mos_ovr,SI_SDR
mband_linear_N8_F8_O75_FL0p001,Stationary,linear,8,8,75,1.5724467039108276,0.7277981638908386,9.354963302612305,3.222044672671905,9.354963302612305
mband_mel_N8_F8_O75_FL0p001,Stationary,mel,8,8,75,1.5714287757873535,0.7286581993103027,9.354839324951172,3.2560260025850147,9.354839324951172
mband_linear_N8_F8_O75_FL0p5,Stationary,linear,8,8,75,1.6320669651031494,0.7471925616264343,9.32932472229004,2.820852108024693,9.32932472229004
mband_mel_N8_F8_O75_FL0p5,Stationary,mel,8,8,75,1.6319622993469238,0.7473659515380859,9.329215049743652,2.839571343075097,9.329215049743652
mband_log_N8_F20_O75_FL0p5,Stationary,log,8,20,75,1.7051893472671509,0.7552767395973206,9.326773643493652,3.3888494081051497,9.326773643493652
mband_linear_N16_F8_O75_FL0p001,Stationary,linear,16,8,75,1.5269863605499268,0.7462020516395569,9.28195571899414,2.8434699879371155,9.28195571899414
mband_mel_N16_F8_O75_FL0p001,Stationary,mel,16,8,75,1.5267574787139893,0.746333658695221,9.281590461730955,2.839425675443333,9.281590461730955
mband_linear_N4_F8_O75_FL0p5,Stationary,linear,4,8,75,1.5687791109085083,0.7558800578117371,9.258490562438965,3.177752985903437,9.258490562438965
mband_mel_N4_F8_O75_FL0p5,Stationary,mel,4,8,75,1.568911075592041,0.7559019923210144,9.258350372314451,3.1708828110769907,9.258350372314451
mband_linear_N4_F8_O75_FL0p7,Stationary,linear,4,8,75,1.5163960456848145,0.7514296174049377,9.25423812866211,2.847354599902184,9.25423812866211
