SNR_dB,Parameter,Best_Objective,Obj_Score,Best_Subjective,Subj_Score,Agrees
-5,Freq_spacing,mel,0.4840792316426006,log,0.4556826302573604,False
-5,Nband,4,0.48300898528807323,4,0.4584767725030993,True
-5,FRMSZ_ms,8,0.4844284272143319,20,0.4703430019240195,False
-5,OVLP,75,0.48410113901244817,50,0.46656894894044093,False
-5,Floor,0.6,0.4844730771503147,0.6,0.46064633100949515,True
-5,Noisefr,1,0.48262804676203724,1,0.45480441749122846,True
0,Freq_spacing,mel,0.576080574647144,mel,0.5865052867940239,True
0,Nband,4,0.575537706470048,8,0.5883249683938293,False
0,FRMSZ_ms,8,0.5765365428026812,20,0.5979833819719717,False
0,OVLP,75,0.5786090637430733,50,0.5983511039740015,False
0,Floor,0.6,0.5771565178110276,0.6,0.5847948782746065,True
0,Noisefr,1,0.5754599375673283,1,0.58393021079435,True
5,Freq_spacing,mel,0.6589597487339267,linear,0.6958259445310286,False
5,Nband,4,0.657047671502755,8,0.6927371828193842,False
5,FRMSZ_ms,8,0.6592428321823661,20,0.7091221264700874,False
5,OVLP,75,0.6598514075448484,50,0.708967104122285,False
5,Floor,0.6,0.6588919646762036,0.2,0.6944505601722256,False
5,Noisefr,1,0.6568932745375751,1,0.6919715947907755,True
10,Freq_spacing,linear,0.7286394624798387,log,0.7598536428073009,False
10,Nband,4,0.728041641506148,4,0.7564025281074803,True
10,FRMSZ_ms,8,0.7317155213635645,20,0.767480807523873,False
10,OVLP,75,0.7352655464668333,50,0.7647280442914055,False
10,Floor,0.6,0.7317287864508453,0.6,0.7564889384250386,True
10,Noisefr,1,0.7278616520081773,1,0.7559281882874869,True
15,Freq_spacing,linear,0.7928215725278412,log,0.785542667911094,False
15,Nband,8,0.7928592027889357,4,0.7829009033383946,False
15,FRMSZ_ms,8,0.7979424807576485,20,0.7978805193332058,False
15,OVLP,75,0.8062107415662871,50,0.795676459419705,False
15,Floor,0.6,0.7985215069151219,0.6,0.7859397494316529,True
15,Noisefr,1,0.7926244613565046,1,0.7825734460080792,True
