Config_ID,Freq_spacing,Nband,FRMSZ_ms,OVLP,Floor,Noisefr,Objective_Score,Subjective_Score,Balanced_Score,PESQ,STOI,SI_SDR,DNSMOS_mos_ovr
mband_linear_N4_F20_O50_FL0p2,linear,4,20,50,0.2,1,0.6337,0.6847,0.6592,1.8972,0.7447,10.309,3.4233
mband_linear_N4_F20_O50_FL0p6,linear,4,20,50,0.6,1,0.6401,0.6689,0.6545,1.9093,0.75,10.6518,3.3445
mband_linear_N4_F20_O75_FL0p2,linear,4,20,75,0.2,1,0.6472,0.6527,0.6499,1.9333,0.7441,11.3225,3.2636
mband_linear_N4_F20_O75_FL0p6,linear,4,20,75,0.6,1,0.6551,0.6443,0.6497,1.9521,0.753,11.6595,3.2215
mband_linear_N4_F8_O50_FL0p2,linear,4,8,50,0.2,1,0.6446,0.6402,0.6424,1.8998,0.7423,11.3429,3.2009
mband_linear_N4_F8_O50_FL0p6,linear,4,8,50,0.6,1,0.6507,0.6621,0.6564,1.9279,0.7502,11.4918,3.3103
mband_linear_N4_F8_O75_FL0p2,linear,4,8,75,0.2,1,0.6499,0.631,0.6404,1.9267,0.7456,11.5597,3.155
mband_linear_N4_F8_O75_FL0p6,linear,4,8,75,0.6,1,0.6572,0.6462,0.6517,1.9608,0.7515,11.835,3.2309
mband_linear_N8_F20_O50_FL0p2,linear,8,20,50,0.2,1,0.6349,0.6931,0.664,1.8787,0.7477,10.4413,3.4657
mband_linear_N8_F20_O50_FL0p6,linear,8,20,50,0.6,1,0.6415,0.7075,0.6745,1.9132,0.7509,10.7294,3.5377
mband_linear_N8_F20_O75_FL0p2,linear,8,20,75,0.2,1,0.6445,0.6504,0.6475,1.935,0.7395,11.2113,3.2521
mband_linear_N8_F20_O75_FL0p6,linear,8,20,75,0.6,1,0.6551,0.6449,0.65,1.9625,0.753,11.5928,3.2246
mband_linear_N8_F8_O50_FL0p2,linear,8,8,50,0.2,1,0.6429,0.6465,0.6447,1.9056,0.7435,11.1208,3.2323
mband_linear_N8_F8_O50_FL0p6,linear,8,8,50,0.6,1,0.6472,0.6446,0.6459,1.9218,0.7483,11.2703,3.2232
mband_linear_N8_F8_O75_FL0p2,linear,8,8,75,0.2,1,0.6515,0.6252,0.6383,1.9211,0.749,11.6411,3.1258
mband_linear_N8_F8_O75_FL0p6,linear,8,8,75,0.6,1,0.6566,0.6323,0.6444,1.9367,0.7538,11.8588,3.1613
mband_log_N4_F20_O50_FL0p2,log,4,20,50,0.2,1,0.6315,0.6923,0.6619,1.8889,0.7439,10.1891,3.4615
mband_log_N4_F20_O50_FL0p6,log,4,20,50,0.6,1,0.6409,0.6854,0.6632,1.9333,0.7471,10.6676,3.4271
mband_log_N4_F20_O75_FL0p2,log,4,20,75,0.2,1,0.6449,0.6448,0.6448,1.9292,0.7469,11.0601,3.2238
mband_log_N4_F20_O75_FL0p6,log,4,20,75,0.6,1,0.654,0.6537,0.6539,1.949,0.7492,11.6902,3.2685
