Parameter,Obj_Most_Common,Obj_Consistency_%,Subj_Most_Common,Subj_Consistency_%,Agreement_%
Freq_spacing,mel,60.0,log,60.0,20.0
Nband,4,80.0,4,60.0,40.0
FRMSZ_ms,8,100.0,20,100.0,0.0
OVLP,75,100.0,50,100.0,0.0
Floor,0.6,100.0,0.6,80.0,80.0
Noisefr,1,100.0,1,100.0,100.0
