SNR_dB,Best_Obj_Config,Best_Obj_Freq,Best_Obj_Nband,Best_Obj_FRMSZ,Best_Obj_OVLP,Best_Obj_Floor,Best_Obj_Score,Best_Obj_PESQ,Best_Obj_STOI,Best_Obj_SI_SDR,Best_Subj_Config,Best_Subj_Freq,Best_Subj_Nband,Best_Subj_FRMSZ,Best_Subj_OVLP,Best_Subj_Floor,Best_Subj_Score,Best_Subj_DNSMOS,Same_Config
-5,mband_mel_N4_F20_O75_FL0p6,mel,4,20,75,0.6,0.49474134837035777,1.3107393980026245,0.6330588658650717,4.670518989364306,mband_linear_N8_F20_O50_FL0p2,linear,8,20,50,0.2,0.5313178445616735,2.656589222808367,False
0,mband_mel_N4_F20_O75_FL0p6,mel,4,20,75,0.6,0.5863326063862554,1.551070253054301,0.7199171384175619,8.865998903910318,mband_log_N8_F20_O50_FL0p2,log,8,20,50,0.2,0.6558471407883215,3.2792357039416076,False
5,mband_mel_N8_F20_O75_FL0p6,mel,8,20,75,0.6,0.6707905204207809,1.9246896107991536,0.7808628082275391,12.397124926249186,mband_mel_N4_F20_O50_FL0p6,mel,4,20,50,0.6,0.7801919789423705,3.900959894711852,False
10,mband_mel_N8_F8_O75_FL0p6,mel,8,8,75,0.6,0.7449470497943737,2.31136147181193,0.8149068554242452,15.729859987894693,mband_mel_N4_F20_O50_FL0p6,mel,4,20,50,0.6,0.8126285790358264,4.063142895179133,False
15,mband_linear_N8_F8_O75_FL0p6,linear,8,8,75,0.6,0.8160646438598634,2.6831576029459634,0.8489367167154948,18.87877082824707,mband_log_N4_F20_O50_FL0p2,log,4,20,50,0.2,0.8429248669284962,4.214624334642481,False
