Noise_Type,Baseline,GTCRN,GTCRN_SS_DNSMOS,GTCRN_SS_SI_SDR
Car Noise_60mph,2.951082,3.313509,3.334722,3.407049
Car Noise_Idle Noise_40mph,2.935792,3.267736,3.325119,3.332487
Car Noise_Idle Noise_60mph,2.949073,3.378227,3.531407,3.498621
Construction_Crane_Moving,2.392284,2.880418,2.960296,2.967721
Construction_Drilling,2.251945,3.053580,3.081586,3.065318
Construction_Jackhammer1,2.396299,3.175077,3.186211,3.263281
Construction_Jackhammer2,2.410230,3.139712,3.307902,3.195187
Construction_Trucks_Unloading,2.198890,2.976358,2.970026,3.017806
Inside Flight,2.741361,3.075951,3.255161,3.067550
Inside Train_1,2.507423,3.185699,3.224626,3.253574
Inside Train_2,2.696011,3.233394,3.352276,3.320615
Inside Train_3,2.882969,3.070877,3.204296,3.091639
PC Fan Noise,2.793579,3.466171,3.523491,3.527014
SSN_IEEE,2.226962,3.211528,3.247983,3.243517
Street Noise,2.485903,3.194254,3.246398,3.211094
Street Noise_downtown,2.064102,3.159971,3.289108,3.195471
Train1,2.434654,2.927586,3.129539,3.010596
Train2,2.389257,3.268236,3.325310,3.439444
Water Cooler,2.637480,3.260325,3.331589,3.297435
cafeteria_babble,2.303540,2.843272,2.892380,2.862863
