Noise_Type,Baseline,GTCRN,GTCRN_SS_Log,GTCRN_SS_Mel
Car Noise_60mph,-4.987777,4.988284,5.118574,5.118052
Car Noise_Idle Noise_40mph,-5.046999,5.851138,5.883491,5.891777
Car Noise_Idle Noise_60mph,-4.905918,7.177166,7.250943,7.263370
Construction_Crane_Moving,-4.967432,0.378901,0.307395,0.328015
Construction_Drilling,-4.901578,1.292200,1.225020,1.238008
Construction_Jackhammer1,-4.993921,3.607479,3.446140,3.449481
Construction_Jackhammer2,-4.993277,3.006174,2.938285,2.941422
Construction_Trucks_Unloading,-5.083519,1.725311,1.742402,1.758921
Inside Flight,-5.046665,7.799532,7.727149,7.744191
Inside Train_1,-5.005409,3.967400,3.874774,3.887407
Inside Train_2,-4.999782,3.041704,3.037297,3.027701
Inside Train_3,-4.928765,-0.254913,-0.240263,-0.238286
PC Fan Noise,-4.987017,11.160984,11.088081,11.105427
SSN_IEEE,-5.012792,4.688668,4.660713,4.668033
Street Noise,-5.073538,4.868140,4.900411,4.904006
Street Noise_downtown,-5.014179,3.680626,3.698289,3.704150
Train1,-4.998906,6.296893,6.231859,6.237320
Train2,-4.978755,4.839947,4.832548,4.832085
Water Cooler,-5.048757,5.994633,5.886356,5.895804
cafeteria_babble,-4.822878,-1.008603,-0.891038,-0.923481
