Noise_Type,Baseline,GTCRN,GTCRN_SS_DNSMOS,GTCRN_SS_SI_SDR
Car Noise_60mph,4.978302,13.022751,11.742981,12.801907
Car Noise_Idle Noise_40mph,4.965452,12.682249,11.209659,12.147421
Car Noise_Idle Noise_60mph,4.994953,12.938963,11.711244,12.762390
Construction_Crane_Moving,5.001404,15.230575,13.048043,14.626699
Construction_Drilling,5.027543,11.949972,10.655814,11.621935
Construction_Jackhammer1,4.996144,12.665417,11.030100,12.224056
Construction_Jackhammer2,4.967119,11.159173,10.028453,10.868774
Construction_Trucks_Unloading,5.007856,12.830401,11.133548,12.367289
Inside Flight,5.009312,12.842402,11.278532,12.383169
Inside Train_1,4.997310,12.721610,11.217939,12.387205
Inside Train_2,5.008250,12.284642,11.035912,12.058172
Inside Train_3,4.976538,11.216881,10.193931,11.029467
PC Fan Noise,4.994998,13.958559,12.415668,13.559206
SSN_IEEE,4.963439,11.839150,10.644764,11.541237
Street Noise,5.047232,11.661493,10.311369,11.212722
Street Noise_downtown,4.997598,12.872236,11.299967,12.501449
Train1,5.014440,14.037169,12.161589,13.493240
Train2,5.000783,11.424116,10.174334,10.947356
Water Cooler,4.987569,13.199894,11.588835,12.908731
cafeteria_babble,4.988570,10.717606,9.722276,10.539171
