Noise_Type,Baseline,GTCRN,GTCRN_SS_DNSMOS,GTCRN_SS_SI_SDR
Car Noise_60mph,0.108660,9.311414,8.785823,9.338378
Car Noise_Idle Noise_40mph,0.039625,10.223616,9.383673,10.104107
Car Noise_Idle Noise_60mph,-0.000748,9.244541,8.703386,9.277234
Construction_Crane_Moving,-0.028869,9.890650,8.996960,9.694472
Construction_Drilling,0.022011,7.100233,6.586821,7.025833
Construction_Jackhammer1,0.011367,9.745729,8.744500,9.449359
Construction_Jackhammer2,0.018061,8.028641,7.327494,7.851250
Construction_Trucks_Unloading,0.009719,9.095275,8.176806,8.879097
Inside Flight,0.025890,10.674559,9.642726,10.427235
Inside Train_1,0.018380,9.484856,8.570143,9.274570
Inside Train_2,-0.112420,8.023598,7.496736,7.951434
Inside Train_3,0.024202,7.801683,7.315145,7.708067
PC Fan Noise,0.008215,11.928014,10.813004,11.723832
SSN_IEEE,0.113833,8.172283,7.466449,8.057753
Street Noise,-0.011210,8.120848,7.461255,8.010004
Street Noise_downtown,0.055262,7.763130,7.020913,7.621884
Train1,0.000299,10.341115,9.336217,10.087943
Train2,-0.107528,6.400950,5.805604,6.260693
Water Cooler,-0.112866,8.200854,7.465497,7.887089
cafeteria_babble,-0.091976,5.229574,4.823258,5.162259
