SNR (dB),Baseline,GTCRN,GTCRN_SS DNSMOS,GTCRN_SS SI_SDR
-5,0.6112654387950898,0.6451211422681808,0.6448875546455384,0.6435822129249573
0,0.6748708426952362,0.7179628282785415,0.7160430371761322,0.7168952018022537
5,0.7308539420366287,0.7747308850288391,0.7700853943824768,0.7731931746006012
10,0.7769815772771835,0.8177407532930374,0.8111245572566986,0.8159972667694092
15,0.8126519590616226,0.8424634337425232,0.8343504190444946,0.8403281748294831
