Noise_Type,Baseline,GTCRN,GTCRN_SS_DNSMOS,GTCRN_SS_SI_SDR
Car Noise_60mph,0.656938,0.688602,0.690859,0.688169
Car Noise_Idle Noise_40mph,0.623543,0.653480,0.654797,0.652778
Car Noise_Idle Noise_60mph,0.671943,0.691520,0.695072,0.691129
Construction_Crane_Moving,0.614124,0.642919,0.643819,0.641190
Construction_Drilling,0.533666,0.524723,0.523493,0.520209
Construction_Jackhammer1,0.576782,0.672725,0.671055,0.672068
Construction_Jackhammer2,0.544530,0.639981,0.640140,0.638358
Construction_Trucks_Unloading,0.562533,0.563853,0.565644,0.562391
Inside Flight,0.627592,0.699295,0.697389,0.698306
Inside Train_1,0.587795,0.612430,0.611869,0.610899
Inside Train_2,0.644852,0.678441,0.677630,0.677720
Inside Train_3,0.648862,0.665856,0.673880,0.668706
PC Fan Noise,0.703912,0.747051,0.749243,0.747323
SSN_IEEE,0.587244,0.614011,0.611658,0.609688
Street Noise,0.595231,0.643044,0.643616,0.641622
Street Noise_downtown,0.606636,0.617602,0.615299,0.615787
Train1,0.614245,0.654904,0.653180,0.654955
Train2,0.613216,0.675866,0.668018,0.670800
Water Cooler,0.657374,0.702018,0.701104,0.700812
cafeteria_babble,0.554293,0.514103,0.509987,0.508734
