SNR (dB),Baseline,GTCRN,GTCRN_SS DNSMOS,GTCRN_SS SI_SDR
-5,1.0800359666347503,1.274841320514679,1.2753010094165802,1.2769970357418061
0,1.1057102859020234,1.4837170839309692,1.4779222548007964,1.4986593663692473
5,1.1883948981761931,1.7756971716880798,1.7470430374145507,1.7924436032772064
10,1.384624296426773,2.158509784936905,2.0920233547687532,2.1803550243377687
15,1.7424072206020356,2.5586861968040466,2.4326697826385497,2.5800508856773376
