SNR (dB),PESQ Log vs GTCRN (%),PESQ Mel vs GTCRN (%),PESQ Mel vs Log (%),SI_SDR Log vs GTCRN (%),SI_SDR Mel vs GTCRN (%),SI_SDR Mel vs Log (%),STOI Log vs GTCRN (%),STOI Mel vs GTCRN (%),STOI Mel vs Log (%),DNSMOS_p808_mos Log vs GTCRN (%),DNSMOS_p808_mos Mel vs GTCRN (%),DNSMOS_p808_mos Mel vs Log (%)
-5,0.42,0.51,0.08,-0.46,-0.32,0.14,-0.17,-0.18,-0.01,1.2,1.15,-0.05
0,0.84,0.85,0.02,-1.33,-1.25,0.09,-0.14,-0.15,-0.01,0.59,0.59,0.01
5,1.06,1.07,0.01,-1.79,-1.66,0.14,-0.14,-0.15,-0.0,0.45,0.44,-0.0
10,0.97,0.88,-0.09,-2.73,-2.56,0.18,-0.13,-0.13,0.0,0.34,0.32,-0.02
15,1.18,1.11,-0.07,-4.75,-4.5,0.26,-0.16,-0.16,0.0,0.19,0.18,-0.01
