Noise_Type,Baseline,GTCRN,GTCRN_SS_Log,GTCRN_SS_Mel
Car Noise_60mph,5.005819,12.410530,12.077915,12.084613
Car Noise_Idle Noise_40mph,5.015363,13.475967,13.277122,13.276915
Car Noise_Idle Noise_60mph,4.961920,12.905704,12.778103,12.791697
Construction_Crane_Moving,4.987167,8.628124,8.492858,8.511004
Construction_Drilling,4.963660,10.403825,10.248775,10.281797
Construction_Jackhammer1,5.010672,8.075751,7.850394,7.859818
Construction_Jackhammer2,5.017453,7.645504,7.520844,7.537075
Construction_Trucks_Unloading,5.014190,11.069176,10.913657,10.930031
Inside Flight,4.986920,13.753925,13.537193,13.572093
Inside Train_1,4.993890,11.864943,11.644507,11.660955
Inside Train_2,4.944716,12.284641,12.093143,12.111343
Inside Train_3,5.008039,4.347102,4.359935,4.380143
PC Fan Noise,5.000205,16.629646,16.086836,16.106192
SSN_IEEE,5.002088,10.633569,10.417933,10.426879
Street Noise,4.996853,11.849762,11.654474,11.680143
Street Noise_downtown,5.009315,11.538577,11.431334,11.445181
Train1,4.996566,11.515985,11.237498,11.253134
Train2,4.983411,11.539410,11.334037,11.342865
Water Cooler,5.029955,12.696772,12.458457,12.449149
cafeteria_babble,4.982758,10.250052,10.091953,10.114363
