Noise_Type,Baseline,GTCRN,GTCRN_SS_DNSMOS,GTCRN_SS_SI_SDR
Car Noise_60mph,0.711314,0.741917,0.737950,0.740302
Car Noise_Idle Noise_40mph,0.717245,0.744366,0.741787,0.743582
Car Noise_Idle Noise_60mph,0.705388,0.738356,0.737731,0.738150
Construction_Crane_Moving,0.647317,0.673309,0.669798,0.670886
Construction_Drilling,0.600437,0.619923,0.621638,0.618842
Construction_Jackhammer1,0.653677,0.731289,0.730324,0.729621
Construction_Jackhammer2,0.638783,0.704931,0.708736,0.706048
Construction_Trucks_Unloading,0.641838,0.714034,0.710671,0.712371
Inside Flight,0.681045,0.748992,0.742775,0.745998
Inside Train_1,0.671222,0.713230,0.711025,0.711932
Inside Train_2,0.696154,0.709961,0.706801,0.708351
Inside Train_3,0.691499,0.709320,0.710443,0.710187
PC Fan Noise,0.754659,0.797457,0.796995,0.799014
SSN_IEEE,0.662411,0.722457,0.719111,0.721231
Street Noise,0.664893,0.725551,0.726017,0.724602
Street Noise_downtown,0.659465,0.720868,0.717735,0.719076
Train1,0.682307,0.743237,0.738925,0.742667
Train2,0.676561,0.705578,0.700914,0.702450
Water Cooler,0.717156,0.769138,0.766623,0.768292
cafeteria_babble,0.624048,0.625342,0.624861,0.624302
