SNR (dB),Baseline,GTCRN,GTCRN_SS DNSMOS,GTCRN_SS SI_SDR
-5,2.385371279716492,2.9354116439819338,3.01537926197052,2.963607597351074
0,2.532441771030426,3.154094159603119,3.235971200466156,3.2134140491485597
5,2.764414596557617,3.3645660281181335,3.458026337623596,3.3935242533683776
10,2.912862467765808,3.512363338470459,3.5330490469932556,3.5177168965339662
15,3.076306402683258,3.62956246137619,3.6567504048347472,3.635137903690338
