Noise_Type,Baseline,GTCRN,GTCRN_SS_DNSMOS,GTCRN_SS_SI_SDR
Car Noise_60mph,3.107153,3.567813,3.641908,3.586225
Car Noise_Idle Noise_40mph,3.059634,3.470750,3.550343,3.498330
Car Noise_Idle Noise_60mph,3.177202,3.484164,3.668636,3.487407
Construction_Crane_Moving,2.679789,3.137511,3.341726,3.240716
Construction_Drilling,2.710161,3.054636,3.311084,3.112881
Construction_Jackhammer1,2.773422,3.453670,3.425952,3.396290
Construction_Jackhammer2,2.895439,3.143058,3.248731,3.165226
Construction_Trucks_Unloading,2.444918,3.215041,3.252800,3.295026
Inside Flight,2.875429,3.335845,3.459412,3.381929
Inside Train_1,2.690149,3.404248,3.555073,3.427432
Inside Train_2,2.877128,3.472126,3.492749,3.527428
Inside Train_3,2.910518,3.293319,3.433034,3.364200
PC Fan Noise,2.973176,3.666436,3.713343,3.706187
SSN_IEEE,2.467610,3.488978,3.590463,3.461250
Street Noise,2.675837,3.343969,3.347675,3.361403
Street Noise_downtown,2.424609,3.404403,3.467087,3.398544
Train1,2.667846,3.340515,3.430727,3.378235
Train2,2.565982,3.384494,3.470770,3.412390
Water Cooler,2.809864,3.601960,3.618693,3.614413
cafeteria_babble,2.502425,3.028383,3.140322,3.054973
