Noise_Type,Baseline,GTCRN,GTCRN_SS_DNSMOS,GTCRN_SS_SI_SDR
Car Noise_60mph,1.145095,1.757562,1.774447,1.769445
Car Noise_Idle Noise_40mph,1.140647,1.643586,1.643103,1.675816
Car Noise_Idle Noise_60mph,1.148250,1.795081,1.804735,1.846746
Construction_Crane_Moving,1.124178,1.717445,1.685906,1.724496
Construction_Drilling,1.117927,1.558553,1.541704,1.568743
Construction_Jackhammer1,1.232023,1.696010,1.665221,1.694315
Construction_Jackhammer2,1.193211,1.582747,1.582745,1.588929
Construction_Trucks_Unloading,1.135611,1.737007,1.681866,1.744790
Inside Flight,1.195127,2.118696,2.035083,2.125321
Inside Train_1,1.180849,1.820184,1.776696,1.829805
Inside Train_2,1.244206,1.824035,1.793093,1.835904
Inside Train_3,1.276266,1.614806,1.660906,1.655133
PC Fan Noise,1.189263,2.366644,2.272089,2.434735
SSN_IEEE,1.166643,1.768892,1.743384,1.787418
Street Noise,1.158416,1.775078,1.742949,1.794967
Street Noise_downtown,1.217750,1.740896,1.681987,1.741503
Train1,1.227680,1.776806,1.750043,1.783917
Train2,1.196465,1.627016,1.604362,1.641851
Water Cooler,1.303423,2.068647,1.993052,2.076001
cafeteria_babble,1.174869,1.524251,1.507490,1.529038
