Noise_Type,Baseline,GTCRN,GTCRN_SS_DNSMOS,GTCRN_SS_SI_SDR
Car Noise_60mph,0.759400,0.791749,0.787837,0.790027
Car Noise_Idle Noise_40mph,0.725085,0.754949,0.751822,0.754252
Car Noise_Idle Noise_60mph,0.756432,0.795684,0.790770,0.793817
Construction_Crane_Moving,0.731754,0.779397,0.773260,0.777962
Construction_Drilling,0.674661,0.740473,0.739688,0.738863
Construction_Jackhammer1,0.697985,0.755885,0.750651,0.753102
Construction_Jackhammer2,0.702484,0.763434,0.760137,0.762097
Construction_Trucks_Unloading,0.714070,0.766761,0.763405,0.765351
Inside Flight,0.738789,0.808309,0.803197,0.807030
Inside Train_1,0.722388,0.774044,0.767893,0.772335
Inside Train_2,0.744961,0.788188,0.783149,0.786430
Inside Train_3,0.741006,0.776103,0.772042,0.774582
PC Fan Noise,0.792321,0.825804,0.821350,0.825760
SSN_IEEE,0.727282,0.791852,0.785754,0.789735
Street Noise,0.725527,0.779700,0.774028,0.778227
Street Noise_downtown,0.731340,0.779108,0.772797,0.777469
Train1,0.746869,0.755753,0.752322,0.754891
Train2,0.728161,0.743527,0.738588,0.741766
Water Cooler,0.755765,0.806409,0.800953,0.805410
cafeteria_babble,0.700798,0.717488,0.712066,0.714756
