SNR_dB,Parameter,Best_Objective,Obj_Score,Best_Subjective,Subj_Score,Agrees
-5,Freq_spacing,linear,0.40938790106560796,log,0.4436181584537013,False
-5,Nband,8,0.4088122217904667,16,0.441254904063266,False
-5,FRMSZ_ms,20,0.4118663854713483,25,0.4667706277787591,False
-5,OVLP,50,0.4105225095289466,25,0.4485727664754865,False
-5,Floor,0.001,0.41526103025403643,0.2,0.48475206185188796,False
-5,Noisefr,1,0.40830351108605784,1,0.4369089862821493,True
0,Freq_spacing,mel,0.4958504580393958,log,0.4848255302228627,False
0,Nband,8,0.4955974646283984,4,0.48369502597112596,False
0,FRMSZ_ms,20,0.4986271139253041,25,0.5118798290498286,False
0,OVLP,50,0.49808448653380294,25,0.4980229499092486,False
0,Floor,0.001,0.5021122301066363,0.2,0.5280806420033887,False
0,Noisefr,1,0.49473367104750543,1,0.48304415163810116,True
5,Freq_spacing,linear,0.5798229510674042,linear,0.5494534591634176,True
5,Nband,8,0.579740821557553,8,0.5427545357170805,True
5,FRMSZ_ms,20,0.5839794235410459,25,0.5706940636363685,False
5,OVLP,75,0.5855626252780072,25,0.556268983272734,False
5,Floor,0.001,0.5857420077376241,0.2,0.5641481904482267,False
5,Noisefr,1,0.5786856992944969,1,0.5422911425153953,True
10,Freq_spacing,linear,0.6548802266068583,linear,0.6073530572415311,True
10,Nband,16,0.65517213679799,8,0.6076863544926977,False
10,FRMSZ_ms,20,0.658138675661353,25,0.625088799732187,False
10,OVLP,75,0.6684266596555601,25,0.6181649657420478,False
10,Floor,0.001,0.6583537308876516,0.2,0.6072730429026906,False
10,Noisefr,1,0.6540592947959755,1,0.6044214692944115,True
15,Freq_spacing,mel,0.7184781163590217,mel,0.6620876389454688,True
15,Nband,16,0.7179003995523422,16,0.6638822110021916,True
15,FRMSZ_ms,8,0.7204794721457312,25,0.6767908999181843,False
15,OVLP,75,0.7427943416529177,25,0.6781288095757642,False
15,Floor,0.02,0.7181478052200332,0.001,0.6704115013719351,False
15,Noisefr,1,0.7170176153665563,1,0.661350330731955,True
