SNR_dB,Best_Obj_Config,Best_Obj_Freq,Best_Obj_Nband,Best_Obj_FRMSZ,Best_Obj_OVLP,Best_Obj_Floor,Best_Obj_Score,Best_Obj_PESQ,Best_Obj_STOI,Best_Obj_SI_SDR,Best_Subj_Config,Best_Subj_Freq,Best_Subj_Nband,Best_Subj_FRMSZ,Best_Subj_OVLP,Best_Subj_Floor,Best_Subj_Score,Best_Subj_DNSMOS,Same_Config
-5,mband_linear_N4_F20_O50_FL0p7,linear,4,20,50,0.7,0.45845557157198585,1.3357629537582398,0.6354218482971191,4.26123878955841,mband_linear_N4_F20_O25_FL0p3,linear,4,20,25,0.3,0.5379614762811531,2.6898073814057653,False
0,mband_log_N4_F20_O75_FL0p7,log,4,20,75,0.7,0.524438304424286,1.5559707880020142,0.7151829957962036,8.950073337554931,mband_log_N8_F20_O25_FL0p3,log,8,20,25,0.3,0.6736102083457067,3.3680510417285334,False
5,mband_log_N8_F20_O75_FL0p5,log,8,20,75,0.5,0.589103483359019,1.8565606594085693,0.7738471269607544,12.248619842529298,mband_log_N4_F20_O25_FL0p001,log,4,20,25,0.001,0.7933765942391897,3.966882971195949,False
10,mband_log_N4_F20_O75_FL0p7,log,4,20,75,0.7,0.6601089296340943,2.2531798839569093,0.817925500869751,15.304907989501952,mband_log_N16_F25_O25_FL0p001,log,16,25,25,0.001,0.8322968448689879,4.16148422434494,False
15,mband_mel_N4_F20_O75_FL0p5,mel,4,20,75,0.5,0.7291037969589234,2.681514310836792,0.8436830043792725,18.26515350341797,mband_mel_N8_F25_O50_FL0p5,mel,8,25,50,0.5,0.8482182922612825,4.241091461306413,False
