Config_ID,Noise_Category,Freq_spacing,Nband,FRMSZ_ms,OVLP,PESQ,STOI,SI_SDR,DNSMOS_mos_ovr,DNSMOS_mos_ovr
mband_log_N8_F20_O50_FL0p7,Train,log,8,20,50,2.5097365379333496,0.8253250122070312,16.15351104736328,4.373643096632825,4.373643096632825
mband_log_N4_F25_O25_FL0p001,Construction,log,4,25,25,1.8545312881469729,0.7684281468391418,10.827913284301758,4.355680028707188,4.355680028707188
mband_log_N16_F25_O50_FL0p3,Train,log,16,25,50,2.472517728805542,0.8333041071891785,15.03882884979248,4.353542561987834,4.353542561987834
mband_log_N16_F25_O25_FL0p001,Construction,log,16,25,25,1.9860130548477173,0.8056396842002869,10.711030960083008,4.348088830682213,4.348088830682213
mband_mel_N8_F25_O50_FL0p5,Train,mel,8,25,50,2.457073926925659,0.8378061056137085,15.491483688354492,4.327562398545711,4.327562398545711
mband_linear_N8_F25_O50_FL0p5,Train,linear,8,25,50,2.4572386741638184,0.837702214717865,15.49355411529541,4.324548340666944,4.324548340666944
mband_log_N4_F20_O50_FL0p001,Train,log,4,20,50,2.45579195022583,0.8303138613700867,13.835044860839844,4.32100913684639,4.32100913684639
mband_linear_N16_F25_O25_FL0p001,Train,linear,16,25,25,2.0089974403381348,0.8054288625717163,11.003181457519531,4.318308352101697,4.318308352101697
mband_log_N16_F25_O50_FL0p001,Babble,log,16,25,50,2.2716548442840576,0.801981508731842,13.55068302154541,4.317405269420578,4.317405269420578
mband_mel_N16_F25_O25_FL0p001,Train,mel,16,25,25,2.011118173599243,0.8058897852897644,10.977453231811523,4.3150748626795545,4.3150748626795545
