Config_ID,Noise_Category,Freq_spacing,Nband,FRMSZ_ms,OVLP,PESQ,STOI,SI_SDR,DNSMOS_mos_ovr,PESQ
mband_log_N8_F8_O75_FL0p3,Stationary,log,8,8,75,2.8343334197998047,0.8490894436836243,15.405742645263672,3.852511203612504,2.8343334197998047
mband_mel_N4_F8_O75_FL0p8,Stationary,mel,4,8,75,2.8241045475006104,0.859091579914093,15.488109588623049,4.10027225007433,2.8241045475006104
mband_linear_N4_F8_O75_FL0p8,Stationary,linear,4,8,75,2.823927402496338,0.8590706586837769,15.488679885864258,4.098131762504585,2.823927402496338
mband_mel_N4_F8_O75_FL0p7,Stationary,mel,4,8,75,2.811572790145874,0.8495907187461853,15.90323543548584,3.9785031437600025,2.811572790145874
mband_linear_N4_F8_O75_FL0p7,Stationary,linear,4,8,75,2.8114278316497803,0.8495429158210754,15.903934478759766,3.983100467472049,2.8114278316497803
mband_log_N4_F8_O75_FL0p5,Stationary,log,4,8,75,2.809904098510742,0.8535245656967163,15.378366470336914,3.9480309507092888,2.809904098510742
mband_log_N4_F20_O75_FL0p8,Stationary,log,4,20,75,2.8082728385925293,0.846554696559906,15.40689468383789,4.010634912063582,2.8082728385925293
mband_mel_N16_F8_O75_FL0p7,Stationary,mel,16,8,75,2.804002523422241,0.8477432131767273,15.981643676757812,3.9486582450322207,2.804002523422241
mband_linear_N16_F8_O75_FL0p7,Stationary,linear,16,8,75,2.8013064861297607,0.8475496172904968,15.983875274658203,3.951656795386577,2.8013064861297607
mband_linear_N8_F20_O75_FL0p3,Stationary,linear,8,20,75,2.795717000961304,0.8494870066642761,15.326472282409668,4.132716373358469,2.795717000961304
