Config_ID,Noise_Category,Freq_spacing,Nband,FRMSZ_ms,OVLP,PESQ,STOI,SI_SDR,DNSMOS_mos_ovr,DNSMOS_mos_ovr
mband_log_N4_F25_O25_FL0p001,Stationary,log,4,25,25,2.0896637439727783,0.8280043601989746,10.611262321472168,4.3420169942205895,4.3420169942205895
mband_log_N4_F20_O25_FL0p3,Stationary,log,4,20,25,2.32865834236145,0.8400415778160095,11.746452331542969,4.323924744501063,4.323924744501063
mband_log_N4_F25_O50_FL0p001,Train,log,4,25,50,1.9819352626800537,0.808716893196106,11.982718467712402,4.314635986562386,4.314635986562386
mband_log_N4_F25_O25_FL0p001,Construction,log,4,25,25,1.5280379056930542,0.7564048767089844,9.960810661315918,4.313571994472688,4.313571994472688
mband_log_N4_F20_O50_FL0p7,Stationary,log,4,20,50,2.660292148590088,0.8555843830108643,14.419059753417969,4.310641996726734,4.310641996726734
mband_log_N16_F20_O50_FL0p001,Stationary,log,16,20,50,2.5832815170288086,0.8386567234992981,13.741472244262695,4.309052224776867,4.309052224776867
mband_linear_N4_F25_O25_FL0p7,Street,linear,4,25,25,1.804901361465454,0.7989012598991394,10.717267990112305,4.307883354674302,4.307883354674302
mband_mel_N4_F25_O25_FL0p7,Street,mel,4,25,25,1.80522894859314,0.7989031076431274,10.71709442138672,4.305786093342243,4.305786093342243
mband_mel_N16_F25_O25_FL0p001,Stationary,mel,16,25,25,2.115396738052368,0.8294787406921387,10.83881950378418,4.3042043981454245,4.3042043981454245
mband_linear_N16_F25_O25_FL0p001,Stationary,linear,16,25,25,2.1155314445495605,0.8276944160461426,10.859223365783691,4.299070100861813,4.299070100861813
