clean_file,enhanced_file,sampling_rate,PESQ_Baseline_Noisy,SI_SDR_Baseline_Noisy,STOI_Baseline_Noisy,DNSMOS_p808_mos_Baseline_Noisy,DNSMOS_mos_sig_Baseline_Noisy,DNSMOS_mos_bak_Baseline_Noisy,DNSMOS_mos_ovr_Baseline_Noisy,source_file,enhanced_file_Spectral_SS_v1,sampling_rate_Spectral_SS_v1,PESQ_Spectral_SS_v1,SI_SDR_Spectral_SS_v1,STOI_Spectral_SS_v1,DNSMOS_p808_mos_Spectral_SS_v1,DNSMOS_mos_sig_Spectral_SS_v1,DNSMOS_mos_bak_Spectral_SS_v1,DNSMOS_mos_ovr_Spectral_SS_v1,source_file_Spectral_SS_v1,enhanced_file_Spectral_GRU_VAD,sampling_rate_Spectral_GRU_VAD,PESQ_Spectral_GRU_VAD,SI_SDR_Spectral_GRU_VAD,STOI_Spectral_GRU_VAD,DNSMOS_p808_mos_Spectral_GRU_VAD,DNSMOS_mos_sig_Spectral_GRU_VAD,DNSMOS_mos_bak_Spectral_GRU_VAD,DNSMOS_mos_ovr_Spectral_GRU_VAD,source_file_Spectral_GRU_VAD,noise_category,PESQ_diff_Spectral_SS_v1,PESQ_pct_Spectral_SS_v1,PESQ_diff_Spectral_GRU_VAD,PESQ_pct_Spectral_GRU_VAD,SI_SDR_diff_Spectral_SS_v1,SI_SDR_pct_Spectral_SS_v1,SI_SDR_diff_Spectral_GRU_VAD,SI_SDR_pct_Spectral_GRU_VAD,STOI_diff_Spectral_SS_v1,STOI_pct_Spectral_SS_v1,STOI_diff_Spectral_GRU_VAD,STOI_pct_Spectral_GRU_VAD,DNSMOS_p808_mos_diff_Spectral_SS_v1,DNSMOS_p808_mos_pct_Spectral_SS_v1,DNSMOS_p808_mos_diff_Spectral_GRU_VAD,DNSMOS_p808_mos_pct_Spectral_GRU_VAD,DNSMOS_mos_sig_diff_Spectral_SS_v1,DNSMOS_mos_sig_pct_Spectral_SS_v1,DNSMOS_mos_sig_diff_Spectral_GRU_VAD,DNSMOS_mos_sig_pct_Spectral_GRU_VAD,DNSMOS_mos_bak_diff_Spectral_SS_v1,DNSMOS_mos_bak_pct_Spectral_SS_v1,DNSMOS_mos_bak_diff_Spectral_GRU_VAD,DNSMOS_mos_bak_pct_Spectral_GRU_VAD,DNSMOS_mos_ovr_diff_Spectral_SS_v1,DNSMOS_mos_ovr_pct_Spectral_SS_v1,DNSMOS_mos_ovr_diff_Spectral_GRU_VAD,DNSMOS_mos_ovr_pct_Spectral_GRU_VAD
p092_emo_adoration_freeform,BASELINE_p092_emo_adoration_freeform_Noise Recordings_Car Noise_60mph_SNR[5]dB.wav,16000,1.1700652837753296,5.006393432617188,0.8124449253082275,3.458475708961487,3.9227953874473633,2.614835505065249,2.750162641993513,BASELINE_metrics_SNR[5]dB_ENH-BASELINE_p092_emo_adoration_freeform_Noise Recordings_Car Noise_60mph_SNR[5]dB_CLN-p092_emo_adoration_freeform.csv,SS_p092_emo_adoration_freeform_Noise Recordings_cafeteria_babble_SNR5dB.wav,16000,1.263644456863403,6.836631774902344,0.7349790334701538,2.880783756573995,2.678191898399007,2.345192993972739,1.8896887883870424,SS_EXP1p1b_data_ENH-SS_p092_emo_adoration_freeform_Noise Recordings_cafeteria_babble_SNR5dB_CLN-p092_emo_adoration_freeform.csv,SS_p092_emo_adoration_freeform_Noise Recordings_cafeteria_babble_SNR[5]dB_THRESH[0.50].wav,16000,1.2805359363555908,7.083000183105469,0.7318578362464905,2.764572024345398,2.087681899358454,2.776479274187728,1.7199184037509143,SS_EXP2.1a_data_SNR[5]dB_THRESH[0.50]_ENH-SS_p092_emo_adoration_freeform_Noise Recordings_cafeteria_babble_SNR[5]dB_THRESH[0.50]_CLN-p092_emo_adoration_freeform.csv,Car,0.09357917308807351,7.997773661494442,0.11047065258026123,9.441409305283969,1.8302383422851554,36.558020597441605,2.0766067504882804,41.47909624838842,-0.07746589183807373,-9.534909927424867,-0.08058708906173706,-9.91908331892943,-0.5776919523874917,-16.703657940710574,-0.6939036846160889,-20.063858850246334,-1.2446034890483562,-31.727463864951748,-1.8351134880889095,-46.780759811259294,-0.2696425110925098,-10.31202576874071,0.16164376912247924,6.181794946923275,-0.8604738536064707,-31.28810785469539,-1.0302442382425987,-37.461211293882045
p092_emo_disappointment_sentences,BASELINE_p092_emo_disappointment_sentences_Noise Recordings_Train2_SNR[5]dB.wav,16000,1.131717085838318,5.001913070678711,0.6879149079322815,2.800613582134247,3.796276538742382,2.180783626463068,2.353097817024972,BASELINE_metrics_SNR[5]dB_ENH-BASELINE_p092_emo_disappointment_sentences_Noise Recordings_Train2_SNR[5]dB_CLN-p092_emo_disappointment_sentences.csv,SS_p092_emo_disappointment_sentences_Noise Recordings_Train1_SNR5dB.wav,16000,1.3461328744888306,6.051412582397461,0.6844474077224731,2.711819291114807,3.98428251898102,2.3438543388987583,2.5520766524777145,SS_EXP1p1b_data_ENH-SS_p092_emo_disappointment_sentences_Noise Recordings_Train1_SNR5dB_CLN-p092_emo_disappointment_sentences.csv,SS_p092_emo_disappointment_sentences_Noise Recordings_Train1_SNR[5]dB_THRESH[0.50].wav,16000,1.350556254386902,8.607254028320312,0.6955624222755432,2.766524016857147,3.978317638137512,2.566826617743379,2.768945888879985,SS_EXP2.1a_data_SNR[5]dB_THRESH[0.50]_ENH-SS_p092_emo_disappointment_sentences_Noise Recordings_Train1_SNR[5]dB_THRESH[0.50]_CLN-p092_emo_disappointment_sentences.csv,Train,0.21441578865051247,18.9460591638664,0.21883916854858398,19.33691478966045,1.04949951171875,20.98196223902674,3.6053409576416016,72.0792406164786,-0.0034675002098083496,-0.5040594657602174,0.007647514343261719,1.1116948121168704,-0.0887942910194397,-3.170529900514614,-0.03408956527709961,-1.2172177373760067,0.1880059802386378,4.952378424489587,0.1820410993951298,4.795253916234348,0.16307071243569027,7.477619992047015,0.38604299128031094,17.702030893657238,0.19897883545274242,8.456037569416127,0.41584807185501305,17.672366564887255
p092_emo_anger_sentences,BASELINE_p092_emo_anger_sentences_Noise Recordings_Construction_Trucks_Unloading_SNR[5]dB.wav,16000,1.1430963277816772,5.021116733551025,0.7581072449684143,2.3775084359305247,3.961755654347432,1.5820001554063126,2.001418054130281,BASELINE_metrics_SNR[5]dB_ENH-BASELINE_p092_emo_anger_sentences_Noise Recordings_Construction_Trucks_Unloading_SNR[5]dB_CLN-p092_emo_anger_sentences.csv,SS_p092_emo_anger_sentences_Noise Recordings_Construction_Jackhammer2_SNR5dB.wav,16000,1.1975650787353516,6.494291305541992,0.6909727454185486,2.169903073992048,3.183701234493832,1.7643769972944467,1.789638435209135,SS_EXP1p1b_data_ENH-SS_p092_emo_anger_sentences_Noise Recordings_Construction_Jackhammer2_SNR5dB_CLN-p092_emo_anger_sentences.csv,SS_p092_emo_anger_sentences_Noise Recordings_Construction_Jackhammer2_SNR[5]dB_THRESH[0.50].wav,16000,1.181280493736267,7.516522884368896,0.6846482157707214,2.3997724056243896,2.9176092091690697,1.8069651507510904,1.6870574348522254,SS_EXP2.1a_data_SNR[5]dB_THRESH[0.50]_ENH-SS_p092_emo_anger_sentences_Noise Recordings_Construction_Jackhammer2_SNR[5]dB_THRESH[0.50]_CLN-p092_emo_anger_sentences.csv,Construction,0.054468750953674316,4.765018452939816,0.038184165954589844,3.3404154161435407,1.4731745719909668,29.33958022021748,2.49540615081787,49.69823015951022,-0.06713449954986572,-8.85554121734621,-0.07345902919769287,-9.689793849780905,-0.20760536193847656,-8.732055743777945,0.022263969693864905,0.9364412490570654,-0.7780544198535999,-19.639131933838524,-1.0441464451783622,-26.35564977442686,0.1823768418881342,11.528244246050248,0.22496499534477787,14.2202890799969,-0.21177961892114583,-10.581478391488528,-0.3143606192780555,-15.706894350698827
p092_emo_cuteness_sentences,BASELINE_p092_emo_cuteness_sentences_Noise Recordings_SSN_IEEE_SNR[5]dB.wav,16000,1.0841732025146484,4.946779727935791,0.6215542554855347,2.5228575468063354,4.13701924430932,2.2675343026385564,2.778494353005472,BASELINE_metrics_SNR[5]dB_ENH-BASELINE_p092_emo_cuteness_sentences_Noise Recordings_SSN_IEEE_SNR[5]dB_CLN-p092_emo_cuteness_sentences.csv,SS_p092_emo_cuteness_sentences_Noise Recordings_PC Fan Noise_SNR5dB.wav,16000,1.2296298742294312,8.606046676635742,0.7369495630264282,2.692409038543701,3.668733505721257,2.387939167509855,2.552468121294857,SS_EXP1p1b_data_ENH-SS_p092_emo_cuteness_sentences_Noise Recordings_PC Fan Noise_SNR5dB_CLN-p092_emo_cuteness_sentences.csv,SS_p092_emo_cuteness_sentences_Noise Recordings_PC Fan Noise_SNR[5]dB_THRESH[0.50].wav,16000,1.3150030374526978,11.70012664794922,0.7266284823417664,2.6461381912231445,3.232385329184845,2.67247975031769,2.4343046196476834,SS_EXP2.1a_data_SNR[5]dB_THRESH[0.50]_ENH-SS_p092_emo_cuteness_sentences_Noise Recordings_PC Fan Noise_SNR[5]dB_THRESH[0.50]_CLN-p092_emo_cuteness_sentences.csv,Babble/SSN,0.14545667171478271,13.416368471145404,0.23082983493804932,21.290863342006514,3.659266948699951,73.97270850842801,6.7533469200134295,136.52006540488287,0.11539530754089355,18.565604936732534,0.10507422685623169,16.90507722035491,0.16955149173736572,6.720612979198908,0.12328064441680908,4.886547977029818,-0.468285738588063,-11.319399570891864,-0.9046339151244749,-21.866804617088615,0.12040486487129876,5.309946788068115,0.40494544767913343,17.858404488431745,-0.2260262317106152,-8.134845819143907,-0.3441897333577888,-12.38763479887882
p092_emo_anger_freeform,BASELINE_p092_emo_anger_freeform_Noise Recordings_Construction_Jackhammer2_SNR[5]dB.wav,16000,1.1010481119155884,4.987355709075928,0.7383337616920471,2.4740393502371654,3.4829620032696744,1.4436648963972931,1.761051607496293,BASELINE_metrics_SNR[5]dB_ENH-BASELINE_p092_emo_anger_freeform_Noise Recordings_Construction_Jackhammer2_SNR[5]dB_CLN-p092_emo_anger_freeform.csv,SS_p092_emo_anger_freeform_Noise Recordings_Construction_Jackhammer1_SNR5dB.wav,16000,1.1789178848266602,6.600049018859863,0.7970600128173828,2.428472076143537,3.855124667080193,1.4981878284148722,1.9074769381070016,SS_EXP1p1b_data_ENH-SS_p092_emo_anger_freeform_Noise Recordings_Construction_Jackhammer1_SNR5dB_CLN-p092_emo_anger_freeform.csv,SS_p092_emo_anger_freeform_Noise Recordings_Construction_Jackhammer1_SNR[5]dB_THRESH[0.50].wav,16000,1.209261178970337,8.105392456054688,0.7621942162513733,2.277307067598616,3.3642778856023696,1.6846579363855518,1.9072161353767887,SS_EXP2.1a_data_SNR[5]dB_THRESH[0.50]_ENH-SS_p092_emo_anger_freeform_Noise Recordings_Construction_Jackhammer1_SNR[5]dB_THRESH[0.50]_CLN-p092_emo_anger_freeform.csv,Construction,0.07786977291107178,7.072331541951879,0.10821306705474854,9.828186968731178,1.6126933097839355,32.33563843960792,3.1180367469787598,62.51883621023051,0.05872625112533569,7.953889443000972,0.023860454559326172,3.231662399487858,-0.045567274093628374,-1.8418168688085022,-0.19673228263854936,-7.9518655440824055,0.37216266381051843,10.685234678447426,-0.1186841176673048,-3.4075628030362832,0.05452293201757907,3.7767027620912996,0.24099303998825872,16.693142611534277,0.14642533061070861,8.31465301683482,0.14616452788049572,8.299843528623189
p092_emo_contentment_sentences,BASELINE_p092_emo_contentment_sentences_Noise Recordings_Inside Train_3_SNR[5]dB.wav,16000,1.2456626892089844,5.044288635253906,0.7344706654548645,2.9548938274383545,3.4990890425649974,2.1860902376127003,2.298251437599736,BASELINE_metrics_SNR[5]dB_ENH-BASELINE_p092_emo_contentment_sentences_Noise Recordings_Inside Train_3_SNR[5]dB_CLN-p092_emo_contentment_sentences.csv,SS_p092_emo_contentment_sentences_Noise Recordings_Inside Train_2_SNR5dB.wav,16000,1.4419708251953125,7.5803375244140625,0.7327096462249756,3.053401470184326,2.6044182519213,3.2116406204864694,2.155022447691614,SS_EXP1p1b_data_ENH-SS_p092_emo_contentment_sentences_Noise Recordings_Inside Train_2_SNR5dB_CLN-p092_emo_contentment_sentences.csv,SS_p092_emo_contentment_sentences_Noise Recordings_Inside Train_2_SNR[5]dB_THRESH[0.50].wav,16000,1.4674454927444458,8.198016166687012,0.7141935229301453,2.930564641952514,2.433924933506136,3.067375577504122,2.0824940005739645,SS_EXP2.1a_data_SNR[5]dB_THRESH[0.50]_ENH-SS_p092_emo_contentment_sentences_Noise Recordings_Inside Train_2_SNR[5]dB_THRESH[0.50]_CLN-p092_emo_contentment_sentences.csv,Train,0.19630813598632812,15.759333380289887,0.22178280353546143,17.80440286577878,2.5360488891601562,50.27564979997429,3.1537275314331055,62.52075881209683,-0.001761019229888916,-0.23976712926966257,-0.02027714252471924,-2.7607831705792383,0.09850764274597168,3.333711750698317,-0.024329185485840288,-0.8233522727593787,-0.8946707906436973,-25.568677440339194,-1.0651641090588613,-30.44118329375367,1.025550382873769,46.91253660204402,0.8812853398914218,40.31331025263721,-0.14322898990812183,-6.232085296015667,-0.21575743702577155,-9.38789522747371
p092_emo_desire_sentences,BASELINE_p092_emo_desire_sentences_Noise Recordings_Street Noise_downtown_SNR[5]dB.wav,16000,1.1648695468902588,4.988389015197754,0.6940234899520874,2.7610482374827066,4.235379992195427,2.275634220891924,2.7195838434630226,BASELINE_metrics_SNR[5]dB_ENH-BASELINE_p092_emo_desire_sentences_Noise Recordings_Street Noise_downtown_SNR[5]dB_CLN-p092_emo_desire_sentences.csv,SS_p092_emo_desire_sentences_Noise Recordings_Street Noise_SNR5dB.wav,16000,1.4439672231674194,8.370935440063477,0.6711223721504211,2.634874025980632,2.7219095254215007,2.673642798529501,2.0434566031570056,SS_EXP1p1b_data_ENH-SS_p092_emo_desire_sentences_Noise Recordings_Street Noise_SNR5dB_CLN-p092_emo_desire_sentences.csv,SS_p092_emo_desire_sentences_Noise Recordings_Street Noise_SNR[5]dB_THRESH[0.50].wav,16000,1.5090844631195068,6.069357395172119,0.6650581955909729,2.936574935913086,2.832187756747237,2.735011092967081,2.056991720981853,SS_EXP2.1a_data_SNR[5]dB_THRESH[0.50]_ENH-SS_p092_emo_desire_sentences_Noise Recordings_Street Noise_SNR[5]dB_THRESH[0.50]_CLN-p092_emo_desire_sentences.csv,Street,0.27909767627716064,23.959565002127587,0.34421491622924805,29.54965361985519,3.3825464248657227,67.80839294129568,1.0809683799743652,21.669688885150283,-0.02290111780166626,-3.299761194429782,-0.028965294361114502,-4.173532276712154,-0.12617421150207475,-4.569793811973017,0.17552669843037938,6.357248527842091,-1.5134704667739265,-35.73399481422711,-1.40319223544819,-33.13025603449667,0.3980085776375768,17.490006697191397,0.45937687207515676,20.18676234773382,-0.676127240306017,-24.86142289494779,-0.6625921224811697,-24.363732122979822
p092_emo_amusement_sentences,BASELINE_p092_emo_amusement_sentences_Noise Recordings_Construction_Jackhammer1_SNR[5]dB.wav,16000,1.1720117330551147,4.99483060836792,0.791400671005249,2.856146335601806,4.267014448978059,1.7596397835486808,2.382234010925183,BASELINE_metrics_SNR[5]dB_ENH-BASELINE_p092_emo_amusement_sentences_Noise Recordings_Construction_Jackhammer1_SNR[5]dB_CLN-p092_emo_amusement_sentences.csv,SS_p092_emo_amusement_sentences_Noise Recordings_Construction_Drilling_SNR5dB.wav,16000,1.1746680736541748,7.120265007019043,0.750415027141571,2.5739696820576987,2.7848297233461654,2.1885721606758537,1.8941798275505084,SS_EXP1p1b_data_ENH-SS_p092_emo_amusement_sentences_Noise Recordings_Construction_Drilling_SNR5dB_CLN-p092_emo_amusement_sentences.csv,SS_p092_emo_amusement_sentences_Noise Recordings_Construction_Drilling_SNR[5]dB_THRESH[0.50].wav,16000,1.2318589687347412,8.32156753540039,0.7388834357261658,2.500842889149984,1.815897140347976,2.080722687883286,1.2990729975682045,SS_EXP2.1a_data_SNR[5]dB_THRESH[0.50]_ENH-SS_p092_emo_amusement_sentences_Noise Recordings_Construction_Drilling_SNR[5]dB_THRESH[0.50]_CLN-p092_emo_amusement_sentences.csv,Construction,0.0026563405990600586,0.22664795275860453,0.059847235679626465,5.106368306025491,2.125434398651123,42.552682268951195,3.3267369270324707,66.6035985576595,-0.04098564386367798,-5.178874035021653,-0.05251723527908325,-6.635985690077198,-0.2821766535441075,-9.879628716035352,-0.3553034464518223,-12.439959466466128,-1.4821847256318934,-34.73587313459587,-2.451117308630083,-57.44337962617212,0.4289323771271729,24.376146819216675,0.3210829043346053,18.247081438854185,-0.48805418337467454,-20.487247732019828,-1.0831610133569785,-45.46828768246465
p092_emo_cuteness_freeform,BASELINE_p092_emo_cuteness_freeform_Noise Recordings_PC Fan Noise_SNR[5]dB.wav,16000,1.0750921964645386,4.998791694641113,0.7057397365570068,2.6209930896759035,4.132907106196642,2.2863348348926222,2.778806901286951,BASELINE_metrics_SNR[5]dB_ENH-BASELINE_p092_emo_cuteness_freeform_Noise Recordings_PC Fan Noise_SNR[5]dB_CLN-p092_emo_cuteness_freeform.csv,SS_p092_emo_cuteness_freeform_Noise Recordings_Inside Train_3_SNR5dB.wav,16000,1.1461687088012695,6.319056510925293,0.6359637975692749,2.585316801071167,3.191708079180528,1.9793312852896747,2.0750407809388944,SS_EXP1p1b_data_ENH-SS_p092_emo_cuteness_freeform_Noise Recordings_Inside Train_3_SNR5dB_CLN-p092_emo_cuteness_freeform.csv,SS_p092_emo_cuteness_freeform_Noise Recordings_Inside Train_3_SNR[5]dB_THRESH[0.50].wav,16000,1.2581101655960083,8.705911636352539,0.6300996541976929,2.704035425186157,2.995724292667475,2.267756793534498,2.0525382760704067,SS_EXP2.1a_data_SNR[5]dB_THRESH[0.50]_ENH-SS_p092_emo_cuteness_freeform_Noise Recordings_Inside Train_3_SNR[5]dB_THRESH[0.50]_CLN-p092_emo_cuteness_freeform.csv,Stationary,0.07107651233673096,6.611201585358674,0.18301796913146973,17.02346735780688,1.3202648162841797,26.411679000338257,3.707119941711426,74.1603204967631,-0.06977593898773193,-9.886922242488144,-0.07564008235931396,-10.717843766078497,-0.035676288604736595,-1.361174462659423,0.08304233551025364,3.1683538517273298,-0.9411990270161139,-22.773292571829995,-1.1371828135291668,-27.515324789762168,-0.3070035496029475,-13.427759789058452,-0.018578041358124242,-0.8125687049244805,-0.7037661203480567,-25.326197369889968,-0.7262686252165445,-26.135987530482492
p092_emo_amazement_sentences,BASELINE_p092_emo_amazement_sentences_Noise Recordings_Construction_Crane_Moving_SNR[5]dB.wav,16000,1.1497732400894165,5.000584125518799,0.7011256217956543,2.775029182434082,4.08208619693873,2.1945147631804462,2.536547182234832,BASELINE_metrics_SNR[5]dB_ENH-BASELINE_p092_emo_amazement_sentences_Noise Recordings_Construction_Crane_Moving_SNR[5]dB_CLN-p092_emo_amazement_sentences.csv,SS_p092_emo_amazement_sentences_Noise Recordings_Car Noise_Idle Noise_60mph_SNR5dB.wav,16000,1.234127402305603,6.461968421936035,0.7139328718185425,3.096962213516236,2.834917396784865,2.3603207936981123,2.072679344660892,SS_EXP1p1b_data_ENH-SS_p092_emo_amazement_sentences_Noise Recordings_Car Noise_Idle Noise_60mph_SNR5dB_CLN-p092_emo_amazement_sentences.csv,SS_p092_emo_amazement_sentences_Noise Recordings_Car Noise_Idle Noise_60mph_SNR[5]dB_THRESH[0.50].wav,16000,1.2519617080688477,8.879645347595215,0.7236686944961548,2.7246804237365723,2.0339523286339003,2.094311822068488,1.5237679541112068,SS_EXP2.1a_data_SNR[5]dB_THRESH[0.50]_ENH-SS_p092_emo_amazement_sentences_Noise Recordings_Car Noise_Idle Noise_60mph_SNR[5]dB_THRESH[0.50]_CLN-p092_emo_amazement_sentences.csv,Construction,0.08435416221618652,7.336591188156927,0.10218846797943115,8.88770623775207,1.4613842964172363,29.224271799759414,3.879061222076416,77.57216206564614,0.012807250022888184,1.8266698042053446,0.02254307270050049,3.215268705023984,0.32193303108215376,11.601068310199688,-0.050348758697509766,-1.8143506027330127,-1.2471688001538648,-30.552240692250727,-2.0481338683048294,-50.173704559222244,0.16580603051766607,7.555475738853916,-0.10020294111195804,-4.566063659865146,-0.46386783757394,-18.287372725519262,-1.0127792281236254,-39.92747445097052
