Config_ID,Freq_spacing,Nband,FRMSZ_ms,OVLP,Floor,Noisefr,STOI,PESQ,SI_SDR,DNSMOS_mos_ovr
mband_linear_N4_F20_O50_FL0p5,linear,4,20,50,0.5,1,0.7315,1.5207,9.0269,3.3736
mband_linear_N4_F20_O50_FL0p7,linear,4,20,50,0.7,1,0.7474,1.5291,9.0229,3.4005
mband_linear_N4_F20_O50_FL0p8,linear,4,20,50,0.8,1,0.756,1.4397,9.233,3.0833
mband_linear_N4_F20_O75_FL0p5,linear,4,20,75,0.5,1,0.7338,1.462,9.0988,2.8297
mband_linear_N4_F20_O75_FL0p7,linear,4,20,75,0.7,1,0.7578,1.4676,9.3207,3.0001
mband_linear_N4_F20_O75_FL0p8,linear,4,20,75,0.8,1,0.7361,1.5051,9.2396,2.7777
mband_linear_N4_F25_O25_FL0p5,linear,4,25,25,0.5,1,0.7342,1.4631,7.1081,3.2387
mband_linear_N4_F25_O25_FL0p7,linear,4,25,25,0.7,1,0.7262,1.4566,7.808,3.2542
mband_linear_N4_F25_O25_FL0p8,linear,4,25,25,0.8,1,0.7395,1.4146,7.3454,3.4934
mband_linear_N4_F25_O50_FL0p5,linear,4,25,50,0.5,1,0.726,1.4345,8.5848,2.8101
mband_linear_N4_F25_O50_FL0p7,linear,4,25,50,0.7,1,0.7432,1.5257,8.5796,3.4415
mband_linear_N4_F25_O50_FL0p8,linear,4,25,50,0.8,1,0.7391,1.4911,8.8803,3.1202
mband_linear_N4_F25_O75_FL0p5,linear,4,25,75,0.5,1,0.7484,1.57,9.3051,2.9881
mband_linear_N4_F25_O75_FL0p7,linear,4,25,75,0.7,1,0.7557,1.5128,9.1605,2.9303
mband_linear_N4_F25_O75_FL0p8,linear,4,25,75,0.8,1,0.7604,1.4078,8.7369,2.7727
mband_linear_N4_F8_O25_FL0p5,linear,4,8,25,0.5,1,0.7469,1.4321,9.148,2.9062
mband_linear_N4_F8_O25_FL0p7,linear,4,8,25,0.7,1,0.763,1.4832,8.7975,3.1227
mband_linear_N4_F8_O25_FL0p8,linear,4,8,25,0.8,1,0.7539,1.378,8.5645,2.8031
mband_linear_N4_F8_O50_FL0p5,linear,4,8,50,0.5,1,0.748,1.5356,8.7146,3.0152
mband_linear_N4_F8_O50_FL0p7,linear,4,8,50,0.7,1,0.7422,1.4945,9.2179,2.9505
mband_linear_N4_F8_O50_FL0p8,linear,4,8,50,0.8,1,0.7379,1.418,9.7258,3.1685
mband_linear_N4_F8_O75_FL0p5,linear,4,8,75,0.5,1,0.7432,1.5436,8.7807,2.8205
mband_linear_N4_F8_O75_FL0p7,linear,4,8,75,0.7,1,0.753,1.5331,9.342,2.8927
mband_linear_N4_F8_O75_FL0p8,linear,4,8,75,0.8,1,0.7352,1.4298,9.2445,2.9852
mband_linear_N8_F20_O25_FL0p5,linear,8,20,25,0.5,1,0.7089,1.4514,7.8705,3.5468
mband_linear_N8_F20_O25_FL0p7,linear,8,20,25,0.7,1,0.7426,1.4311,7.725,3.1559
mband_linear_N8_F20_O25_FL0p8,linear,8,20,25,0.8,1,0.7559,1.4197,7.7621,3.4907
mband_linear_N8_F20_O50_FL0p5,linear,8,20,50,0.5,1,0.7385,1.4606,9.2303,3.4636
mband_linear_N8_F20_O50_FL0p7,linear,8,20,50,0.7,1,0.7383,1.4294,8.4303,3.2399
mband_linear_N8_F20_O50_FL0p8,linear,8,20,50,0.8,1,0.7317,1.4875,8.7376,3.2551
mband_linear_N8_F20_O75_FL0p5,linear,8,20,75,0.5,1,0.7593,1.5807,9.6782,3.1398
mband_linear_N8_F20_O75_FL0p7,linear,8,20,75,0.7,1,0.7408,1.4136,8.7262,3.0515
mband_linear_N8_F20_O75_FL0p8,linear,8,20,75,0.8,1,0.7414,1.4611,9.0059,2.6709
mband_linear_N8_F25_O25_FL0p5,linear,8,25,25,0.5,1,0.7382,1.4431,7.4763,2.8729
mband_linear_N8_F25_O25_FL0p7,linear,8,25,25,0.7,1,0.721,1.361,7.2772,3.2839
mband_linear_N8_F25_O25_FL0p8,linear,8,25,25,0.8,1,0.7565,1.4381,7.5569,3.2282
mband_linear_N8_F25_O50_FL0p5,linear,8,25,50,0.5,1,0.7245,1.4565,8.7167,3.2376
mband_linear_N8_F25_O50_FL0p7,linear,8,25,50,0.7,1,0.7203,1.4588,8.7148,3.2657
mband_linear_N8_F25_O50_FL0p8,linear,8,25,50,0.8,1,0.7255,1.4685,8.7568,3.2261
mband_linear_N8_F25_O75_FL0p5,linear,8,25,75,0.5,1,0.7353,1.5048,8.5531,2.9639
mband_linear_N8_F25_O75_FL0p7,linear,8,25,75,0.7,1,0.7422,1.4801,9.3814,3.2929
mband_linear_N8_F25_O75_FL0p8,linear,8,25,75,0.8,1,0.7277,1.4056,9.0977,3.0435
mband_linear_N8_F8_O25_FL0p5,linear,8,8,25,0.5,1,0.7438,1.5068,8.9911,3.0385
mband_linear_N8_F8_O25_FL0p7,linear,8,8,25,0.7,1,0.7463,1.3603,8.2128,2.9151
mband_linear_N8_F8_O25_FL0p8,linear,8,8,25,0.8,1,0.7436,1.3837,8.4907,2.9874
mband_linear_N8_F8_O50_FL0p5,linear,8,8,50,0.5,1,0.7327,1.4535,9.0138,2.7759
mband_linear_N8_F8_O50_FL0p7,linear,8,8,50,0.7,1,0.7344,1.4551,9.355,2.6824
mband_linear_N8_F8_O50_FL0p8,linear,8,8,50,0.8,1,0.753,1.3599,8.1516,2.9453
mband_linear_N8_F8_O75_FL0p5,linear,8,8,75,0.5,1,0.7614,1.438,9.2019,3.0188
mband_linear_N8_F8_O75_FL0p7,linear,8,8,75,0.7,1,0.7732,1.4644,9.2057,2.603
mband_linear_N8_F8_O75_FL0p8,linear,8,8,75,0.8,1,0.7416,1.522,9.4495,3.0489
mband_log_N16_F20_O25_FL0p5,log,16,20,25,0.5,1,0.7415,1.537,7.4804,3.2622
mband_log_N16_F20_O25_FL0p7,log,16,20,25,0.7,1,0.7476,1.5133,8.0732,3.3945
mband_log_N16_F20_O25_FL0p8,log,16,20,25,0.8,1,0.7474,1.4599,8.2483,3.5776
mband_log_N16_F20_O50_FL0p5,log,16,20,50,0.5,1,0.7352,1.4372,8.8085,3.3579
mband_log_N16_F20_O50_FL0p7,log,16,20,50,0.7,1,0.7375,1.4969,9.2662,3.2297
mband_log_N16_F20_O50_FL0p8,log,16,20,50,0.8,1,0.7324,1.4884,8.6799,3.1525
mband_log_N16_F20_O75_FL0p5,log,16,20,75,0.5,1,0.7647,1.5602,9.2236,2.9029
mband_log_N16_F20_O75_FL0p7,log,16,20,75,0.7,1,0.7477,1.5208,9.3094,2.9116
mband_log_N16_F20_O75_FL0p8,log,16,20,75,0.8,1,0.7591,1.3942,8.6334,2.6533
mband_log_N16_F25_O25_FL0p5,log,16,25,25,0.5,1,0.7191,1.4932,7.3732,3.3512
mband_log_N16_F25_O25_FL0p7,log,16,25,25,0.7,1,0.7512,1.3391,7.2946,3.4289
mband_log_N16_F25_O25_FL0p8,log,16,25,25,0.8,1,0.7412,1.392,7.5416,3.2337
mband_log_N16_F25_O50_FL0p5,log,16,25,50,0.5,1,0.753,1.5207,8.4972,3.3534
mband_log_N16_F25_O50_FL0p7,log,16,25,50,0.7,1,0.7475,1.4227,8.3656,3.0813
mband_log_N16_F25_O50_FL0p8,log,16,25,50,0.8,1,0.7409,1.4856,9.0802,3.3829
mband_log_N16_F25_O75_FL0p5,log,16,25,75,0.5,1,0.7282,1.5396,9.0716,3.2663
mband_log_N16_F25_O75_FL0p7,log,16,25,75,0.7,1,0.7497,1.5685,8.9828,2.9828
mband_log_N16_F25_O75_FL0p8,log,16,25,75,0.8,1,0.749,1.458,9.5167,2.9756
mband_log_N16_F8_O25_FL0p5,log,16,8,25,0.5,1,0.7539,1.4271,8.4373,2.8971
mband_log_N16_F8_O25_FL0p7,log,16,8,25,0.7,1,0.7495,1.4054,8.6742,2.6536
mband_log_N16_F8_O25_FL0p8,log,16,8,25,0.8,1,0.7568,1.4393,8.8981,3.0413
mband_log_N16_F8_O50_FL0p5,log,16,8,50,0.5,1,0.7433,1.417,9.052,2.9497
mband_log_N16_F8_O50_FL0p7,log,16,8,50,0.7,1,0.7381,1.484,8.9811,3.0263
mband_log_N16_F8_O50_FL0p8,log,16,8,50,0.8,1,0.7449,1.4529,9.4207,3.2944
mband_log_N16_F8_O75_FL0p5,log,16,8,75,0.5,1,0.7709,1.4683,8.7631,2.8849
mband_log_N16_F8_O75_FL0p7,log,16,8,75,0.7,1,0.7443,1.4721,9.3802,2.74
mband_log_N16_F8_O75_FL0p8,log,16,8,75,0.8,1,0.7363,1.59,9.498,2.7475
mband_log_N4_F20_O25_FL0p5,log,4,20,25,0.5,1,0.7368,1.5047,8.2212,3.3509
mband_log_N4_F20_O25_FL0p7,log,4,20,25,0.7,1,0.7324,1.4809,7.8466,3.4357
mband_log_N4_F20_O25_FL0p8,log,4,20,25,0.8,1,0.7166,1.4026,7.7314,3.3385
mband_log_N4_F20_O50_FL0p5,log,4,20,50,0.5,1,0.7535,1.5267,9.0757,3.384
mband_log_N4_F20_O50_FL0p7,log,4,20,50,0.7,1,0.7526,1.4725,8.9284,3.2371
mband_log_N4_F20_O50_FL0p8,log,4,20,50,0.8,1,0.7359,1.4001,8.606,3.1655
mband_log_N4_F20_O75_FL0p5,log,4,20,75,0.5,1,0.7524,1.5144,8.8825,2.6047
mband_log_N4_F20_O75_FL0p7,log,4,20,75,0.7,1,0.7522,1.5797,9.9195,3.0427
mband_log_N4_F20_O75_FL0p8,log,4,20,75,0.8,1,0.7483,1.5425,9.1405,2.6681
mband_log_N4_F25_O25_FL0p5,log,4,25,25,0.5,1,0.7196,1.4238,7.2842,3.2775
mband_log_N4_F25_O25_FL0p7,log,4,25,25,0.7,1,0.7249,1.4477,7.7833,3.6215
mband_log_N4_F25_O25_FL0p8,log,4,25,25,0.8,1,0.7265,1.4188,7.4275,3.491
mband_log_N4_F25_O50_FL0p5,log,4,25,50,0.5,1,0.7373,1.495,8.7611,3.3698
mband_log_N4_F25_O50_FL0p7,log,4,25,50,0.7,1,0.7339,1.4981,8.0993,3.1067
mband_log_N4_F25_O50_FL0p8,log,4,25,50,0.8,1,0.738,1.4932,8.6893,3.0339
mband_log_N4_F25_O75_FL0p5,log,4,25,75,0.5,1,0.7548,1.5182,9.4078,2.9937
mband_log_N4_F25_O75_FL0p7,log,4,25,75,0.7,1,0.725,1.4292,8.8396,2.9106
mband_log_N4_F25_O75_FL0p8,log,4,25,75,0.8,1,0.7256,1.4805,9.3057,2.9976
mband_log_N4_F8_O25_FL0p5,log,4,8,25,0.5,1,0.7361,1.4475,8.3816,2.9306
mband_log_N4_F8_O25_FL0p7,log,4,8,25,0.7,1,0.7477,1.4546,9.1973,2.7544
mband_log_N4_F8_O25_FL0p8,log,4,8,25,0.8,1,0.7452,1.4016,8.8186,3.2059
mband_log_N4_F8_O50_FL0p5,log,4,8,50,0.5,1,0.7458,1.4578,8.2327,2.7723
mband_log_N4_F8_O50_FL0p7,log,4,8,50,0.7,1,0.7333,1.4121,8.2746,2.8985
mband_log_N4_F8_O50_FL0p8,log,4,8,50,0.8,1,0.7415,1.4649,9.6394,3.0525
mband_log_N4_F8_O75_FL0p5,log,4,8,75,0.5,1,0.7587,1.4748,9.4314,2.5633
mband_log_N4_F8_O75_FL0p7,log,4,8,75,0.7,1,0.7498,1.461,9.4475,3.0299
mband_log_N4_F8_O75_FL0p8,log,4,8,75,0.8,1,0.7483,1.46,8.6896,3.1518
mband_log_N8_F20_O25_FL0p5,log,8,20,25,0.5,1,0.7457,1.4442,7.6531,3.33
mband_log_N8_F20_O25_FL0p7,log,8,20,25,0.7,1,0.7401,1.4267,7.8983,3.2826
mband_log_N8_F20_O25_FL0p8,log,8,20,25,0.8,1,0.7276,1.4169,7.9792,3.0901
mband_log_N8_F20_O50_FL0p5,log,8,20,50,0.5,1,0.7379,1.5327,8.5156,3.2056
mband_log_N8_F20_O50_FL0p7,log,8,20,50,0.7,1,0.743,1.5087,9.1121,3.3564
mband_log_N8_F20_O50_FL0p8,log,8,20,50,0.8,1,0.7417,1.4218,8.9812,3.2352
mband_log_N8_F20_O75_FL0p5,log,8,20,75,0.5,1,0.7369,1.5246,9.1304,3.0137
mband_log_N8_F20_O75_FL0p7,log,8,20,75,0.7,1,0.7418,1.4312,8.9067,3.0708
mband_log_N8_F20_O75_FL0p8,log,8,20,75,0.8,1,0.7311,1.443,9.0981,2.7745
mband_log_N8_F25_O25_FL0p5,log,8,25,25,0.5,1,0.7176,1.4108,7.1775,3.3934
mband_log_N8_F25_O25_FL0p7,log,8,25,25,0.7,1,0.746,1.4596,7.821,3.4013
mband_log_N8_F25_O25_FL0p8,log,8,25,25,0.8,1,0.7356,1.3924,7.4816,3.2908
mband_log_N8_F25_O50_FL0p5,log,8,25,50,0.5,1,0.7615,1.4711,8.4973,3.4168
mband_log_N8_F25_O50_FL0p7,log,8,25,50,0.7,1,0.7485,1.429,8.5728,3.6362
mband_log_N8_F25_O50_FL0p8,log,8,25,50,0.8,1,0.7574,1.5621,8.6604,2.9678
mband_log_N8_F25_O75_FL0p5,log,8,25,75,0.5,1,0.7379,1.3525,8.6076,3.0096
mband_log_N8_F25_O75_FL0p7,log,8,25,75,0.7,1,0.74,1.4981,9.4571,3.1074
mband_log_N8_F25_O75_FL0p8,log,8,25,75,0.8,1,0.7483,1.4281,9.1921,3.0444
mband_log_N8_F8_O25_FL0p5,log,8,8,25,0.5,1,0.7449,1.5557,8.7315,3.1229
mband_log_N8_F8_O25_FL0p7,log,8,8,25,0.7,1,0.7477,1.4866,8.8883,2.8911
mband_log_N8_F8_O25_FL0p8,log,8,8,25,0.8,1,0.7662,1.4046,8.487,2.7093
mband_log_N8_F8_O50_FL0p5,log,8,8,50,0.5,1,0.7476,1.4283,8.9852,2.9753
mband_log_N8_F8_O50_FL0p7,log,8,8,50,0.7,1,0.7205,1.4333,8.7656,3.1183
mband_log_N8_F8_O50_FL0p8,log,8,8,50,0.8,1,0.7493,1.436,9.1668,3.2237
mband_log_N8_F8_O75_FL0p5,log,8,8,75,0.5,1,0.7448,1.4648,8.9772,2.7896
mband_log_N8_F8_O75_FL0p7,log,8,8,75,0.7,1,0.7518,1.4362,8.9553,2.8919
mband_log_N8_F8_O75_FL0p8,log,8,8,75,0.8,1,0.7568,1.406,8.905,2.7793
mband_mel_N16_F20_O25_FL0p5,mel,16,20,25,0.5,1,0.7417,1.5247,7.5932,3.1518
mband_mel_N16_F20_O25_FL0p7,mel,16,20,25,0.7,1,0.7321,1.4479,8.057,3.2609
mband_mel_N16_F20_O25_FL0p8,mel,16,20,25,0.8,1,0.7473,1.4192,8.1647,3.3912
mband_mel_N16_F20_O50_FL0p5,mel,16,20,50,0.5,1,0.7232,1.5057,9.0547,3.2732
mband_mel_N16_F20_O50_FL0p7,mel,16,20,50,0.7,1,0.7304,1.5883,8.9803,3.0835
mband_mel_N16_F20_O50_FL0p8,mel,16,20,50,0.8,1,0.7444,1.3928,8.9207,3.418
mband_mel_N16_F20_O75_FL0p5,mel,16,20,75,0.5,1,0.7428,1.4848,9.0884,3.0148
