SNR_dB,Parameter,PESQ_Winner,PESQ_Score,STOI_Winner,STOI_Score
-5,Freq_spacing,mel,1.3165977696577709,mel,0.6216588901976744
-5,Nband,8,1.3149920122490988,4,0.6184954817096392
-5,FRMSZ_ms,8,1.3179915613598294,8,0.6188597041699622
-5,OVLP,50,1.3144277665350173,75,0.6184595719807677
-5,Floor,0.6,1.320176762011316,0.6,0.6220118204752604
-5,Noisefr,1,1.3144174623820517,1,0.6179862556358179
0,Freq_spacing,log,1.5563365171353023,linear,0.7061196429034075
0,Nband,4,1.5447539273235533,8,0.7041535336110327
0,FRMSZ_ms,8,1.5488498939408197,20,0.7047152072191238
0,OVLP,75,1.5508872403038874,75,0.7065354718102349
0,Floor,0.6,1.550523418519232,0.6,0.7061198312375281
0,Noisefr,1,1.5444992706179619,1,0.7036095394028558
5,Freq_spacing,mel,1.876068390905857,mel,0.7725455909967422
5,Nband,4,1.874868243932724,8,0.7701215984092818
5,FRMSZ_ms,8,1.8736420058541827,20,0.7700250032875273
5,OVLP,75,1.8880040397246678,50,0.770024821990066
5,Floor,0.6,1.877492755651474,0.6,0.771344838043054
5,Noisefr,1,1.8721615374088287,1,0.769679979317718
10,Freq_spacing,linear,2.255814323822657,mel,0.8112352453172207
10,Nband,4,2.2454444302452936,4,0.8111264043384128
10,FRMSZ_ms,8,2.2505487352609634,8,0.8109104434649149
10,OVLP,75,2.272693143950568,75,0.810740466747019
10,Floor,0.6,2.260501257247395,0.6,0.8110338201125463
10,Noisefr,1,2.2447789816392794,1,0.8106406533883678
15,Freq_spacing,log,2.654198711117109,log,0.8400938945511977
15,Nband,8,2.6433045168717704,8,0.8397708659370741
15,FRMSZ_ms,20,2.646146492825614,20,0.8399216093950801
15,OVLP,75,2.6890627443790436,75,0.8427835545606084
15,Floor,0.6,2.6559665501117706,0.6,0.8416018328732915
15,Noisefr,1,2.6406681074036493,1,0.839428746038013
