SNR_dB,Best_Obj_Config,Best_Obj_Freq,Best_Obj_Nband,Best_Obj_FRMSZ,Best_Obj_OVLP,Best_Obj_Floor,Best_Obj_Score,Best_Obj_PESQ,Best_Obj_STOI,Best_Obj_SI_SDR,Best_Subj_Config,Best_Subj_Freq,Best_Subj_Nband,Best_Subj_FRMSZ,Best_Subj_OVLP,Best_Subj_Floor,Best_Subj_Score,Best_Subj_DNSMOS,Same_Config
-5,mband_linear_N4_F20_O50_FL0p7,linear,4,20,50,0.7,0.40480172006289167,1.3357629537582398,0.6354218482971191,4.26123878955841,mband_linear_N4_F20_O25_FL0p3,linear,4,20,25,0.3,0.5379614762811531,2.6898073814057653,False
0,mband_log_N4_F20_O75_FL0p7,log,4,20,75,0.7,0.4636405367851258,1.5559707880020142,0.7151829957962036,8.950073337554931,mband_log_N8_F20_O25_FL0p3,log,8,20,25,0.3,0.6736102083457067,3.3680510417285334,False
5,mband_log_N16_F20_O75_FL0p7,log,16,20,75,0.7,0.5287010632356008,1.8630665063858032,0.7636910319328308,12.272395706176757,mband_log_N4_F20_O25_FL0p001,log,4,20,25,0.001,0.7933765942391897,3.966882971195949,False
10,mband_mel_N4_F8_O75_FL0p7,mel,4,8,75,0.7,0.6073412432670594,2.2494731664657595,0.8101580381393433,15.922919845581054,mband_log_N16_F25_O25_FL0p001,log,16,25,25,0.001,0.8322968448689879,4.16148422434494,False
15,mband_mel_N4_F20_O75_FL0p5,mel,4,20,75,0.5,0.6876277685165405,2.681514310836792,0.8436830043792725,18.26515350341797,mband_mel_N8_F25_O50_FL0p5,mel,8,25,50,0.5,0.8482182922612825,4.241091461306413,False
