Config_ID,Freq_spacing,Nband,FRMSZ_ms,OVLP,Floor,Noisefr,Objective_Score,Subjective_Score,Balanced_Score,PESQ,STOI,SI_SDR,DNSMOS_mos_ovr
mband_linear_N16_F20_O25_FL0p001,linear,16,20,25,0.001,1,0.4778,0.6991,0.5884,1.6418,0.7308,8.5928,3.4956
mband_linear_N16_F20_O25_FL0p3,linear,16,20,25,0.3,1,0.4841,0.6909,0.5875,1.6713,0.7404,8.786,3.4547
mband_linear_N16_F20_O25_FL0p5,linear,16,20,25,0.5,1,0.4871,0.706,0.5966,1.6861,0.741,8.9788,3.5301
mband_linear_N16_F20_O25_FL0p7,linear,16,20,25,0.7,1,0.488,0.688,0.588,1.6937,0.7389,8.9387,3.4399
mband_linear_N16_F20_O25_FL0p8,linear,16,20,25,0.8,1,0.4909,0.6944,0.5926,1.709,0.7387,9.0739,3.4719
mband_linear_N16_F20_O50_FL0p001,linear,16,20,50,0.001,1,0.5071,0.6751,0.5911,1.7852,0.7394,10.2464,3.3753
mband_linear_N16_F20_O50_FL0p3,linear,16,20,50,0.3,1,0.5165,0.6849,0.6007,1.8347,0.7428,10.6115,3.4247
mband_linear_N16_F20_O50_FL0p5,linear,16,20,50,0.5,1,0.5173,0.669,0.5931,1.8371,0.746,10.6194,3.345
mband_linear_N16_F20_O50_FL0p7,linear,16,20,50,0.7,1,0.5206,0.673,0.5968,1.856,0.7466,10.6911,3.3652
mband_linear_N16_F20_O50_FL0p8,linear,16,20,50,0.8,1,0.5192,0.6743,0.5967,1.853,0.7426,10.5495,3.3713
mband_linear_N16_F20_O75_FL0p001,linear,16,20,75,0.001,1,0.5182,0.6259,0.572,1.84,0.7393,10.9654,3.1294
mband_linear_N16_F20_O75_FL0p3,linear,16,20,75,0.3,1,0.5276,0.6422,0.5849,1.8896,0.7403,11.3608,3.2108
mband_linear_N16_F20_O75_FL0p5,linear,16,20,75,0.5,1,0.5276,0.6445,0.5861,1.885,0.7463,11.4163,3.2225
mband_linear_N16_F20_O75_FL0p7,linear,16,20,75,0.7,1,0.5269,0.6352,0.5811,1.8756,0.7497,11.5609,3.1762
mband_linear_N16_F20_O75_FL0p8,linear,16,20,75,0.8,1,0.528,0.6484,0.5882,1.8793,0.7452,11.8322,3.2421
mband_linear_N16_F25_O25_FL0p001,linear,16,25,25,0.001,1,0.4666,0.6971,0.5818,1.5923,0.7249,7.8048,3.4855
mband_linear_N16_F25_O25_FL0p3,linear,16,25,25,0.3,1,0.476,0.7023,0.5891,1.6383,0.7314,8.231,3.5113
mband_linear_N16_F25_O25_FL0p5,linear,16,25,25,0.5,1,0.4754,0.7037,0.5896,1.6341,0.7316,8.2422,3.5185
mband_linear_N16_F25_O25_FL0p7,linear,16,25,25,0.7,1,0.4777,0.6883,0.583,1.6468,0.7325,8.2899,3.4414
mband_linear_N16_F25_O25_FL0p8,linear,16,25,25,0.8,1,0.4774,0.6853,0.5814,1.6429,0.7334,8.3559,3.4267
mband_linear_N16_F25_O50_FL0p001,linear,16,25,50,0.001,1,0.502,0.6746,0.5883,1.766,0.7394,9.6432,3.373
mband_linear_N16_F25_O50_FL0p3,linear,16,25,50,0.3,1,0.51,0.6859,0.5979,1.8052,0.7413,10.1043,3.4296
mband_linear_N16_F25_O50_FL0p5,linear,16,25,50,0.5,1,0.5115,0.6921,0.6018,1.8144,0.7403,10.1477,3.4607
mband_linear_N16_F25_O50_FL0p7,linear,16,25,50,0.7,1,0.5124,0.6796,0.596,1.8156,0.7439,10.2606,3.3978
mband_linear_N16_F25_O50_FL0p8,linear,16,25,50,0.8,1,0.514,0.6954,0.6047,1.8162,0.7521,10.4739,3.4768
mband_linear_N16_F25_O75_FL0p001,linear,16,25,75,0.001,1,0.5149,0.6415,0.5782,1.8284,0.7354,10.6481,3.2075
mband_linear_N16_F25_O75_FL0p3,linear,16,25,75,0.3,1,0.5233,0.6452,0.5843,1.8641,0.7464,11.1278,3.2262
mband_linear_N16_F25_O75_FL0p5,linear,16,25,75,0.5,1,0.5237,0.6497,0.5867,1.8609,0.7463,11.3888,3.2485
mband_linear_N16_F25_O75_FL0p7,linear,16,25,75,0.7,1,0.5309,0.6688,0.5999,1.8966,0.7487,11.7815,3.344
mband_linear_N16_F25_O75_FL0p8,linear,16,25,75,0.8,1,0.5276,0.657,0.5923,1.8795,0.7505,11.5608,3.285
mband_linear_N16_F8_O25_FL0p001,linear,16,8,25,0.001,1,0.4838,0.6266,0.5552,1.6456,0.7311,10.2161,3.1329
mband_linear_N16_F8_O25_FL0p3,linear,16,8,25,0.3,1,0.4956,0.6174,0.5565,1.7095,0.7356,10.5463,3.0869
mband_linear_N16_F8_O25_FL0p5,linear,16,8,25,0.5,1,0.5002,0.6456,0.5729,1.7315,0.7422,10.6836,3.2281
mband_linear_N16_F8_O25_FL0p7,linear,16,8,25,0.7,1,0.5004,0.6289,0.5647,1.7332,0.7434,10.6351,3.1446
mband_linear_N16_F8_O25_FL0p8,linear,16,8,25,0.8,1,0.5003,0.6369,0.5686,1.7319,0.7429,10.6727,3.1843
mband_linear_N16_F8_O50_FL0p001,linear,16,8,50,0.001,1,0.508,0.6423,0.5751,1.7787,0.7358,10.9364,3.2113
