SNR_dB,Parameter,Best_Objective,Obj_Score,Best_Subjective,Subj_Score,Agrees
-5,Freq_spacing,log,0.39163934943539513,log,0.45770780746093387,True
-5,Nband,16,0.39179129901208265,16,0.4573010154229422,True
-5,FRMSZ_ms,8,0.3920502887540267,25,0.47006954413565527,False
-5,OVLP,75,0.3937818764847335,25,0.47531324180243956,False
-5,Floor,0.8,0.3932247059203746,0.7,0.45866310725831166,False
-5,Noisefr,1,0.3913226869864432,1,0.45544851280544235,True
0,Freq_spacing,linear,0.44384626306545594,log,0.5897267819143748,False
0,Nband,4,0.44448212534998677,4,0.5899647060565253,True
0,FRMSZ_ms,8,0.44631546304373093,25,0.6056252386500044,False
0,OVLP,75,0.4493404759630745,25,0.608947076344707,False
0,Floor,0.8,0.44642347064234106,0.7,0.5905065101405711,False
0,Noisefr,1,0.44372998114103157,1,0.5890614811624015,True
5,Freq_spacing,log,0.5059479406833649,log,0.7035873431269981,True
5,Nband,4,0.5055622441839289,8,0.7048031852713124,False
5,FRMSZ_ms,8,0.510154258449578,25,0.7196666837022714,False
5,OVLP,75,0.5181382907402368,25,0.7163527268238078,False
5,Floor,0.7,0.5094640714749388,0.3,0.7082464491448818,False
5,Noisefr,1,0.5053494730635435,1,0.7032641408637967,True
10,Freq_spacing,linear,0.5691222089826325,mel,0.7649812507726522,False
10,Nband,8,0.5694187486695654,16,0.7649804949371798,False
10,FRMSZ_ms,8,0.5757897882214299,25,0.7808993854084011,False
10,OVLP,75,0.5930538328512215,25,0.7734516845448042,False
10,Floor,0.8,0.5744032657421175,0.5,0.7671972382544372,False
10,Noisefr,1,0.5690893434465668,1,0.764525979748464,True
15,Freq_spacing,log,0.6332996851968177,log,0.7970165895157324,True
15,Nband,8,0.6333969283039188,4,0.7940727899244076,False
15,FRMSZ_ms,8,0.6397452422454034,25,0.8108151916274097,False
15,OVLP,75,0.6720862525239404,50,0.8043184766108853,False
15,Floor,0.8,0.6378303035855784,0.001,0.797992630297507,False
15,Noisefr,1,0.6329938324502467,1,0.7934262443380782,True
