Test_ID,SNR_dB,Config_ID,Freq_spacing,Nband,FRMSZ_ms,OVLP,Averaging,VAD,Floor,PESQ,STOI,SI_SDR,DNSMOS_mos_ovr,DNSMOS_mos_sig,DNSMOS_mos_bak,Status
0,0,1,linear,2,20,50,1,1,0.002,1.0669196844100952,0.5766505002975464,-0.47617530822753906,2.1907345831963783,3.628017143266323,1.819304554341536,Success
0,0,2,linear,4,20,50,1,1,0.002,1.0627809762954712,0.5768053531646729,-0.3042123019695282,2.2353847286503927,3.658184954326664,1.8586412695760153,Success
0,0,3,linear,6,20,50,1,1,0.002,1.0621880292892456,0.576768696308136,-0.32488271594047546,2.231147864137915,3.598734113868567,1.8894428379432915,Success
0,0,4,linear,8,20,50,1,1,0.002,1.0619628429412842,0.5767465829849243,-0.37878361344337463,2.2298319218613614,3.6639396657333685,1.853984980050356,Success
0,0,5,linear,12,20,50,1,1,0.002,1.0525215864181519,0.5767770409584045,-0.37642043828964233,2.2280703586474817,3.6015888089675365,1.8839255561756414,Success
0,0,6,log,2,20,50,1,1,0.002,1.0670794248580933,0.5767448544502258,-0.4219246208667755,2.2046904500788673,3.646210151721757,1.828477496740765,Success
0,0,7,log,4,20,50,1,1,0.002,1.0662882328033447,0.5767644047737122,-0.3630463480949402,2.187937947068555,3.612802755114419,1.8229665236309989,Success
0,0,8,log,6,20,50,1,1,0.002,1.050740122795105,0.5768532752990723,-0.33647727966308594,2.190442011458528,3.6691783322146208,1.8120137831475158,Success
0,0,9,log,8,20,50,1,1,0.002,1.0490455627441406,0.5757235288619995,-0.38038256764411926,2.1621719601361122,3.58509688913135,1.8019568247020594,Success
0,0,10,log,12,20,50,1,1,0.002,1.0487242937088013,0.5784263610839844,-0.17222300171852112,2.187120015027635,3.6666250248842758,1.8327275853122842,Success
0,0,11,mel,2,20,50,1,1,0.002,1.0669893026351929,0.5768294930458069,-0.47345054149627686,2.192743124123132,3.6223524669719693,1.8235229116431453,Success
0,0,12,mel,4,20,50,1,1,0.002,1.0625733137130737,0.5770834684371948,-0.28158020973205566,2.24301424453153,3.658442338263118,1.8625325255810987,Success
0,0,13,mel,6,20,50,1,1,0.002,1.0524425506591797,0.5771641135215759,-0.403751015663147,2.241029008599416,3.665085576044102,1.848154579830055,Success
0,0,14,mel,8,20,50,1,1,0.002,1.0589786767959595,0.5777382254600525,-0.4190657138824463,2.224051182664823,3.7129699259561413,1.8221555392867106,Success
0,0,15,mel,12,20,50,1,1,0.002,1.0663329362869263,0.5756809115409851,-0.48440802097320557,2.3040402653515177,3.6627824005724516,1.9224730482088788,Success
0,5,1,linear,2,20,50,1,1,0.002,1.094577670097351,0.667247474193573,4.22000789642334,2.7176257420207275,4.099913574437242,2.323725577823062,Success
0,5,2,linear,4,20,50,1,1,0.002,1.094559907913208,0.6672734618186951,4.4724602699279785,2.724217141362343,4.094964199924739,2.32388376069034,Success
0,5,3,linear,6,20,50,1,1,0.002,1.0948596000671387,0.6672437787055969,4.4485955238342285,2.7151070388978,4.081125597913229,2.3416094198013067,Success
0,5,4,linear,8,20,50,1,1,0.002,1.0936801433563232,0.6671827435493469,4.397134304046631,2.7177708181373497,4.089825502822271,2.3220576037310035,Success
0,5,5,linear,12,20,50,1,1,0.002,1.0938003063201904,0.6672407984733582,4.3976263999938965,2.7148976322093468,4.082095244742841,2.338892849808034,Success
0,5,6,log,2,20,50,1,1,0.002,1.0921642780303955,0.667373538017273,4.3577070236206055,2.7108341075110594,4.097003376151335,2.303229159921042,Success
0,5,7,log,4,20,50,1,1,0.002,1.0922220945358276,0.6673725843429565,4.3998894691467285,2.729837330936951,4.100578266306021,2.3154888233663526,Success
0,5,8,log,6,20,50,1,1,0.002,1.092921257019043,0.6669403910636902,4.392735481262207,2.724012020817947,4.094006700097647,2.3176491487291178,Success
0,5,9,log,8,20,50,1,1,0.002,1.091593623161316,0.6663791537284851,4.31037712097168,2.742188881953884,4.12011905551653,2.3163652789363898,Success
0,5,10,log,12,20,50,1,1,0.002,1.0897175073623657,0.6673386693000793,4.391621112823486,2.713027284659263,4.080611672799059,2.347096491005194,Success
0,5,11,mel,2,20,50,1,1,0.002,1.0945415496826172,0.6674420237541199,4.221965789794922,2.713191773592104,4.0931754866893835,2.3213585040265907,Success
0,5,12,mel,4,20,50,1,1,0.002,1.0950108766555786,0.6675606966018677,4.488895416259766,2.7161434681710372,4.084776142872775,2.311694756881384,Success
0,5,13,mel,6,20,50,1,1,0.002,1.0940579175949097,0.6675379276275635,4.359170913696289,2.7423946214244186,4.111566960978619,2.339961068128232,Success
0,5,14,mel,8,20,50,1,1,0.002,1.0960323810577393,0.6681374311447144,4.334330081939697,2.7558902854537273,4.150794835375829,2.3577781926826806,Success
0,5,15,mel,12,20,50,1,1,0.002,1.0930488109588623,0.6660813689231873,4.254037857055664,2.660440277954143,4.006932263758205,2.2410264761248926,Success
0,10,1,linear,2,20,50,1,1,0.002,1.2079038619995117,0.7533807158470154,8.418411254882812,2.9456474407753728,4.319572730048421,2.5691477595233865,Success
0,10,2,linear,4,20,50,1,1,0.002,1.2061847448349,0.7530276775360107,8.84997844696045,2.9386062988169805,4.316333479713054,2.561508336997602,Success
0,10,3,linear,6,20,50,1,1,0.002,1.2067346572875977,0.7529604434967041,8.81760025024414,2.9387890034980084,4.3111607965479735,2.5650419327087097,Success
0,10,4,linear,8,20,50,1,1,0.002,1.2039649486541748,0.7527999877929688,8.773526191711426,2.9386364921115127,4.312076686645214,2.5693408164873595,Success
0,10,5,linear,12,20,50,1,1,0.002,1.204219102859497,0.7529430389404297,8.765680313110352,2.937262092424876,4.305645735298369,2.5642375609139827,Success
0,10,6,log,2,20,50,1,1,0.002,1.1856565475463867,0.753452479839325,8.711219787597656,2.9478543784926656,4.323250341803936,2.5646497373359636,Success
0,10,7,log,4,20,50,1,1,0.002,1.1877782344818115,0.7530656456947327,8.71223258972168,2.9123924785334583,4.298229732635092,2.5221171738299994,Success
0,10,8,log,6,20,50,1,1,0.002,1.1894702911376953,0.7523868083953857,8.618379592895508,2.8815587382763677,4.276855020513464,2.5329876969334504,Success
0,10,9,log,8,20,50,1,1,0.002,1.1845719814300537,0.7521090507507324,8.446666717529297,2.918189199074959,4.314045014285798,2.5320191247276047,Success
0,10,10,log,12,20,50,1,1,0.002,1.1828747987747192,0.7519155740737915,8.235071182250977,2.913635988846254,4.281303756748655,2.541981879161026,Success
0,10,11,mel,2,20,50,1,1,0.002,1.2077891826629639,0.7535037398338318,8.420014381408691,2.9438800545159522,4.324653762165842,2.562302359301819,Success
0,10,12,mel,4,20,50,1,1,0.002,1.2074761390686035,0.7532398104667664,8.850666046142578,2.9306943308161064,4.309035094205187,2.556764621408177,Success
0,10,13,mel,6,20,50,1,1,0.002,1.2045174837112427,0.753162145614624,8.7024507522583,2.9265577213327574,4.306453852585051,2.5360196266813757,Success
0,10,14,mel,8,20,50,1,1,0.002,1.2072417736053467,0.7535049915313721,8.651769638061523,2.9691648525296532,4.36078931285473,2.5615675083828724,Success
0,10,15,mel,12,20,50,1,1,0.002,1.2007776498794556,0.7516792416572571,8.525184631347656,2.9591224352183363,4.380534644383797,2.5435654995786305,Success
0,15,1,linear,2,20,50,1,1,0.002,1.4698137044906616,0.8257991671562195,11.568265914916992,3.071486896796498,4.421459035181449,2.652345949088806,Success
