Test_ID,SNR_dB,Config_ID,Freq_spacing,Nband,FRMSZ_ms,OVLP,Averaging,Noisefr,VAD,Floor,PESQ,STOI,SI_SDR,DNSMOS_mos_ovr,DNSMOS_mos_sig,DNSMOS_mos_bak,Status
0,0,1,linear,4,8,25,1,1,1,0.001,1.3694818019866943,0.7990672588348389,-0.019433818757534027,2.5503668161450057,4.301900937962264,1.9505550409586725,Success
0,0,2,linear,4,8,25,1,1,1,0.002,1.369490146636963,0.7990719079971313,-0.019415097311139107,2.551677539590209,4.303003800787654,1.9513616645285488,Success
0,0,3,linear,4,8,25,1,1,1,0.01,1.3695356845855713,0.7991073727607727,-0.019275208935141563,2.562863753047474,4.312986234837143,1.9591436395889517,Success
0,0,4,linear,4,8,25,1,1,0,0.001,1.3694744110107422,0.7988412380218506,-0.019740134477615356,2.5636679821079973,4.307359792512433,1.9597126267665184,Success
0,0,5,linear,4,8,25,1,1,0,0.002,1.3694806098937988,0.7988457679748535,-0.019721411168575287,2.5634262242183694,4.307431750637797,1.9593853758522535,Success
0,0,6,linear,4,8,25,1,1,0,0.01,1.3695194721221924,0.7988801598548889,-0.019576571881771088,2.566017094565535,4.310943590923447,1.9610159815957153,Success
0,0,7,linear,4,8,25,0,1,1,0.001,1.418095350265503,0.828473687171936,0.029657017439603806,2.3178265033940257,4.092666493941766,1.8271169821675015,Success
0,0,8,linear,4,8,25,0,1,1,0.002,1.4181098937988281,0.8284886479377747,0.029675014317035675,2.317193516338728,4.092976615346457,1.8270319760727765,Success
0,0,9,linear,4,8,25,0,1,1,0.01,1.4182653427124023,0.828601598739624,0.029811274260282516,2.3129567105360613,4.101328081078979,1.8242696167062913,Success
0,0,10,linear,4,8,25,0,1,0,0.001,1.418095350265503,0.828473687171936,0.029657017439603806,2.3178265033940257,4.092666493941766,1.8271169821675015,Success
0,0,11,linear,4,8,25,0,1,0,0.002,1.4181098937988281,0.8284886479377747,0.029675014317035675,2.317193516338728,4.092976615346457,1.8270319760727765,Success
0,0,12,linear,4,8,25,0,1,0,0.01,1.4182653427124023,0.828601598739624,0.029811274260282516,2.3129567105360613,4.101328081078979,1.8242696167062913,Success
