Test_ID,SNR_dB,Config_ID,Freq_spacing,Nband,FRMSZ_ms,OVLP,Averaging,Noisefr,VAD,Floor,PESQ,STOI,SI_SDR,DNSMOS_mos_ovr,DNSMOS_mos_sig,DNSMOS_mos_bak,Status
0,0,1,linear,4,8,50,1,1,1,0.002,1.2004947662353516,0.7320199608802795,7.362612724304199,2.378047129759396,3.471858225824472,2.305961551285228,Success
0,0,2,linear,4,8,75,1,1,1,0.002,1.2030713558197021,0.7328705191612244,7.459510803222656,2.1618683650694535,3.100500619205424,2.2689891835281037,Success
0,0,3,linear,4,10,50,1,1,1,0.002,1.222259759902954,0.7442804574966431,7.873780250549316,2.3601854044339174,3.3658659339378474,2.33175899400401,Success
0,0,4,linear,4,10,75,1,1,1,0.002,1.2242820262908936,0.7418882250785828,7.946652412414551,2.170374829331942,3.1159305752469844,2.2638203107747983,Success
0,0,5,linear,4,20,50,1,1,1,0.002,1.1968095302581787,0.7470715641975403,7.375946044921875,2.7242763454278296,3.9082184420178643,2.3609375579129597,Success
0,0,6,linear,4,20,75,1,1,1,0.002,1.1985282897949219,0.7471866011619568,7.55969762802124,2.4035776508846896,3.4884522745846818,2.225052248858083,Success
0,0,7,linear,8,8,50,1,1,1,0.002,1.2022483348846436,0.7327859997749329,7.3642377853393555,2.386206458182367,3.4662098266908528,2.3245668439869607,Success
0,0,8,linear,8,8,75,1,1,1,0.002,1.2062982320785522,0.7335980534553528,7.460195541381836,2.1444973012512616,3.107094437283505,2.2385275764798487,Success
0,0,9,linear,8,10,50,1,1,1,0.002,1.2241677045822144,0.7444003820419312,7.863563537597656,2.348510687492941,3.350810403662088,2.3219658793743316,Success
0,0,10,linear,8,10,75,1,1,1,0.002,1.22476327419281,0.742145299911499,7.937088489532471,2.164314831115934,3.132970367028767,2.232754763337088,Success
0,0,11,linear,8,20,50,1,1,1,0.002,1.197287678718567,0.7472869157791138,7.379388332366943,2.714196255941315,3.9052656870018696,2.3567173528072525,Success
0,0,12,linear,8,20,75,1,1,1,0.002,1.1993460655212402,0.7474024295806885,7.563576698303223,2.4127381778417387,3.5011725006095005,2.2196096643853056,Success
0,0,13,linear,32,8,50,1,1,1,0.002,1.201784610748291,0.7335335612297058,7.431027889251709,2.365240085259672,3.5025770590259575,2.240309996296903,Success
0,0,14,linear,32,8,75,1,1,1,0.002,1.204664707183838,0.7342471480369568,7.530097484588623,2.1274415021772604,3.103452654457277,2.212920615574818,Success
0,0,15,linear,32,10,50,1,1,1,0.002,1.2230818271636963,0.7444959878921509,7.889249324798584,2.305813462604406,3.317056836543013,2.2859893774741704,Success
