Config_ID,Freq_spacing,Nband,FRMSZ_ms,OVLP,Floor,PESQ,STOI,SI_SDR,STOI
33,linear,4,8,75,0.01,2.1900060176849365,0.9323681592941284,14.915756225585938,0.9323681592941284
36,linear,4,8,75,0.01,2.1900060176849365,0.9323681592941284,14.915756225585938,0.9323681592941284
32,linear,4,8,75,0.002,2.1897132396698,0.9323206543922424,14.91391658782959,0.9323206543922424
35,linear,4,8,75,0.002,2.1897132396698,0.9323206543922424,14.91391658782959,0.9323206543922424
31,linear,4,8,75,0.001,2.1896584033966064,0.9323142170906068,14.913674354553224,0.9323142170906068
34,linear,4,8,75,0.001,2.1896584033966064,0.9323142170906068,14.913674354553224,0.9323142170906068
105,linear,6,8,75,0.01,2.1744384765625,0.9320583939552308,14.836009979248049,0.9320583939552308
108,linear,6,8,75,0.01,2.1744384765625,0.9320583939552308,14.836009979248049,0.9320583939552308
177,linear,8,8,75,0.01,2.18978214263916,0.9320296049118042,14.909625053405762,0.9320296049118042
180,linear,8,8,75,0.01,2.18978214263916,0.9320296049118042,14.909625053405762,0.9320296049118042
