Config_ID,Freq_spacing,Nband,FRMSZ_ms,OVLP,Floor,PESQ,STOI,SI_SDR,DNSMOS_mos_ovr
976,mel,16,20,25,0.001,1.7202510833740234,0.8689323663711548,10.459364891052246,3.1277124310922644
977,mel,16,20,25,0.002,1.720334768295288,0.8689552545547485,10.460426330566406,3.126568686161457
1045,mel,32,20,25,0.001,1.702739715576172,0.8692736625671387,10.311841011047363,3.115507487908973
978,mel,16,20,25,0.01,1.720975399017334,0.8691354393959045,10.468497276306152,3.1114139671976524
1046,mel,32,20,25,0.002,1.7028303146362305,0.8692923188209534,10.312809944152832,3.1103802270438545
974,mel,16,20,25,0.002,1.7204461097717283,0.8710978627204895,10.480198860168455,3.109828296999789
973,mel,16,20,25,0.001,1.7203376293182373,0.87107914686203,10.479211807250977,3.109454868686671
1048,mel,32,20,25,0.001,1.7026777267456057,0.8671165704727173,10.292569160461426,3.107817855126182
1049,mel,32,20,25,0.002,1.702768325805664,0.8671405911445618,10.293612480163574,3.106372943355254
975,mel,16,20,25,0.01,1.7212989330291748,0.8712413907051086,10.487680435180664,3.098074050240101
