Config_ID,Freq_spacing,Nband,FRMSZ_ms,OVLP,Floor,PESQ,STOI,SI_SDR,SI_SDR
33,linear,4,8,75,0.01,2.1900060176849365,0.9323681592941284,14.915756225585938,14.915756225585938
36,linear,4,8,75,0.01,2.1900060176849365,0.9323681592941284,14.915756225585938,14.915756225585938
32,linear,4,8,75,0.002,2.1897132396698,0.9323206543922424,14.91391658782959,14.91391658782959
35,linear,4,8,75,0.002,2.1897132396698,0.9323206543922424,14.91391658782959,14.91391658782959
31,linear,4,8,75,0.001,2.1896584033966064,0.9323142170906068,14.913674354553224,14.913674354553224
34,linear,4,8,75,0.001,2.1896584033966064,0.9323142170906068,14.913674354553224,14.913674354553224
21,linear,4,8,50,0.01,2.1846864223480225,0.9301767349243164,14.913337707519531,14.913337707519531
24,linear,4,8,50,0.01,2.1846864223480225,0.9301767349243164,14.913337707519531,14.913337707519531
20,linear,4,8,50,0.002,2.1841301918029785,0.9300503134727478,14.911447525024414,14.911447525024414
23,linear,4,8,50,0.002,2.1841301918029785,0.9300503134727478,14.911447525024414,14.911447525024414
