Parameter,Value,PESQ_mean,STOI_mean,SI_SDR_mean,DNSMOS_mean,Weighted_mean,Count
Freq_spacing,linear,1.67509482536051,0.8699321284476254,7.063564993518068,2.432651939022969,0.6524755467598637,1440
Freq_spacing,log,1.601085888925526,0.8560156037824022,6.627969659686399,2.3833659581909585,0.6381163907837537,1440
Freq_spacing,mel,1.636484360529317,0.8597070092542304,6.674747908112558,2.475092524930876,0.6435019406800468,1440
Nband,4,1.6658480241894722,0.8680256595490156,6.836883335715997,2.4299201810726134,0.6505976321934551,864
Nband,6,1.6485109727967668,0.8646992939627833,6.942889148981286,2.441737742880687,0.6472007442610682,864
Nband,8,1.6400240360310785,0.8628050147521275,6.79572948606909,2.417151694398538,0.6454049109791716,864
Nband,16,1.6159411761219855,0.8568390020065837,6.716750770244592,2.426360822359811,0.6400136186154903,864
Nband,32,1.6174509155529517,0.8570555988699198,6.651551527850744,2.436680262863026,0.6402728909902551,864
FRMSZ_ms,8,1.6320200752880838,0.8595483568807443,6.841160976952179,2.3505520118732037,0.6429761859691805,2160
FRMSZ_ms,20,1.6430899745888181,0.8642214707754277,6.736360730592504,2.5101882695566657,0.6464197328465956,2160
OVLP,25,1.5773472641905149,0.84970165155828,6.507079726020391,2.493022819886253,0.6325855521981915,1440
OVLP,50,1.6380191280610032,0.8613830503490236,6.814667684020241,2.4470891563403336,0.6444934379806121,1440
OVLP,75,1.6972986825638348,0.8745700395769543,7.044535151276391,2.350998445918218,0.6570148880448607,1440
Floor,0.001,1.6374130928681956,0.8618384248266617,6.787528974368615,2.4317345765915457,0.6446605217001504,1440
Floor,0.002,1.6374592133694226,0.8618529360327456,6.787915738313718,2.4312662622961336,0.6446723893533151,1440
Floor,0.01,1.6377927685777347,0.8619633806248506,6.790837848634692,2.428109583257126,0.6447609671701987,1440
