Config_ID,Freq_spacing,Nband,FRMSZ_ms,OVLP,Floor,PESQ,STOI,SI_SDR,Weighted_Score
141,linear,6,20,75,0.01,2.2106475830078125,0.9304466247558594,14.79079246520996,0.7362880706787109
140,linear,6,20,75,0.002,2.211121082305908,0.9303362369537354,14.785428047180176,0.7362802267074585
139,linear,6,20,75,0.001,2.2111403942108154,0.9303218722343444,14.784722328186035,0.7362749755382537
69,linear,4,20,75,0.01,2.2069687843322754,0.9303914308547974,14.805414199829102,0.7358925938606262
68,linear,4,20,75,0.002,2.207441568374634,0.9302814602851868,14.800121307373049,0.7358848869800567
67,linear,4,20,75,0.001,2.2074787616729736,0.9302671551704408,14.79942512512207,0.7358814537525178
861,mel,6,20,75,0.01,2.206929445266724,0.930219829082489,14.646678924560549,0.7358028590679169
860,mel,6,20,75,0.002,2.2073287963867188,0.9301045536994934,14.64134120941162,0.7357851564884186
859,mel,6,20,75,0.001,2.207350015640259,0.9300895929336548,14.640637397766112,0.7357797980308532
285,linear,16,20,75,0.01,2.2052559852600098,0.9303264617919922,14.77218246459961,0.7356888294219971
