Config_ID,Freq_spacing,Nband,FRMSZ_ms,OVLP,Floor,PESQ,STOI,SI_SDR,PESQ
139,linear,6,20,75,0.001,2.2111403942108154,0.9303218722343444,14.784722328186035,2.2111403942108154
140,linear,6,20,75,0.002,2.211121082305908,0.9303362369537354,14.785428047180176,2.211121082305908
141,linear,6,20,75,0.01,2.2106475830078125,0.9304466247558594,14.79079246520996,2.2106475830078125
67,linear,4,20,75,0.001,2.2074787616729736,0.9302671551704408,14.79942512512207,2.2074787616729736
68,linear,4,20,75,0.002,2.207441568374634,0.9302814602851868,14.800121307373049,2.207441568374634
859,mel,6,20,75,0.001,2.207350015640259,0.9300895929336548,14.640637397766112,2.207350015640259
860,mel,6,20,75,0.002,2.2073287963867188,0.9301045536994934,14.64134120941162,2.2073287963867188
69,linear,4,20,75,0.01,2.2069687843322754,0.9303914308547974,14.805414199829102,2.2069687843322754
861,mel,6,20,75,0.01,2.206929445266724,0.930219829082489,14.646678924560549,2.206929445266724
283,linear,16,20,75,0.001,2.205530881881714,0.9301908612251282,14.765375137329102,2.205530881881714
