Config_ID,Noise_Category,Freq_spacing,Nband,FRMSZ_ms,OVLP,PESQ,STOI,SI_SDR,DNSMOS_mos_ovr,DNSMOS_mos_ovr
mband_linear_N8_F25_O25_FL0p7,Stationary,linear,8,25,25,1.9743237495422363,0.8066629767417908,10.136884689331056,4.279991088303916,4.279991088303916
mband_mel_N8_F25_O25_FL0p7,Stationary,mel,8,25,25,1.9743220806121824,0.8066551685333252,10.136835098266602,4.276481455228969,4.276481455228969
mband_log_N8_F20_O50_FL0p7,Stationary,log,8,20,50,2.3263633251190186,0.8211020827293396,12.755115509033203,4.271198392799762,4.271198392799762
mband_linear_N8_F25_O25_FL0p3,Stationary,linear,8,25,25,1.9564948081970213,0.8149990439414978,10.01823616027832,4.269083569639681,4.269083569639681
mband_log_N8_F20_O25_FL0p7,Stationary,log,8,20,25,2.0775578022003174,0.8100590705871582,10.947613716125488,4.26474830575689,4.26474830575689
mband_mel_N8_F25_O25_FL0p3,Stationary,mel,8,25,25,1.956506967544556,0.8153755068778992,10.018153190612791,4.26340579555264,4.26340579555264
mband_mel_N4_F20_O25_FL0p3,Stationary,mel,4,20,25,2.0713369846343994,0.809440016746521,10.911176681518556,4.253920375792064,4.253920375792064
mband_linear_N4_F20_O25_FL0p3,Stationary,linear,4,20,25,2.0709946155548096,0.8094257116317749,10.911389350891112,4.252665584590122,4.252665584590122
mband_mel_N4_F25_O50_FL0p5,Stationary,mel,4,25,50,2.3362936973571777,0.8350434899330139,12.411270141601562,4.246477400126416,4.246477400126416
mband_linear_N4_F25_O50_FL0p5,Stationary,linear,4,25,50,2.3364152908325195,0.8351847529411316,12.411542892456056,4.244501810660838,4.244501810660838
