Config_ID,Noise_Category,Freq_spacing,Nband,FRMSZ_ms,OVLP,PESQ,STOI,SI_SDR,DNSMOS_mos_ovr,STOI
mband_log_N16_F8_O75_FL0p001,Stationary,log,16,8,75,2.4583740234375,0.8480998873710632,13.570350646972656,3.790435411112908,0.8480998873710632
mband_log_N8_F8_O50_FL0p7,Stationary,log,8,8,50,2.397489547729492,0.8444386124610901,13.568400382995604,3.914209822273001,0.8444386124610901
mband_log_N4_F20_O50_FL0p8,Stationary,log,4,20,50,2.344254970550537,0.8433936834335327,12.87269115447998,4.16397242841045,0.8433936834335327
mband_log_N4_F25_O75_FL0p8,Stationary,log,4,25,75,2.408259630203247,0.8427403569221497,13.6220064163208,3.811312913233351,0.8427403569221497
mband_log_N8_F8_O25_FL0p8,Stationary,log,8,8,25,2.216836214065552,0.840779721736908,12.687843322753906,3.7835246024346016,0.840779721736908
mband_mel_N8_F25_O50_FL0p5,Stationary,mel,8,25,50,2.2710986137390137,0.8402798175811768,12.475736618041992,4.145496667917375,0.8402798175811768
mband_linear_N8_F25_O50_FL0p5,Stationary,linear,8,25,50,2.2715930938720703,0.8400429487228394,12.47578239440918,4.153926773463581,0.8400429487228394
mband_log_N4_F8_O50_FL0p3,Stationary,log,4,8,50,2.323227405548096,0.8399390578269958,13.328020095825195,3.854704901020928,0.8399390578269958
mband_log_N4_F8_O50_FL0p7,Stationary,log,4,8,50,2.441741704940796,0.8377729654312134,13.820290565490724,3.832007651865156,0.8377729654312134
mband_linear_N8_F8_O25_FL0p7,Stationary,linear,8,8,25,2.2302048206329346,0.8377491235733032,12.792695999145508,4.172716399317859,0.8377491235733032
