Config_ID,Noise_Category,Freq_spacing,Nband,FRMSZ_ms,OVLP,PESQ,STOI,SI_SDR,DNSMOS_mos_ovr,PESQ
mband_log_N16_F20_O75_FL0p7,Stationary,log,16,20,75,2.510319232940674,0.8309000134468079,13.91344165802002,3.9684847485173447,2.510319232940674
mband_mel_N8_F8_O75_FL0p7,Stationary,mel,8,8,75,2.503443479537964,0.8313145637512207,14.000014305114746,3.83033800349924,2.503443479537964
mband_linear_N8_F8_O75_FL0p7,Stationary,linear,8,8,75,2.5032799243927,0.8312576413154602,14.000287055969238,3.822048685762665,2.5032799243927
mband_log_N16_F20_O75_FL0p5,Stationary,log,16,20,75,2.491989850997925,0.824669361114502,13.710046768188477,3.801662773875864,2.491989850997925
mband_mel_N16_F20_O75_FL0p3,Stationary,mel,16,20,75,2.487112283706665,0.8259729146957397,13.877492904663086,3.760715108857982,2.487112283706665
mband_linear_N16_F20_O75_FL0p3,Stationary,linear,16,20,75,2.484858989715576,0.8258583545684814,13.87864875793457,3.761592316607229,2.484858989715576
mband_linear_N8_F20_O75_FL0p3,Stationary,linear,8,20,75,2.473114490509033,0.8344756364822388,13.527461051940918,3.857779956321196,2.473114490509033
mband_mel_N8_F20_O75_FL0p3,Stationary,mel,8,20,75,2.472218990325928,0.8349636197090149,13.527191162109377,3.860505214206559,2.472218990325928
mband_log_N8_F8_O75_FL0p3,Stationary,log,8,8,75,2.471538782119751,0.836357057094574,13.604665756225586,3.600574647709114,2.471538782119751
mband_mel_N8_F20_O75_FL0p8,Stationary,mel,8,20,75,2.471376895904541,0.831515908241272,13.536520957946776,3.910656516584748,2.471376895904541
