Config_ID,Freq_spacing,Nband,FRMSZ_ms,OVLP,PESQ,STOI,SI_SDR,DNSMOS_mos_ovr,Weighted_Score
mband_log_N16_F8_O75_FL0p001,log,16,8,75,2.4583740234375,0.8480998873710632,13.570350646972656,3.790435411112908,0.7198873460292816
mband_log_N16_F20_O75_FL0p7,log,16,20,75,2.510319232940674,0.8309000134468079,13.91344165802002,3.9684847485173447,0.7164819300174713
mband_mel_N8_F8_O75_FL0p7,mel,8,8,75,2.503443479537964,0.8313145637512207,14.000014305114746,3.83033800349924,0.7160016298294067
mband_linear_N8_F8_O75_FL0p7,linear,8,8,75,2.5032799243927,0.8312576413154602,14.000287055969238,3.822048685762665,0.7159568130970001
mband_log_N8_F8_O75_FL0p3,log,8,8,75,2.471538782119751,0.836357057094574,13.604665756225586,3.600574647709114,0.7153324067592621
