Metric,Baseline_Noisy,GTCRN_baseline_Value,GTCRN_baseline_Change,GTCRN_baseline_%,SS_GTCRN_n4_ov75_fr8_fl08_v0_lin_Value,SS_GTCRN_n4_ov75_fr8_fl08_v0_lin_Change,SS_GTCRN_n4_ov75_fr8_fl08_v0_lin_%,"WF_GTCRN_fr25_mu0.98_a_dd0.98_eta0.15,_Value","WF_GTCRN_fr25_mu0.98_a_dd0.98_eta0.15,_Change","WF_GTCRN_fr25_mu0.98_a_dd0.98_eta0.15,_%"
PESQ,1.2022,1.7413,+0.5391,+44.84%,1.7425,+0.5403,+44.94%,1.6795,+0.4773,+39.70%
SI_SDR,4.9959,11.4720,+6.4761,+129.63%,11.2791,+6.2832,+125.77%,11.4015,+6.4056,+128.22%
STOI,0.6941,0.7258,+0.0317,+4.57%,0.7249,+0.0308,+4.44%,0.7232,+0.0291,+4.19%
DNSMOS_p808_mos,2.7257,3.2097,+0.4840,+17.76%,3.2079,+0.4822,+17.69%,3.2286,+0.5029,+18.45%
DNSMOS_mos_sig,4.0550,3.5316,-0.5234,-12.91%,3.5967,-0.4583,-11.30%,3.5894,-0.4656,-11.48%
DNSMOS_mos_bak,2.2383,3.5685,+1.3302,+59.43%,3.7765,+1.5382,+68.72%,3.7052,+1.4669,+65.54%
DNSMOS_mos_ovr,2.6059,2.9533,+0.3474,+13.33%,3.0958,+0.4899,+18.80%,3.0729,+0.4670,+17.92%
