Config_ID,Noise_Category,Freq_spacing,Nband,FRMSZ_ms,OVLP,PESQ,STOI,SI_SDR,DNSMOS_mos_ovr,STOI
mband_linear_N4_F20_O75_FL0p3,Stationary,linear,4,20,75,1.561652898788452,0.7730786800384521,9.002008438110352,3.07108520913809,0.7730786800384521
mband_mel_N4_F20_O75_FL0p3,Stationary,mel,4,20,75,1.561866044998169,0.7729431390762329,9.001777648925781,3.062281593892034,0.7729431390762329
mband_linear_N4_F20_O50_FL0p7,Stationary,linear,4,20,50,1.543427348136902,0.7672489881515503,8.782483100891113,3.515913394393036,0.7672489881515503
mband_mel_N4_F20_O50_FL0p7,Stationary,mel,4,20,50,1.5435714721679688,0.7672330737113953,8.782254219055176,3.5139114812502297,0.7672330737113953
mband_linear_N4_F20_O75_FL0p5,Stationary,linear,4,20,75,1.6002311706542969,0.7655443549156189,9.019699096679688,3.3820960249387206,0.7655443549156189
mband_mel_N4_F20_O75_FL0p5,Stationary,mel,4,20,75,1.6007471084594729,0.7654714584350586,9.019512176513672,3.380858494055606,0.7654714584350586
mband_linear_N16_F20_O75_FL0p8,Stationary,linear,16,20,75,1.5323597192764282,0.7643870711326599,9.029911994934082,3.107424803200734,0.7643870711326599
mband_mel_N16_F20_O75_FL0p8,Stationary,mel,16,20,75,1.5323270559310913,0.7643783688545227,9.029827117919922,3.103537800687663,0.7643783688545227
mband_mel_N8_F8_O75_FL0p8,Stationary,mel,8,8,75,1.5640125274658203,0.7614433765411377,9.2105712890625,3.158132631286702,0.7614433765411377
mband_linear_N8_F8_O75_FL0p8,Stationary,linear,8,8,75,1.563894510269165,0.7614396214485168,9.210726737976074,3.1532394237839925,0.7614396214485168
