Config_ID,Noise_Category,Freq_spacing,Nband,FRMSZ_ms,OVLP,PESQ,STOI,SI_SDR,DNSMOS_mos_ovr,PESQ
mband_log_N8_F20_O75_FL0p5,Stationary,log,8,20,75,1.7051893472671509,0.7552767395973206,9.326773643493652,3.3888494081051497,1.7051893472671509
mband_log_N8_F20_O75_FL0p3,Stationary,log,8,20,75,1.6740731000900269,0.744636595249176,9.191328048706056,3.1439440316166487,1.6740731000900269
mband_log_N4_F8_O50_FL0p5,Stationary,log,4,8,50,1.669571876525879,0.7401818633079529,8.88706111907959,3.336426455415425,1.669571876525879
mband_mel_N8_F25_O75_FL0p7,Stationary,mel,8,25,75,1.6515135765075684,0.7477224469184875,9.004600524902344,3.136697857859568,1.6515135765075684
mband_linear_N8_F25_O75_FL0p7,Stationary,linear,8,25,75,1.6512579917907717,0.7477275133132935,9.004695892333984,3.136576322483807,1.6512579917907717
mband_log_N16_F25_O75_FL0p7,Stationary,log,16,25,75,1.646024227142334,0.7455070614814758,9.21123218536377,3.1410224155178224,1.646024227142334
mband_linear_N16_F25_O75_FL0p7,Stationary,linear,16,25,75,1.6340192556381226,0.7481350898742676,8.980000495910645,3.2211925392657745,1.6340192556381226
mband_mel_N16_F25_O75_FL0p7,Stationary,mel,16,25,75,1.6339247226715088,0.7481644153594971,8.979900360107422,3.218428264828824,1.6339247226715088
mband_mel_N4_F20_O75_FL0p8,Stationary,mel,4,20,75,1.632305383682251,0.7546951770782471,9.210711479187012,3.1529247156464284,1.632305383682251
mband_linear_N8_F8_O75_FL0p5,Stationary,linear,8,8,75,1.6320669651031494,0.7471925616264343,9.32932472229004,2.820852108024693,1.6320669651031494
