SNR_dB,Parameter,Best_Value,Score
0,Freq_spacing,log,1.4648321749251565
0,Nband,4,1.468592455357681
0,FRMSZ_ms,20,1.476684209741192
0,OVLP,75,1.4815887448228435
0,Floor,0.5,1.4796936144063502
0,Noisefr,1,1.4628070720429283
