Metric,Baseline_Noisy,GTCRN_baseline_Value,GTCRN_baseline_Change,GTCRN_baseline_%,GTCRN_SS_Value,GTCRN_SS_Change,GTCRN_SS_%,SS_GTCRN_Value,SS_GTCRN_Change,SS_GTCRN_%,GTCRN_SS_wovad_lowerfloor_Value,GTCRN_SS_wovad_lowerfloor_Change,GTCRN_SS_wovad_lowerfloor_%,GTCRN_WF_Value,GTCRN_WF_Change,GTCRN_WF_%
PESQ,1.3990,1.7413,+0.3423,+24.47%,1.6494,+0.2504,+17.90%,1.6483,+0.2493,+17.82%,1.7630,+0.3640,+26.02%,1.6869,+0.2879,+20.58%
SI_SDR,9.9993,11.4720,+1.4727,+14.73%,10.6726,+0.6733,+6.73%,9.5321,-0.4672,-4.67%,11.1252,+1.1259,+11.26%,11.5673,+1.5680,+15.68%
STOI,0.7459,0.7258,-0.0201,-2.69%,0.7113,-0.0346,-4.64%,0.7022,-0.0437,-5.86%,0.7242,-0.0217,-2.91%,0.7225,-0.0234,-3.14%
DNSMOS_p808_mos,2.8632,3.2097,+0.3465,+12.10%,3.2262,+0.3630,+12.68%,2.9970,+0.1338,+4.67%,3.2646,+0.4014,+14.02%,3.2213,+0.3581,+12.51%
DNSMOS_mos_sig,4.0710,3.5316,-0.5394,-13.25%,3.5561,-0.5149,-12.65%,3.2249,-0.8461,-20.78%,3.8127,-0.2583,-6.34%,3.4800,-0.5910,-14.52%
DNSMOS_mos_bak,2.4300,3.5685,+1.1385,+46.85%,3.6645,+1.2345,+50.80%,3.6254,+1.1954,+49.19%,3.7867,+1.3567,+55.83%,3.5925,+1.1625,+47.84%
DNSMOS_mos_ovr,2.7256,2.9533,+0.2277,+8.35%,3.0037,+0.2781,+10.20%,2.7602,+0.0346,+1.27%,3.2297,+0.5041,+18.50%,2.9293,+0.2037,+7.47%
