SNR_dB,Parameter,Best_Value,Score
-5,Freq_spacing,log,2.2885390373046692
-5,Nband,16,2.2865050771147106
-5,FRMSZ_ms,25,2.3503477206782764
-5,OVLP,25,2.3765662090121977
-5,Floor,0.7,2.293315536291558
-5,Noisefr,1,2.277242564027212
0,Freq_spacing,log,2.948633909571874
0,Nband,4,2.9498235302826266
0,FRMSZ_ms,25,3.028126193250022
0,OVLP,25,3.0447353817235356
0,Floor,0.7,2.952532550702856
0,Noisefr,1,2.945307405812008
5,Freq_spacing,log,3.5179367156349906
5,Nband,8,3.524015926356562
5,FRMSZ_ms,25,3.598333418511357
5,OVLP,25,3.581763634119039
5,Floor,0.3,3.541232245724409
5,Noisefr,1,3.516320704318984
10,Freq_spacing,mel,3.824906253863261
10,Nband,16,3.8249024746858984
10,FRMSZ_ms,25,3.9044969270420053
10,OVLP,25,3.8672584227240203
10,Floor,0.5,3.835986191272186
10,Noisefr,1,3.8226298987423206
15,Freq_spacing,log,3.9850829475786615
15,Nband,4,3.970363949622038
15,FRMSZ_ms,25,4.054075958137049
15,OVLP,50,4.0215923830544265
15,Floor,0.001,3.989963151487535
15,Noisefr,1,3.967131221690391
