Config_ID,Freq_spacing,Nband,FRMSZ_ms,OVLP,Floor,Noisefr,DNSMOS_mos_ovr,PESQ,STOI,SI_SDR
mband_linear_N16_F20_O25_FL0p001,linear,16,20,25,0.001,1,3.4956,1.6418,0.7308,8.5928
mband_linear_N16_F20_O25_FL0p3,linear,16,20,25,0.3,1,3.4547,1.6713,0.7404,8.786
mband_linear_N16_F20_O25_FL0p5,linear,16,20,25,0.5,1,3.5301,1.6861,0.741,8.9788
mband_linear_N16_F20_O25_FL0p7,linear,16,20,25,0.7,1,3.4399,1.6937,0.7389,8.9387
mband_linear_N16_F20_O25_FL0p8,linear,16,20,25,0.8,1,3.4719,1.709,0.7387,9.0739
mband_linear_N16_F20_O50_FL0p001,linear,16,20,50,0.001,1,3.3753,1.7852,0.7394,10.2464
mband_linear_N16_F20_O50_FL0p3,linear,16,20,50,0.3,1,3.4247,1.8347,0.7428,10.6115
mband_linear_N16_F20_O50_FL0p5,linear,16,20,50,0.5,1,3.345,1.8371,0.746,10.6194
mband_linear_N16_F20_O50_FL0p7,linear,16,20,50,0.7,1,3.3652,1.856,0.7466,10.6911
mband_linear_N16_F20_O50_FL0p8,linear,16,20,50,0.8,1,3.3713,1.853,0.7426,10.5495
mband_linear_N16_F20_O75_FL0p001,linear,16,20,75,0.001,1,3.1294,1.84,0.7393,10.9654
mband_linear_N16_F20_O75_FL0p3,linear,16,20,75,0.3,1,3.2108,1.8896,0.7403,11.3608
mband_linear_N16_F20_O75_FL0p5,linear,16,20,75,0.5,1,3.2225,1.885,0.7463,11.4163
mband_linear_N16_F20_O75_FL0p7,linear,16,20,75,0.7,1,3.1762,1.8756,0.7497,11.5609
mband_linear_N16_F20_O75_FL0p8,linear,16,20,75,0.8,1,3.2421,1.8793,0.7452,11.8322
mband_linear_N16_F25_O25_FL0p001,linear,16,25,25,0.001,1,3.4855,1.5923,0.7249,7.8048
mband_linear_N16_F25_O25_FL0p3,linear,16,25,25,0.3,1,3.5113,1.6383,0.7314,8.231
mband_linear_N16_F25_O25_FL0p5,linear,16,25,25,0.5,1,3.5185,1.6341,0.7316,8.2422
mband_linear_N16_F25_O25_FL0p7,linear,16,25,25,0.7,1,3.4414,1.6468,0.7325,8.2899
mband_linear_N16_F25_O25_FL0p8,linear,16,25,25,0.8,1,3.4267,1.6429,0.7334,8.3559
mband_linear_N16_F25_O50_FL0p001,linear,16,25,50,0.001,1,3.373,1.766,0.7394,9.6432
mband_linear_N16_F25_O50_FL0p3,linear,16,25,50,0.3,1,3.4296,1.8052,0.7413,10.1043
mband_linear_N16_F25_O50_FL0p5,linear,16,25,50,0.5,1,3.4607,1.8144,0.7403,10.1477
mband_linear_N16_F25_O50_FL0p7,linear,16,25,50,0.7,1,3.3978,1.8156,0.7439,10.2606
mband_linear_N16_F25_O50_FL0p8,linear,16,25,50,0.8,1,3.4768,1.8162,0.7521,10.4739
mband_linear_N16_F25_O75_FL0p001,linear,16,25,75,0.001,1,3.2075,1.8284,0.7354,10.6481
mband_linear_N16_F25_O75_FL0p3,linear,16,25,75,0.3,1,3.2262,1.8641,0.7464,11.1278
