SNR_dB,Best_Config,Freq_spacing,Nband,FRMSZ_ms,OVLP,Floor,Noisefr,DNSMOS_Score,PESQ,STOI,SI_SDR,DNSMOS
-5,mband_linear_N4_F20_O25_FL0p3,linear,4,20,25,0.3,1,2.6898073814057653,1.2777692794799804,0.6208374619483947,3.84327232837677,2.6898073814057653
0,mband_log_N8_F20_O25_FL0p3,log,8,20,25,0.3,1,3.3680510417285334,1.4519716501235962,0.7035323858261109,7.246539878845215,3.3680510417285334
5,mband_log_N4_F20_O25_FL0p001,log,4,20,25,0.001,1,3.966882971195949,1.5818886280059814,0.7455431342124939,9.24926929473877,3.966882971195949
10,mband_log_N16_F25_O25_FL0p001,log,16,25,25,0.001,1,4.16148422434494,1.775211238861084,0.7823329448699952,10.056120681762696,4.16148422434494
15,mband_mel_N8_F25_O50_FL0p5,mel,8,25,50,0.5,1,4.241091461306413,2.464127779006958,0.8331469893455505,15.344599151611328,4.241091461306413
