SNR_dB,PESQ_Winner,PESQ_Score,STOI_Winner,STOI_Score,SI_SDR_Winner,SI_SDR_Score
-5,LOG,1.131033552036364,LINEAR,0.6030490980962667,LINEAR,-1.0085767187454082
0,LOG,1.2301324512732863,LINEAR,0.6719687191056617,MEL,4.1589495183999645
5,LOG,1.4437224997414484,LINEAR,0.7352194388707479,LINEAR,8.54445233560884
10,LOG,1.7958046688464444,LINEAR,0.7827357075832508,LINEAR,11.839512354061927
15,LOG,2.20095536247693,LINEAR,0.8154957108046292,LINEAR,14.088810390896267
